,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2001-03-16,1,27-315,PIT,@,FLA,W,W,3,44,41,.932,0,0,60:00
1,2001-03-17,2,27-316,PIT,@,TBL,L,L,5,20,15,.750,0,0,60:00
2,2001-03-20,3,27-319,PIT,,BOS,T,T,2,29,27,.931,0,0,64:58
3,2001-03-25,4,27-324,PIT,@,NJD,W,W,2,27,25,.926,0,0,60:00
4,2001-03-27,5,27-326,PIT,,BUF,W,W,1,19,18,.947,0,0,60:00
5,2001-03-29,6,27-328,PIT,,CHI,W,W,2,24,22,.917,0,0,60:00
6,2001-03-31,7,27-330,PIT,,STL,W,W,3,34,31,.912,0,0,59:56
7,2001-04-04,8,27-334,PIT,,TBL,W,W,2,25,23,.920,0,0,60:00
8,2001-04-08,9,27-338,PIT,@,CAR,W,W,4,31,27,.871,0,0,60:00
9,2001-10-03,1,28-151,PIT,,COL,L,L,3,20,17,.850,0,0,60:00
10,2001-10-06,2,28-154,PIT,,MDA,L,L,4,20,16,.800,0,0,58:59
11,2001-10-14,3,28-162,PIT,@,BUF,L,L,4,34,30,.882,0,2,59:53
12,2001-10-16,4,28-164,PIT,,OTT,W,W,2,39,37,.949,0,2,60:00
13,2001-10-18,5,28-166,PIT,@,OTT,W,W,0,29,29,1.000,1,0,59:59
14,2001-10-20,6,28-168,PIT,@,STL,L-OT,L,2,29,27,.931,0,0,63:35
15,2001-10-23,7,28-171,PIT,@,ATL,W,W,2,17,15,.882,0,0,60:00
16,2001-10-24,8,28-172,PIT,,DAL,W,W,2,33,31,.939,0,0,60:00
17,2001-10-27,9,28-175,PIT,@,TOR,L,L,4,25,21,.840,0,0,60:00
18,2001-11-01,10,28-180,PIT,,TOR,W,W,1,27,26,.963,0,0,60:00
19,2001-11-03,11,28-182,PIT,,TBL,W,W,1,30,29,.967,0,0,61:51
20,2001-11-06,12,28-185,PIT,@,CAR,T,T,2,33,31,.939,0,0,65:00
21,2001-11-07,13,28-186,PIT,@,FLA,L,L,2,30,28,.933,0,0,58:44
22,2001-11-14,14,28-193,PIT,,NYI,T,T,3,44,41,.932,0,0,65:00
23,2001-11-17,15,28-196,PIT,,NYR,W,W,0,26,26,1.000,1,2,64:41
24,2001-11-21,16,28-200,PIT,,VAN,L,L,4,21,17,.810,0,0,59:56
25,2001-11-24,17,28-203,PIT,,BUF,W,W,1,19,18,.947,0,0,60:00
26,2001-11-27,18,28-206,PIT,,NJD,W,W,0,39,39,1.000,1,0,60:00
27,2001-11-29,19,28-208,PIT,@,SJS,L,L,5,21,16,.762,0,0,39:57
28,2001-12-01,20,28-210,PIT,@,PHX,L,L,5,39,34,.872,0,0,59:58
29,2001-12-04,21,28-213,PIT,@,TOR,W,W,0,27,27,1.000,1,0,60:00
30,2001-12-06,22,28-215,PIT,@,BOS,W,W,1,29,28,.966,0,0,59:59
31,2001-12-08,23,28-217,PIT,,ATL,W,W,3,25,22,.880,0,0,60:00
32,2001-12-11,24,28-220,PIT,@,WSH,T,T,2,34,32,.941,0,2,65:00
33,2001-12-12,25,28-221,PIT,,BOS,L,L,3,40,37,.925,0,0,59:31
34,2001-12-14,26,28-223,PIT,,MIN,L,L,4,20,16,.800,0,0,59:23
35,2001-12-16,27,28-225,PIT,,CAR,L,L,4,29,25,.862,0,0,39:53
36,2001-12-21,28,28-230,PIT,,WSH,W,W,3,25,22,.880,0,0,60:00
37,2001-12-22,29,28-231,PIT,@,WSH,T,T,4,29,25,.862,0,2,64:54
