,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1996-10-05,1,19-096,CGY,@,VAN,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
1,1996-10-06,2,19-097,CGY,,BUF,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
2,1996-10-09,3,19-100,CGY,,STL,L,1,0,1,-1,0,0,1,0,0,,,,3,33.3,,,,,,,
3,1996-10-11,4,19-102,CGY,@,DET,W,1,0,1,0,0,0,1,0,0,,,,2,50.0,,,,,,,
4,1996-10-13,5,19-104,CGY,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
5,1996-10-14,6,19-105,CGY,@,NYR,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
6,1996-10-16,7,19-107,CGY,@,MTL,L,0,1,1,1,0,0,0,0,0,,,,5,0.0,,,,,,,
7,1996-10-20,8,19-111,CGY,,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
8,1996-10-22,9,19-113,CGY,,COL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1996-10-24,10,19-115,CGY,,PIT,W,1,0,1,2,0,1,0,0,0,,,,4,25.0,,,,,,,
10,1996-10-26,11,19-117,CGY,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
11,1996-10-27,12,19-118,CGY,@,MDA,W,0,1,1,1,6,0,0,0,0,,,,4,0.0,,,,,,,
12,1996-10-30,13,19-121,CGY,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
13,1996-11-01,14,19-123,CGY,,PHX,L,1,1,2,0,0,0,1,0,0,,,,1,100.0,,,,,,,
14,1996-11-02,15,19-124,CGY,@,VAN,L,1,1,2,1,0,0,1,0,0,,,,2,50.0,,,,,,,
15,1996-11-09,16,19-131,CGY,,STL,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
16,1996-11-13,17,19-135,CGY,@,DAL,T,1,0,1,-1,2,0,1,0,0,,,,2,50.0,,,,,,,
17,1996-11-14,18,19-136,CGY,@,CHI,W,0,1,1,0,0,0,0,0,0,,,,5,0.0,,,,,,,
18,1996-11-16,19,19-138,CGY,@,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1996-11-18,20,19-140,CGY,,NYR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1996-11-20,21,19-142,CGY,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1996-11-22,22,19-144,CGY,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1996-11-23,23,19-145,CGY,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1996-11-26,24,19-148,CGY,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
24,1996-11-28,25,19-150,CGY,,LAK,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
25,1996-11-30,26,19-152,CGY,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
26,1996-12-03,27,19-155,CGY,@,NYI,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,,,,,,,
27,1996-12-05,28,19-157,CGY,@,NJD,L,1,0,1,1,0,1,0,0,0,,,,5,20.0,,,,,,,
28,1996-12-07,29,19-159,CGY,@,BOS,T,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
29,1996-12-10,30,19-162,CGY,,OTT,T,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
30,1996-12-12,31,19-164,CGY,@,LAK,W,1,1,2,2,0,0,0,1,0,,,,3,33.3,,,,,,,
31,1996-12-14,32,19-166,CGY,,COL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
32,1996-12-16,33,19-168,CGY,,NJD,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
33,1996-12-18,34,19-170,CGY,,DET,T,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
34,1996-12-20,35,19-172,CGY,@,MDA,L,0,0,0,-4,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1996-12-22,36,19-174,CGY,@,PHX,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,,,,,,,
36,1996-12-23,37,19-175,CGY,@,COL,L,0,1,1,2,0,0,0,0,0,,,,2,0.0,,,,,,,
37,1996-12-29,38,19-181,CGY,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
38,1996-12-31,39,19-183,CGY,,SJS,L,0,0,0,-1,5,0,0,0,0,,,,2,0.0,,,,,,,
39,1997-01-02,40,19-185,CGY,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
40,1997-01-04,41,19-187,CGY,@,SJS,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1997-01-07,42,19-190,CGY,,TOR,W,0,2,2,3,0,0,0,0,0,,,,4,0.0,,,,,,,
42,1997-01-09,43,19-192,CGY,,HAR,W,1,0,1,2,2,1,0,0,1,,,,1,100.0,,,,,,,
43,1997-01-11,44,19-194,CGY,,FLA,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
44,1997-01-15,45,19-198,CGY,,MDA,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1997-01-21,46,19-204,CGY,@,PIT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
46,1997-01-22,47,19-205,CGY,@,TOR,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
47,1997-01-24,48,19-207,CGY,@,OTT,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1997-01-28,49,19-211,CGY,,NYI,W,0,1,1,1,5,0,0,0,0,,,,0,,,,,,,,
49,1997-01-30,50,19-213,CGY,,SJS,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
50,1997-02-01,51,19-215,CGY,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1997-02-03,52,19-217,CGY,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1997-02-05,53,19-219,CGY,@,EDM,L,0,0,0,-1,5,0,0,0,0,,,,3,0.0,,,,,,,
53,1997-02-07,54,19-221,CGY,,WSH,W,0,3,3,1,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1997-02-09,55,19-223,CGY,,MDA,W,1,0,1,0,2,1,0,0,1,,,,3,33.3,,,,,,,
55,1997-02-11,56,19-225,CGY,,BOS,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
56,1997-02-13,57,19-227,CGY,,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
57,1997-02-15,58,19-229,CGY,,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
58,1997-02-18,59,19-232,CGY,@,BUF,T,1,0,1,0,0,0,1,0,0,,,,1,100.0,,,,,,,
59,1997-02-19,60,19-233,CGY,@,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
60,1997-02-21,61,19-235,CGY,@,DAL,L,1,1,2,-1,0,1,0,0,0,,,,3,33.3,,,,,,,
61,1997-02-23,62,19-237,CGY,@,STL,W,1,0,1,-1,0,1,0,0,0,,,,4,25.0,,,,,,,
62,1997-02-26,63,19-240,CGY,,PHX,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
63,1997-02-28,64,19-242,CGY,,MTL,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1997-03-01,65,19-243,CGY,,DAL,W,2,0,2,1,0,1,1,0,1,,,,2,100.0,,,,,,,
65,1997-03-04,66,19-246,CGY,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
66,1997-03-05,67,19-247,CGY,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
67,1997-03-07,68,19-249,CGY,@,FLA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
68,1997-03-09,69,19-251,CGY,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
69,1997-03-12,70,19-254,CGY,@,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
70,1997-03-15,71,19-257,CGY,@,LAK,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
71,1997-03-16,72,19-258,CGY,@,MDA,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
72,1997-03-19,73,19-261,CGY,,SJS,W,0,1,1,1,0,0,0,0,0,,,,6,0.0,,,,,,,
73,1997-03-21,74,19-263,CGY,,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
74,1997-03-25,75,19-267,CGY,,MDA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
75,1997-03-29,76,19-271,CGY,,VAN,L,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1997-04-02,77,19-275,CGY,,COL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
77,1997-04-04,78,19-277,CGY,@,VAN,T,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
78,1997-04-06,79,19-279,CGY,,CHI,L,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
79,1997-04-08,80,19-281,CGY,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
80,1997-04-11,81,19-284,CGY,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
81,1997-04-12,82,19-285,CGY,@,TOR,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
82,1997-10-01,1,20-092,CGY,,DET,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,22,16:56,,,,,
83,1997-10-03,2,20-094,CGY,,COL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,17:10,,,,,
84,1997-10-07,3,20-098,CGY,,TOR,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,20,14:28,,,,,
85,1997-10-09,4,20-100,CGY,,NYR,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,17:23,,,,,
86,1997-10-12,5,20-103,CGY,@,DET,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,22,15:08,,,,,
87,1997-10-14,6,20-105,CGY,@,DAL,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,19,14:17,,,,,
88,1997-10-17,7,20-108,CGY,,COL,W,0,2,2,1,4,0,0,0,0,,,,1,0.0,22,17:15,,,,,
89,1997-10-18,8,20-109,CGY,,BOS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,18:08,,,,,
90,1997-10-22,9,20-113,CGY,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,14:16,,,,,
91,1997-10-23,10,20-114,CGY,@,PHI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,20,17:43,,,,,
92,1997-10-25,11,20-116,CGY,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,17,14:40,,,,,
93,1997-10-28,12,20-119,CGY,,PIT,W,2,0,2,0,0,2,0,0,0,,,,3,66.7,18,12:18,,,,,
94,1997-10-30,13,20-121,CGY,,PHX,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,15:16,,,,,
95,1997-11-01,14,20-123,CGY,@,COL,T,0,0,0,0,0,0,0,0,0,,,,0,,18,13:58,,,,,
96,1997-11-02,15,20-124,CGY,@,PHX,L,0,0,0,0,5,0,0,0,0,,,,0,,19,15:27,,,,,
97,1997-11-05,16,20-127,CGY,,TOR,L,1,0,1,-2,0,1,0,0,0,,,,3,33.3,14,10:50,,,,,
98,1997-11-07,17,20-129,CGY,,MDA,L,1,0,1,0,0,1,0,0,0,,,,4,25.0,22,16:43,,,,,
99,1997-11-09,18,20-131,CGY,@,DET,L,0,1,1,-1,5,0,0,0,0,,,,2,0.0,20,19:30,,,,,
100,1997-11-10,19,20-132,CGY,@,CHI,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,20,20:42,,,,,
101,1997-11-13,20,20-135,CGY,,CAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:51,,,,,
102,1997-11-15,21,20-137,CGY,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,21:16,,,,,
103,1997-11-18,22,20-140,CGY,@,NJD,L,0,0,0,0,2,0,0,0,0,,,,0,,20,16:05,,,,,
104,1997-11-20,23,20-142,CGY,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,17:04,,,,,
105,1997-11-22,24,20-144,CGY,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,19,17:45,,,,,
106,1997-11-23,25,20-145,CGY,@,CAR,T,1,0,1,1,0,0,0,1,0,,,,1,100.0,17,13:00,,,,,
107,1997-11-27,26,20-149,CGY,,CHI,T,0,0,0,0,0,0,0,0,0,,,,5,0.0,21,17:51,,,,,
108,1997-11-29,27,20-151,CGY,,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,13:29,,,,,
