,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-12-20,1,22-036,CBJ,@,MIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:39,,,,,
1,2003-12-23,2,22-039,CBJ,,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,8,7:05,,,,,
2,2004-01-02,3,22-049,CBJ,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,13:07,,,,,
3,2004-01-03,4,22-050,CBJ,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,9:52,,,,,
4,2004-01-06,5,22-053,CBJ,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,14:10,,,,,
5,2004-01-21,6,22-068,CBJ,,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,9,8:46,,,,,
6,2004-01-22,7,22-069,CBJ,@,CHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,14,9:30,,,,,
7,2004-02-27,8,22-105,CBJ,@,CHI,W,1,1,2,2,0,1,0,0,0,,,,2,50.0,16,14:13,,,,,
8,2004-02-28,9,22-106,CBJ,,COL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,12,7:32,,,,,
9,2004-03-02,10,22-109,CBJ,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,13,9:46,,,,,
10,2004-03-03,11,22-110,CBJ,@,DAL,L,0,0,0,-2,0,0,0,0,0,,,,0,,15,11:34,,,,,
11,2004-03-06,12,22-113,CBJ,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,10:22,,,,,
12,2004-03-08,13,22-115,CBJ,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,11,8:42,,,,,
13,2004-03-11,14,22-118,CBJ,,DET,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,13,6:12,,,,,
14,2004-03-13,15,22-120,CBJ,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,6:33,,,,,
15,2004-03-14,16,22-121,CBJ,@,MIN,L,0,0,0,-1,4,0,0,0,0,,,,0,,13,10:00,,,,,
16,2004-03-16,17,22-123,CBJ,@,EDM,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,11,9:56,,,,,
17,2004-03-31,18,22-138,CBJ,,DET,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,15,11:40,,,,,
18,2004-04-02,19,22-140,CBJ,,COL,L,0,0,0,0,4,0,0,0,0,,,,3,0.0,14,8:57,,,,,
19,2005-12-22,1,24-038,PHX,,SJS,W,0,0,0,0,5,0,0,0,0,,,,0,,6,5:26,,,,,
20,2005-12-23,2,24-039,PHX,@,DAL,W,0,0,0,1,7,0,0,0,0,,,,1,0.0,10,5:17,,,,,
21,2005-12-26,3,24-042,PHX,@,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,6,4:22,,,,,
22,2005-12-28,4,24-044,PHX,@,SJS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,14,9:41,,,,,
23,2005-12-29,5,24-045,PHX,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,11,9:28,,,,,
24,2005-12-31,6,24-047,PHX,,COL,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,12,9:12,,,,,
25,2006-01-05,7,24-052,PHX,@,LAK,L,0,0,0,0,2,0,0,0,0,,,,0,,12,6:55,,,,,
26,2006-01-08,8,24-055,PHX,,CBJ,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,9,7:21,,,,,
27,2006-11-07,1,24-358,LAK,@,COL,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,12,8:28,,,,,
28,2006-11-09,2,24-360,LAK,,SJS,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,12,7:10,,,,,
29,2006-11-11,3,24-362,LAK,,MIN,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,5:40,,,,,
30,2006-11-13,4,24-364,LAK,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,11,7:47,,,,,
31,2006-11-16,5,25-002,LAK,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,3,3:53,,,,,
32,2007-11-06,1,25-357,NYI,,NYR,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,11,7:41,3,0,0,0,
33,2007-11-10,2,25-361,NYI,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,11,7:10,0,1,0,0,
34,2007-11-12,3,25-363,NYI,@,PHI,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,6,3:33,0,1,0,0,
35,2007-11-15,4,26-001,NYI,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,0,,8,5:18,1,0,0,0,
36,2007-11-16,5,26-002,NYI,@,NJD,W,0,0,0,0,5,0,0,0,0,,,,0,,5,4:13,0,0,1,0,100.0
37,2007-11-19,6,26-005,NYI,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,6,6:01,1,0,1,0,100.0
38,2007-11-21,7,26-007,NYI,,MTL,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,11,6:09,1,0,0,0,
39,2007-11-23,8,26-009,NYI,@,BOS,L,0,0,0,0,5,0,0,0,0,,,,0,,8,5:28,1,1,0,0,
40,2007-12-13,9,26-029,NYI,,PHX,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,6:21,1,0,0,0,
41,2007-12-15,10,26-031,NYI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,6:04,2,0,0,0,
42,2007-12-19,11,26-035,NYI,,BUF,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,8,7:13,1,1,0,0,
43,2007-12-21,12,26-037,NYI,@,PIT,W,0,1,1,2,0,0,0,0,0,,,,0,,7,6:40,0,0,0,0,
44,2007-12-22,13,26-038,NYI,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,8,4:57,1,0,0,0,
45,2007-12-26,14,26-042,NYI,,TOR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,8,5:02,0,1,0,0,
46,2007-12-27,15,26-043,NYI,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,5:16,0,0,0,0,
47,2007-12-29,16,26-045,NYI,,NJD,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,6,3:27,1,0,0,0,
48,2007-12-31,17,26-047,NYI,@,CAR,W,0,1,1,0,0,0,0,0,0,,,,0,,8,5:16,0,0,0,0,
49,2008-01-03,18,26-050,NYI,,FLA,L-OT,0,0,0,-1,5,0,0,0,0,,,,1,0.0,6,4:46,2,0,0,0,
50,2008-01-05,19,26-052,NYI,@,COL,L-OT,1,0,1,1,0,1,0,0,0,,,,1,100.0,10,6:43,2,0,0,0,
51,2008-01-07,20,26-054,NYI,@,EDM,L,0,0,0,-1,10,0,0,0,0,,,,0,,10,5:00,1,0,0,0,
52,2008-01-08,21,26-055,NYI,@,VAN,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,11:11,3,0,0,0,
53,2008-01-11,22,26-058,NYI,@,CGY,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,5,3:20,0,0,0,0,
54,2008-01-13,23,26-060,NYI,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,6,3:46,1,0,0,0,
55,2008-01-15,24,26-062,NYI,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,9,5:58,2,0,0,0,
56,2008-01-16,25,26-063,NYI,@,NJD,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,7:42,0,0,0,0,
57,2008-01-19,26,26-066,NYI,,PHI,L,0,0,0,0,2,0,0,0,0,,,,0,,13,8:31,0,0,0,0,
58,2008-01-21,27,26-068,NYI,,CAR,L-OT,0,0,0,0,5,0,0,0,0,,,,0,,14,10:03,4,0,0,0,
59,2008-01-22,28,26-069,NYI,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,3:40,1,0,0,0,
60,2008-01-24,29,26-071,NYI,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,16,13:45,1,0,0,0,
61,2008-01-29,30,26-076,NYI,,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,8,6:13,2,0,0,0,
62,2008-01-31,31,26-078,NYI,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,5,4:26,0,1,0,0,
63,2008-03-12,32,26-119,NYI,@,FLA,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,13:02,3,2,0,0,
64,2008-03-15,33,26-122,NYI,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,10:12,1,1,0,0,
65,2008-03-24,34,26-131,NYI,,PIT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,12,9:11,2,0,0,0,
66,2008-03-27,35,26-134,NYI,@,PIT,L,0,0,0,0,5,0,0,0,0,,,,0,,10,7:08,3,0,0,0,
67,2008-03-29,36,26-136,NYI,,PHI,L-SO,0,0,0,-1,2,0,0,0,0,,,,2,0.0,11,7:33,0,0,0,0,
68,2008-11-08,1,26-360,NYI,,PIT,L-SO,1,0,1,-1,0,1,0,0,0,,,,1,100.0,19,13:31,4,2,0,0,
69,2008-11-11,2,26-363,NYI,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,13,6:02,2,0,0,0,
70,2008-11-13,3,26-365,NYI,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,12:40,1,0,1,2,33.3
71,2008-11-15,4,27-001,NYI,,OTT,W,0,1,1,0,7,0,0,0,0,,,,1,0.0,16,8:47,2,0,0,1,0.0
72,2008-11-17,5,27-003,NYI,,VAN,W,0,0,0,0,5,0,0,0,0,,,,6,0.0,15,10:25,4,1,0,1,0.0
73,2008-11-21,6,27-007,NYI,@,NJD,L,0,0,0,-1,5,0,0,0,0,,,,2,0.0,20,12:46,0,0,0,0,
74,2008-11-22,7,27-008,NYI,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,19,13:50,2,1,0,0,
75,2008-11-24,8,27-010,NYI,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,9:05,1,1,0,0,
76,2008-11-26,9,27-012,NYI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:18,2,0,1,0,100.0
77,2008-11-28,10,27-014,NYI,@,BOS,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,21,11:41,0,2,0,0,
78,2008-11-29,11,27-015,NYI,,OTT,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,13:28,1,4,0,0,
79,2008-12-04,12,27-020,NYI,@,WSH,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,16,9:55,1,0,0,2,0.0
80,2008-12-06,13,27-022,NYI,,ATL,L,0,0,0,-1,15,0,0,0,0,,,,2,0.0,17,7:42,2,0,0,0,
81,2008-12-08,14,27-024,NYI,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:11,0,1,0,0,
82,2008-12-09,15,27-025,NYI,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,16,12:03,1,3,0,0,
83,2008-12-11,16,27-027,NYI,@,PIT,L,0,0,0,-2,4,0,0,0,0,,,,0,,20,12:13,2,0,0,0,
84,2008-12-13,17,27-029,NYI,@,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:12,3,1,0,0,
85,2008-12-16,18,27-032,NYI,,WSH,L-OT,0,0,0,-1,5,0,0,0,0,,,,0,,15,10:36,2,0,0,0,
86,2008-12-19,19,27-035,NYI,@,MIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,9:46,0,0,0,1,0.0
87,2008-12-20,20,27-036,NYI,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,11:55,1,0,0,0,
88,2008-12-23,21,27-039,NYI,,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,19,9:45,2,0,1,0,100.0
89,2008-12-26,22,27-042,NYI,,TOR,W,0,0,0,-1,5,0,0,0,0,,,,0,,16,10:45,1,0,0,0,
90,2008-12-27,23,27-043,NYI,@,BUF,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,17,10:23,3,0,0,0,
91,2008-12-29,24,27-045,NYI,@,NYR,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,20,11:38,3,0,0,0,
92,2008-12-31,25,27-047,NYI,,FLA,W,0,0,0,1,0,0,0,0,0,,,,0,,16,10:25,3,1,0,0,
93,2009-01-02,26,27-049,NYI,@,PHX,L,0,0,0,-3,2,0,0,0,0,,,,0,,15,10:28,2,0,0,0,
94,2009-01-03,27,27-050,NYI,@,SJS,L,1,0,1,0,7,0,0,1,0,,,,2,50.0,19,12:12,3,1,1,1,50.0
95,2009-01-05,28,27-052,NYI,@,EDM,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,15,8:07,0,0,0,0,
96,2009-01-08,29,27-055,NYI,@,CGY,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,16,9:48,0,3,0,1,0.0
97,2009-01-13,30,27-060,NYI,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,15,10:52,8,0,0,0,
98,2009-01-15,31,27-062,NYI,,BOS,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,17,11:50,4,0,1,0,100.0
99,2009-01-17,32,27-064,NYI,,NJD,L,0,0,0,0,5,0,0,0,0,,,,2,0.0,17,11:42,0,2,2,0,100.0
100,2009-01-19,33,27-066,NYI,,WSH,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,11:14,3,0,0,0,
101,2009-01-21,34,27-068,NYI,,ANA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,15:00,1,1,0,0,
102,2009-01-29,35,27-076,NYI,@,ATL,W,1,0,1,0,7,1,0,0,0,,,,3,33.3,20,14:19,0,2,0,0,
103,2009-01-31,36,27-078,NYI,,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:40,0,0,0,1,0.0
104,2009-02-03,37,27-081,NYI,,TBL,W,0,0,0,0,5,0,0,0,0,,,,0,,21,11:20,3,1,0,0,
105,2009-02-05,38,27-083,NYI,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,12:35,3,0,0,0,
106,2009-02-07,39,27-085,NYI,@,TBL,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,13,10:09,2,1,0,1,0.0
107,2009-02-10,40,27-088,NYI,,LAK,L-SO,1,0,1,1,0,1,0,0,0,,,,2,50.0,18,12:11,5,0,0,1,0.0
108,2009-02-11,41,27-089,NYI,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,21,13:02,1,0,0,0,
109,2009-02-14,42,27-092,NYI,@,PHI,L,0,0,0,-2,5,0,0,0,0,,,,1,0.0,15,9:19,1,0,0,0,
110,2009-02-16,43,27-094,NYI,,PIT,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,17,12:25,5,1,0,0,
111,2009-02-18,44,27-096,NYI,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:14,5,0,0,0,
112,2009-02-19,45,27-097,NYI,,CAR,L,0,0,0,0,17,0,0,0,0,,,,1,0.0,13,9:52,3,0,0,1,0.0
113,2009-02-21,46,27-099,NYI,,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,16,11:13,0,1,0,0,
114,2009-02-25,47,27-103,NYI,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,9:52,2,1,0,0,
