,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-11-22,1,26-194,MTL,@,NSH,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,18:16,1,1,0,0,
1,2017-11-25,2,26-197,MTL,,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,15:38,1,1,0,0,
2,2017-11-27,3,26-199,MTL,,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,15:07,3,1,0,0,
3,2017-11-29,4,26-201,MTL,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:14,2,4,0,0,
4,2017-11-30,5,26-202,MTL,@,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,26,17:31,2,2,0,0,
5,2017-12-07,6,26-209,MTL,,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:31,0,1,0,0,
6,2017-12-09,7,26-211,MTL,,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:40,1,2,0,0,
7,2017-12-16,8,26-218,MTL,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,13:10,0,1,0,0,
8,2017-12-19,9,26-221,MTL,@,VAN,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,24,15:11,0,0,0,0,
9,2017-12-22,10,26-224,MTL,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:32,0,1,0,0,
10,2017-12-27,11,26-229,MTL,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:12,1,1,0,0,
11,2017-12-28,12,26-230,MTL,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,13:02,2,2,0,0,
12,2017-12-30,13,26-232,MTL,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,19:50,1,1,0,0,
13,2018-01-02,14,26-235,MTL,,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,25,18:01,0,0,0,0,
14,2018-01-04,15,26-237,MTL,,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,20:18,0,3,0,0,
15,2018-01-07,16,26-240,MTL,,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,26,19:31,0,3,0,0,
16,2018-01-13,17,26-246,MTL,,BOS,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,29,20:45,1,1,0,0,
17,2018-01-15,18,26-248,MTL,,NYI,L-OT,0,2,2,-1,0,0,0,0,0,2,0,0,3,0.0,31,19:10,0,2,0,0,
18,2018-01-17,19,26-250,MTL,@,BOS,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,26,20:32,2,2,0,0,
19,2018-01-19,20,26-252,MTL,@,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,26,19:33,1,2,0,0,
20,2018-01-20,21,26-253,MTL,,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:26,2,1,0,0,
21,2018-01-23,22,26-256,MTL,,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,16:15,2,1,0,0,
22,2018-01-25,23,26-258,MTL,,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,14:51,1,0,0,0,
23,2018-01-30,24,26-263,MTL,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,19:54,2,2,0,0,
24,2018-02-01,25,26-265,MTL,@,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,20:30,3,3,0,0,
25,2018-02-27,26,26-291,WSH,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12:35,1,2,0,0,
26,2018-03-08,27,26-300,WSH,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,14:22,1,1,0,0,
27,2018-03-10,28,26-302,WSH,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:41,1,0,0,0,
28,2018-03-12,29,26-304,WSH,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:23,2,1,0,0,
29,2018-03-15,30,26-307,WSH,@,NYI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,15:32,2,1,0,0,
30,2018-03-18,31,26-310,WSH,@,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,16,12:15,1,1,0,0,
31,2018-03-24,32,26-316,WSH,@,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,15:00,0,0,0,0,
32,2018-03-26,33,26-318,WSH,@,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,13:47,0,3,0,0,
33,2018-04-01,34,26-324,WSH,@,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,14:28,2,0,0,0,
34,2018-04-02,35,26-325,WSH,@,STL,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,17,13:07,0,0,0,0,
35,2018-04-07,36,26-330,WSH,,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,16:43,4,1,0,0,
36,2018-10-11,1,27-152,STL,,CGY,W,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,15,7:52,0,1,0,0,
