,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2007-10-04,1,34-030,CHI,@,MIN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,17:51,0,0,0,0,
1,2007-10-06,2,34-032,CHI,,DET,W,0,1,1,0,0,0,0,0,0,,,,0,,23,21:08,0,0,0,0,
2,2007-10-10,3,34-036,CHI,,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,18,15:41,0,0,0,0,
3,2007-10-12,4,34-038,CHI,@,DET,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,17:21,0,1,0,0,
4,2007-10-13,5,34-039,CHI,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,16:55,2,0,0,0,
5,2007-10-17,6,34-043,CHI,,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,15:46,0,2,0,0,
6,2007-10-19,7,34-045,CHI,,COL,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,20,17:42,0,0,0,0,
7,2007-10-25,8,34-051,CHI,@,BOS,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,22,15:51,0,0,0,0,
8,2007-10-27,9,34-053,CHI,,ATL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,19:23,0,1,0,0,
9,2007-10-31,10,34-057,CHI,@,DAL,W,0,0,0,1,0,0,0,0,0,,,,0,,20,15:33,0,,,,
10,2007-11-14,11,34-071,CHI,@,CBJ,L,0,1,1,0,0,0,0,0,0,,,,0,,18,16:06,0,0,0,0,
11,2007-11-15,12,34-072,CHI,@,NSH,L-OT,0,0,0,-2,0,0,0,0,0,,,,0,,18,15:11,0,2,0,0,
12,2007-11-17,13,34-074,CHI,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,6,4:14,0,,,,
13,2007-11-24,14,34-081,CHI,@,EDM,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,6,4:13,0,1,0,0,
14,2007-12-09,15,34-096,CHI,,CGY,L,0,1,1,0,0,0,0,0,0,,,,0,,15,14:23,1,0,0,0,
15,2007-12-12,16,34-099,CHI,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,14,11:39,0,0,0,0,
