,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-12-02,1,20-216,CBJ,,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,12,9:11,,,,,
1,2003-12-04,2,20-218,CBJ,,NSH,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,18,11:57,,,,,
2,2003-12-06,3,20-220,CBJ,@,COL,L,0,0,0,0,2,0,0,0,0,,,,0,,20,14:53,,,,,
3,2004-02-02,4,20-278,CBJ,@,PHX,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,15:25,,,,,
4,2004-02-04,5,20-280,CBJ,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,13:56,,,,,
5,2004-02-11,6,20-287,CBJ,,LAK,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,21,16:19,,,,,
6,2004-02-12,7,20-288,CBJ,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,14:59,,,,,
7,2004-02-14,8,20-290,CBJ,,SJS,L-OT,0,0,0,0,2,0,0,0,0,,,,3,0.0,20,16:11,,,,,
8,2004-02-16,9,20-292,CBJ,,NSH,W,0,0,0,1,0,0,0,0,0,,,,0,,17,13:20,,,,,
9,2004-02-18,10,20-294,CBJ,@,MDA,L,0,0,0,-1,2,0,0,0,0,,,,0,,14,9:54,,,,,
10,2004-02-20,11,20-296,CBJ,@,PHX,L,0,1,1,1,12,0,0,0,0,,,,0,,15,10:06,,,,,
11,2004-02-21,12,20-297,CBJ,@,LAK,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,27,18:51,,,,,
12,2004-02-23,13,20-299,CBJ,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,24,19:29,,,,,
13,2004-02-25,14,20-301,CBJ,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,24,18:17,,,,,
14,2004-02-27,15,20-303,CBJ,@,CHI,W,0,1,1,0,2,0,0,0,0,,,,2,0.0,25,18:03,,,,,
15,2004-02-28,16,20-304,CBJ,,COL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,24,17:40,,,,,
16,2004-03-02,17,20-307,CBJ,@,CAR,W,0,0,0,1,0,0,0,0,0,,,,0,,23,15:08,,,,,
17,2004-03-03,18,20-308,CBJ,@,DAL,L,0,0,0,-2,2,0,0,0,0,,,,0,,26,15:21,,,,,
18,2004-03-06,19,20-311,CBJ,,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,23,20:22,,,,,
19,2004-03-08,20,20-313,CBJ,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,23,17:22,,,,,
20,2004-03-11,21,20-316,CBJ,,DET,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,23,17:27,,,,,
21,2004-03-13,22,20-318,CBJ,@,STL,L,0,1,1,-1,0,0,0,0,0,,,,0,,24,17:55,,,,,
22,2004-03-14,23,20-319,CBJ,@,MIN,L,0,0,0,-2,0,0,0,0,0,,,,0,,12,10:44,,,,,
23,2004-03-16,24,20-321,CBJ,@,EDM,L,0,2,2,1,2,0,0,0,0,,,,1,0.0,18,14:40,,,,,
24,2004-03-18,25,20-323,CBJ,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,19,14:06,,,,,
25,2004-03-21,26,20-326,CBJ,@,VAN,W,0,0,0,1,4,0,0,0,0,,,,2,0.0,21,14:23,,,,,
26,2004-03-24,27,20-329,CBJ,,MIN,W,1,0,1,1,2,1,0,0,1,,,,2,50.0,17,12:51,,,,,
27,2004-03-26,28,20-331,CBJ,,MDA,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,21,14:43,,,,,
28,2004-03-27,29,20-332,CBJ,@,NSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,12:14,,,,,
29,2005-11-25,1,22-209,CBJ,,COL,L,0,0,0,-1,7,0,0,0,0,,,,0,,20,14:59,,,,,
30,2005-11-26,2,22-210,CBJ,@,STL,W,1,0,1,0,0,0,1,0,1,,,,1,100.0,14,12:21,,,,,
31,2005-12-23,3,22-237,CBJ,,NSH,L,0,1,1,0,2,0,0,0,0,,,,3,0.0,14,8:37,,,,,
32,2006-03-02,4,22-306,CBJ,@,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:08,,,,,
33,2006-03-04,5,22-308,CBJ,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,21,14:37,,,,,
34,2006-03-05,6,22-309,CBJ,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,15:07,,,,,
35,2006-03-09,7,22-313,CBJ,,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,14,9:57,,,,,
36,2006-03-11,8,22-315,CBJ,,EDM,W,0,0,0,2,2,0,0,0,0,,,,0,,13,8:29,,,,,
37,2006-03-13,9,22-317,CBJ,@,STL,L-OT,0,0,0,1,2,0,0,0,0,,,,0,,21,15:12,,,,,
38,2006-03-15,10,22-319,CBJ,@,CHI,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,20:49,,,,,
39,2006-03-17,11,22-321,CBJ,,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,13:46,,,,,
40,2006-03-19,12,22-323,CBJ,,MDA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:30,,,,,
41,2006-03-21,13,22-325,CBJ,,PHX,L,0,1,1,-2,0,0,0,0,0,,,,4,0.0,20,14:14,,,,,
42,2006-03-24,14,22-328,CBJ,,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,16,13:21,,,,,
43,2006-03-25,15,22-329,CBJ,@,DET,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,13:44,,,,,
44,2006-03-28,16,22-332,CBJ,,SJS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,20,13:35,,,,,
45,2006-03-31,17,22-335,CBJ,@,STL,W,0,1,1,2,0,0,0,0,0,,,,0,,19,14:22,,,,,
46,2006-04-01,18,22-336,CBJ,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,16,12:07,,,,,
47,2006-04-03,19,22-338,CBJ,@,NSH,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,18,13:10,,,,,
48,2006-04-07,20,22-342,CBJ,@,DET,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,24,17:33,,,,,
49,2006-04-08,21,22-343,CBJ,,DET,L,0,0,0,1,2,0,0,0,0,,,,2,0.0,20,15:18,,,,,
50,2006-04-11,22,22-346,CBJ,@,DAL,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,19,14:06,,,,,
51,2006-04-13,23,22-348,CBJ,,STL,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,24,14:59,,,,,
52,2006-04-15,24,22-350,CBJ,,CHI,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,17:07,,,,,
53,2006-04-16,25,22-351,CBJ,@,CHI,L,0,0,0,-2,2,0,0,0,0,,,,0,,20,15:16,,,,,
54,2006-04-18,26,22-353,CBJ,,DAL,W,0,1,1,1,0,0,0,0,0,,,,0,,21,18:42,,,,,
55,2006-10-06,1,23-159,CBJ,,VAN,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,15:56,,,,,
56,2006-10-07,2,23-160,CBJ,@,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,17,10:24,,,,,
57,2006-10-21,3,23-174,CBJ,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,17,10:48,,,,,
58,2006-11-04,4,23-188,CBJ,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,16:53,,,,,
59,2006-11-09,5,23-193,CBJ,@,STL,W,0,0,0,1,0,0,0,0,0,,,,0,,27,17:42,,,,,
60,2006-11-10,6,23-194,CBJ,,EDM,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,24,18:42,,,,,
61,2006-11-12,7,23-196,CBJ,@,CHI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,15:30,,,,,
62,2006-11-15,8,23-199,CBJ,,NSH,L,0,1,1,0,2,0,0,0,0,,,,3,0.0,19,13:32,,,,,
63,2006-11-17,9,23-201,CBJ,,COL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,16:55,,,,,
64,2006-11-18,10,23-202,CBJ,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,19,12:40,,,,,
65,2006-11-20,11,23-204,CBJ,,NSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,17:48,,,,,
66,2006-11-22,12,23-206,CBJ,,STL,L-SO,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,12:10,,,,,
67,2006-11-24,13,23-208,CBJ,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,13:09,,,,,
68,2006-11-25,14,23-209,CBJ,,MIN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,14:04,,,,,
69,2006-11-28,15,23-212,CBJ,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,12:05,,,,,
70,2006-12-01,16,23-215,CBJ,@,CGY,L,0,0,0,-1,2,0,0,0,0,,,,0,,22,13:20,,,,,
71,2006-12-02,17,23-216,CBJ,@,EDM,W,0,1,1,1,2,0,0,0,0,,,,0,,24,16:38,,,,,
72,2006-12-05,18,23-219,CBJ,@,COL,W,0,0,0,1,0,0,0,0,0,,,,0,,27,17:57,,,,,
73,2006-12-09,19,23-223,CBJ,@,STL,W,0,0,0,2,2,0,0,0,0,,,,0,,22,13:54,,,,,
74,2006-12-10,20,23-224,CBJ,,OTT,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,24,16:57,,,,,
75,2006-12-12,21,23-226,CBJ,@,DAL,W,0,0,0,0,2,0,0,0,0,,,,0,,27,16:49,,,,,
76,2006-12-14,22,23-228,CBJ,@,PHX,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,33,22:49,,,,,
77,2006-12-16,23,23-230,CBJ,,CHI,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,25,16:09,,,,,
78,2006-12-18,24,23-232,CBJ,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,15,12:02,,,,,
79,2006-12-20,25,23-234,CBJ,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,13:29,,,,,
80,2006-12-22,26,23-236,CBJ,,VAN,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,18,11:44,,,,,
81,2006-12-23,27,23-237,CBJ,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,15:06,,,,,
82,2006-12-26,28,23-240,CBJ,,BOS,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,21,16:25,,,,,
83,2006-12-28,29,23-242,CBJ,,DET,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,21,13:38,,,,,
84,2006-12-29,30,23-243,CBJ,@,MIN,L-OT,0,0,0,2,0,0,0,0,0,,,,0,,18,9:51,,,,,
85,2006-12-31,31,23-245,CBJ,,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,13,6:54,,,,,
86,2007-01-05,32,23-250,CBJ,@,ANA,W,0,0,0,0,2,0,0,0,0,,,,0,,13,9:32,,,,,
87,2007-01-06,33,23-251,CBJ,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,12:35,,,,,
88,2007-01-09,34,23-254,CBJ,,STL,L-SO,1,0,1,1,0,1,0,0,0,,,,1,100.0,18,10:14,,,,,
89,2007-01-12,35,23-257,CBJ,@,NSH,L,0,0,0,-1,2,0,0,0,0,,,,0,,25,18:06,,,,,
90,2007-01-13,36,23-258,CBJ,,NSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,25,21:56,,,,,
91,2007-01-16,37,23-261,CBJ,@,CHI,W,0,0,0,-3,2,0,0,0,0,,,,0,,20,9:57,,,,,
92,2007-01-18,38,23-263,CBJ,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,16:46,,,,,
93,2007-01-19,39,23-264,CBJ,,DET,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,22,12:30,,,,,
94,2007-01-26,40,23-271,CBJ,,BUF,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,17,10:08,,,,,
95,2007-01-27,41,23-272,CBJ,,MIN,W,0,0,0,-1,0,0,0,0,0,,,,0,,12,7:24,,,,,
96,2007-01-30,42,23-275,CBJ,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,12,9:09,,,,,
97,2007-02-06,43,23-282,CBJ,,PHX,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,15:26,,,,,
98,2007-02-24,44,23-300,CBJ,@,NYR,W,0,0,0,1,4,0,0,0,0,,,,0,,23,14:47,,,,,
99,2007-02-25,45,23-301,CBJ,,NSH,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,9:31,,,,,
100,2007-02-27,46,23-303,CBJ,@,COL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,13:08,,,,,
101,2007-03-07,47,23-311,CBJ,,LAK,W,0,1,1,1,0,0,0,0,0,,,,0,,19,13:20,,,,,
102,2007-03-09,48,23-313,CBJ,,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,14:39,,,,,
103,2007-03-10,49,23-314,CBJ,@,NSH,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,22,12:52,,,,,
104,2007-03-14,50,23-318,CBJ,@,ANA,W,0,0,0,-1,0,0,0,0,0,,,,0,,15,7:01,,,,,
105,2007-03-16,51,23-320,CBJ,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,9:21,,,,,
106,2007-03-17,52,23-321,CBJ,@,LAK,L,0,0,0,-1,2,0,0,0,0,,,,0,,16,9:09,,,,,
107,2007-03-20,53,23-324,CBJ,,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,11,5:57,,,,,
108,2007-03-22,54,23-326,CBJ,@,DET,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,12,4:39,,,,,
109,2007-03-25,55,23-329,CBJ,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:50,,,,,
110,2007-03-27,56,23-331,CBJ,@,STL,W,0,0,0,-1,2,0,0,0,0,,,,0,,11,5:54,,,,,
111,2007-03-29,57,23-333,CBJ,,ANA,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,11,8:00,,,,,
112,2007-04-01,58,23-336,CBJ,,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,12,10:38,,,,,
113,2007-04-03,59,23-338,CBJ,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:13,,,,,
114,2007-04-05,60,23-340,CBJ,,DAL,W,0,0,0,0,2,0,0,0,0,,,,0,,12,8:32,,,,,
115,2007-04-07,61,23-342,CBJ,,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,7,5:08,,,,,
116,2007-10-18,1,24-171,NYI,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,5,3:39,0,0,0,0,
117,2007-10-20,2,24-173,NYI,,NJD,W,0,0,0,-1,0,0,0,0,0,,,,0,,19,13:57,1,0,0,0,
118,2007-10-27,3,24-180,NYI,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,7,4:52,1,0,0,0,
