,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1994-01-06,1,22-162,WIN,@,BOS,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
1,1994-02-05,2,22-192,NYI,@,QUE,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
2,1994-02-06,3,22-193,NYI,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1994-02-08,4,22-195,NYI,,BUF,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
4,1994-02-10,5,22-197,NYI,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
5,1994-02-12,6,22-199,NYI,,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1994-02-15,7,22-202,NYI,,TBL,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
7,1994-02-18,8,22-205,NYI,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1994-03-12,9,22-227,NYI,@,STL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1994-03-15,10,22-230,NYI,,NJD,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
10,1994-03-17,11,22-232,NYI,@,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1994-03-18,12,22-233,NYI,vs.,BUF,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1994-03-20,13,22-235,NYI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
13,1994-03-22,14,22-237,NYI,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1994-03-27,15,22-242,NYI,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1994-03-29,16,22-244,NYI,@,WSH,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1994-04-01,17,22-247,NYI,,MTL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
17,1994-04-02,18,22-248,NYI,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1994-04-05,19,22-251,NYI,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
19,1994-04-06,20,22-252,NYI,@,HAR,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1994-04-08,21,22-254,NYI,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1994-04-10,22,22-256,NYI,,NYR,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
22,1994-04-13,23,22-259,NYI,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
23,1994-04-14,24,22-260,NYI,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
24,1995-04-24,1,23-270,NYI,,BOS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1995-04-26,2,23-272,NYI,@,WSH,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
