,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2000-10-06,1,28-250,STL,@,SJS,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,29,18:58,,,,,
1,2000-10-08,2,28-252,STL,@,MDA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,16:51,,,,,
2,2000-10-11,3,28-255,STL,@,LAK,T,0,0,0,1,4,0,0,0,0,,,,1,0.0,28,21:40,,,,,
3,2000-10-13,4,28-257,STL,,MIN,W,1,0,1,1,2,1,0,0,0,,,,4,25.0,30,24:23,,,,,
4,2000-10-17,5,28-261,STL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,21,21:28,,,,,
5,2000-10-19,6,28-263,STL,,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,21:20,,,,,
6,2000-10-21,7,28-265,STL,,CHI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,27,19:05,,,,,
7,2000-10-26,8,28-270,STL,,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,25,19:08,,,,,
8,2000-10-28,9,28-272,STL,,DAL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,21:25,,,,,
9,2000-10-29,10,28-273,STL,@,CAR,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,26,20:29,,,,,
10,2000-10-31,11,28-275,STL,@,NSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,27,22:54,,,,,
11,2000-11-02,12,28-277,STL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,19:07,,,,,
12,2000-11-04,13,28-279,STL,,TOR,T,0,0,0,0,0,0,0,0,0,,,,0,,24,19:41,,,,,
13,2000-11-09,14,28-284,STL,@,COL,T,0,1,1,0,0,0,0,0,0,,,,0,,30,22:39,,,,,
14,2000-11-11,15,28-286,STL,@,VAN,W,0,0,0,0,2,0,0,0,0,,,,0,,31,21:20,,,,,
15,2000-11-14,16,28-289,STL,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,27,22:58,,,,,
16,2000-11-16,17,28-291,STL,,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,24,18:53,,,,,
17,2000-11-18,18,28-293,STL,,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,25,18:41,,,,,
18,2000-11-21,19,28-296,STL,,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,26,21:04,,,,,
19,2000-11-24,20,28-299,STL,@,NSH,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,20,16:55,,,,,
20,2000-11-25,21,28-300,STL,,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,23,17:35,,,,,
21,2000-11-29,22,28-304,STL,@,TOR,W,2,0,2,0,0,1,1,0,0,,,,5,40.0,25,19:08,,,,,
22,2000-12-02,23,28-307,STL,,FLA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,17:34,,,,,
23,2000-12-05,24,28-310,STL,,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,14:57,,,,,
24,2000-12-09,25,28-314,STL,,CHI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,18:02,,,,,
25,2000-12-10,26,28-315,STL,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,25,18:53,,,,,
26,2000-12-15,27,28-320,STL,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,15:22,,,,,
27,2000-12-16,28,28-321,STL,,DET,T,0,0,0,0,0,0,0,0,0,,,,0,,22,15:41,,,,,
28,2000-12-20,29,28-325,STL,@,NYR,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,22,15:50,,,,,
29,2000-12-23,30,28-328,STL,,MDA,W,0,1,1,1,2,0,0,0,0,,,,0,,22,19:59,,,,,
30,2000-12-26,31,28-331,STL,,CBJ,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,19:33,,,,,
31,2000-12-28,32,28-333,STL,,LAK,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,22,16:53,,,,,
32,2000-12-30,33,28-335,STL,,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,20,14:35,,,,,
33,2001-01-01,34,28-337,STL,,EDM,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,20,18:40,,,,,
34,2001-01-02,35,28-338,STL,@,OTT,L,0,0,0,0,2,0,0,0,0,,,,0,,19,12:59,,,,,
35,2001-01-04,36,28-340,STL,,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,16:02,,,,,
36,2001-01-13,37,28-349,STL,@,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,18,12:39,,,,,
37,2001-01-15,38,28-351,STL,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,7:38,,,,,
38,2001-01-23,39,28-359,STL,@,MTL,W,0,1,1,3,0,0,0,0,0,,,,2,0.0,23,23:01,,,,,
