,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-02-10,1,23-149,TBL,@,NYR,L,0,1,1,0,2,0,0,0,0,,,,2,0.0,20,13:17,0,0,0,0,
1,2013-02-12,2,23-151,TBL,,MTL,L-SO,0,0,0,1,2,0,0,0,0,,,,1,0.0,13,10:53,0,0,0,0,
2,2013-02-14,3,23-153,TBL,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,10:25,1,0,0,1,0.0
3,2013-02-16,4,23-155,TBL,@,FLA,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,15,12:31,2,0,0,0,
4,2013-02-19,5,23-158,TBL,,TOR,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,19,13:55,2,2,0,0,
5,2013-02-21,6,23-160,TBL,,BOS,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,15,12:09,1,0,0,0,
6,2013-02-23,7,23-162,TBL,@,CAR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,13:53,0,0,0,0,
7,2013-02-24,8,23-163,TBL,@,PIT,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,19,15:08,2,0,0,0,
8,2013-02-26,9,23-165,TBL,,BUF,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,17,12:38,1,0,0,0,
9,2013-02-28,10,23-167,TBL,@,NYR,L,0,0,0,-1,2,0,0,0,0,,,,4,0.0,18,16:14,0,1,1,0,100.0
10,2013-03-02,11,23-169,TBL,@,BOS,L,1,0,1,-1,0,0,1,0,0,,,,4,25.0,25,19:06,1,0,0,1,0.0
11,2013-03-04,12,23-171,TBL,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,16:22,0,2,0,0,
12,2013-03-05,13,23-172,TBL,@,NJD,W,1,1,2,1,0,1,0,0,1,,,,1,100.0,19,15:37,0,0,0,0,
13,2013-03-07,14,23-174,TBL,,WPG,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,21:28,2,1,0,0,
14,2013-03-09,15,23-176,TBL,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,19:26,3,1,1,0,100.0
15,2013-03-12,16,23-179,TBL,@,FLA,W,0,2,2,1,2,0,0,0,0,,,,0,,24,16:08,6,0,1,3,25.0
16,2013-03-14,17,23-181,TBL,,NYI,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,21,18:10,1,1,0,2,0.0
17,2013-03-16,18,23-183,TBL,,CAR,W,0,1,1,1,0,0,0,0,0,,,,0,,20,16:33,1,1,0,0,
18,2013-03-18,19,23-185,TBL,,PHI,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,20,16:16,0,0,0,0,
19,2013-03-20,20,23-187,TBL,@,TOR,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,18,15:03,2,1,0,0,
20,2013-03-23,21,23-190,TBL,@,OTT,L,0,0,0,0,2,0,0,0,0,,,,5,0.0,21,18:37,5,0,0,0,
21,2013-03-24,22,23-191,TBL,@,WPG,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,25,19:27,1,0,0,0,
