,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1992-04-16,1,21-077,MNS,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1992-12-26,1,21-331,MNS,,WIN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1992-12-27,2,21-332,MNS,@,WIN,L,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
3,1992-12-31,3,21-336,MNS,,BOS,W,0,2,2,2,0,0,0,0,0,,,,4,0.0,,,,,,,
4,1993-01-02,4,21-338,MNS,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
5,1993-01-03,5,21-339,MNS,@,HAR,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1993-01-06,6,21-342,MNS,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
7,1993-01-07,7,21-343,MNS,@,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
8,1993-01-16,8,21-352,MNS,,CGY,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1993-01-19,9,21-355,MNS,@,TBL,W,1,0,1,0,0,1,0,0,0,,,,3,33.3,,,,,,,
10,1993-01-21,10,21-357,MNS,,OTT,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
11,1993-01-23,11,21-359,MNS,,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1993-01-24,12,21-360,MNS,@,TBL,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
13,1993-01-26,13,21-362,MNS,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1993-01-28,14,21-364,MNS,,NJD,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
15,1993-01-30,15,22-000,MNS,,TBL,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
16,1993-02-01,16,22-002,MNS,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1993-02-03,17,22-004,MNS,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1993-02-09,18,22-010,MNS,,WSH,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
19,1993-02-11,19,22-012,MNS,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1993-02-13,20,22-014,MNS,@,TOR,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1993-02-14,21,22-015,MNS,,TOR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
22,1993-02-17,22,22-018,MNS,,LAK,L,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1993-02-20,23,22-021,MNS,,PHI,W,0,1,1,1,4,0,0,0,0,,,,2,0.0,,,,,,,
24,1993-02-21,24,22-022,MNS,,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
25,1993-02-25,25,22-026,MNS,@,BOS,T,0,2,2,2,0,0,0,0,0,,,,2,0.0,,,,,,,
26,1993-02-27,26,22-028,MNS,@,STL,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
27,1993-02-28,27,22-029,MNS,@,WIN,L,0,1,1,-2,2,0,0,0,0,,,,4,0.0,,,,,,,
28,1993-03-03,28,22-032,MNS,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1993-03-06,29,22-035,MNS,,MTL,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,,,,,,,
30,1993-03-07,30,22-036,MNS,,DET,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
31,1993-03-09,31,22-038,MNS,,SJS,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
32,1993-03-11,32,22-040,MNS,vs.,VAN,W,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
33,1993-03-13,33,22-042,MNS,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
34,1993-03-14,34,22-043,MNS,,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1993-03-16,35,22-045,MNS,@,PHI,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
36,1993-03-18,36,22-047,MNS,@,DET,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
37,1993-03-21,37,22-050,MNS,,DET,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
38,1993-03-25,38,22-054,MNS,,TOR,T,0,0,0,0,12,0,0,0,0,,,,4,0.0,,,,,,,
39,1993-03-27,39,22-056,MNS,,HAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
40,1993-03-31,40,22-060,MNS,@,EDM,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
41,1993-04-01,41,22-061,MNS,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
42,1993-04-03,42,22-063,MNS,@,LAK,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
43,1993-04-06,43,22-066,MNS,,BUF,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
44,1993-04-10,44,22-070,MNS,,STL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
45,1993-04-11,45,22-071,MNS,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1993-04-13,46,22-073,MNS,,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
47,1993-04-15,47,22-075,MNS,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1993-10-05,1,22-248,DAL,,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1993-10-07,2,22-250,DAL,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
50,1993-10-09,3,22-252,DAL,,WIN,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
51,1993-11-05,4,22-279,DAL,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
52,1993-11-07,5,22-281,DAL,,WIN,T,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
53,1993-11-11,6,22-285,DAL,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
54,1993-11-17,7,22-291,DAL,,TBL,W,0,1,1,1,6,0,0,0,0,,,,0,,,,,,,,
55,1993-11-20,8,22-294,DAL,,CGY,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
56,1993-11-21,9,22-295,DAL,,LAK,W,1,0,1,-1,2,1,0,0,0,,,,4,25.0,,,,,,,
57,1993-11-24,10,22-298,DAL,,NYI,T,0,1,1,0,2,0,0,0,0,,,,0,,,,,,,,
58,1993-11-27,11,22-301,DAL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
59,1993-11-29,12,22-303,DAL,@,EDM,W,1,1,2,0,0,1,0,0,0,,,,2,50.0,,,,,,,
60,1993-11-30,13,22-304,DAL,@,CGY,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
61,1993-12-04,14,22-308,DAL,@,STL,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
62,1993-12-05,15,22-309,DAL,,EDM,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
63,1993-12-08,16,22-312,DAL,,PIT,W,2,0,2,2,0,2,0,0,1,,,,2,100.0,,,,,,,
64,1993-12-09,17,22-313,DAL,vs.,OTT,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,,,,,,,
65,1993-12-12,18,22-316,DAL,,FLA,T,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
66,1993-12-15,19,22-319,DAL,,CHI,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
67,1993-12-17,20,22-321,DAL,,MDA,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
68,1993-12-19,21,22-323,DAL,@,VAN,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,,,,,,,
69,1993-12-22,22,22-326,DAL,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
70,1993-12-23,23,22-327,DAL,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
71,1993-12-27,24,22-331,DAL,,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
72,1993-12-29,25,22-333,DAL,,TOR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
73,1993-12-31,26,22-335,DAL,@,CHI,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
74,1994-01-02,27,22-337,DAL,,QUE,L,0,2,2,0,0,0,0,0,0,,,,3,0.0,,,,,,,
75,1994-01-04,28,22-339,DAL,,CHI,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
76,1994-01-06,29,22-341,DAL,,PHI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
77,1994-01-09,30,22-344,DAL,,STL,W,0,1,1,1,4,0,0,0,0,,,,1,0.0,,,,,,,
78,1994-01-11,31,22-346,DAL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
79,1994-01-13,32,22-348,DAL,@,TOR,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
80,1994-01-14,33,22-349,DAL,@,DET,L,1,1,2,1,0,1,0,0,0,,,,2,50.0,,,,,,,
81,1994-01-16,34,22-351,DAL,,BUF,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
82,1994-01-18,35,22-353,DAL,,LAK,W,1,1,2,1,0,0,1,0,1,,,,1,100.0,,,,,,,
83,1994-01-24,36,22-359,DAL,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
84,1994-01-26,37,22-361,DAL,@,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
85,1994-01-27,38,22-362,DAL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
86,1994-01-29,39,22-364,DAL,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
87,1994-02-02,40,23-003,DAL,@,WIN,W,1,3,4,3,0,1,0,0,0,,,,1,100.0,,,,,,,
88,1994-02-06,41,23-007,DAL,,SJS,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
89,1994-02-16,42,23-017,DAL,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
90,1994-03-02,43,23-031,DAL,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
91,1994-03-06,44,23-035,DAL,,MTL,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
92,1994-03-08,45,23-037,DAL,@,PHI,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
93,1994-03-09,46,23-038,DAL,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
