,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-10-09,1,24-036,BOS,,QUE,W,0,0,0,-1,4,0,0,0,0,,,,1,0.0,,,,,,,
1,1994-03-24,2,24-202,BOS,,MDA,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,,,,,,,
2,1994-03-26,3,24-204,BOS,,MTL,W,1,0,1,0,2,1,0,0,0,,,,2,50.0,,,,,,,
3,1994-03-27,4,24-205,BOS,@,WSH,W,0,2,2,2,2,0,0,0,0,,,,2,0.0,,,,,,,
4,1994-03-31,5,24-209,BOS,,DAL,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1994-04-01,6,24-210,BOS,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1994-04-03,7,24-212,BOS,vs.,PIT,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
7,1994-04-07,8,24-216,BOS,,OTT,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
8,1994-04-10,9,24-219,BOS,@,PHI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1994-04-13,10,24-222,BOS,@,OTT,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
10,1994-04-14,11,24-223,BOS,,HAR,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
11,1995-03-22,1,25-200,BOS,@,QUE,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
12,1995-03-24,2,25-202,BOS,@,TBL,W,1,0,1,-1,0,1,0,0,1,,,,1,100.0,,,,,,,
13,1995-03-28,3,25-206,BOS,,PHI,W,1,0,1,2,0,1,0,0,0,,,,6,16.7,,,,,,,
14,1995-03-30,4,25-208,BOS,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
15,1995-04-01,5,25-210,BOS,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1995-04-02,6,25-211,BOS,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1995-04-14,7,25-223,BOS,@,NYR,L,0,0,0,-3,0,0,0,0,0,,,,4,0.0,,,,,,,
18,1995-04-15,8,25-224,BOS,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1995-04-19,9,25-228,BOS,,BUF,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
20,1995-04-20,10,25-229,BOS,@,OTT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1995-04-23,11,25-232,BOS,,NYR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1995-04-24,12,25-233,BOS,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
23,1995-04-26,13,25-235,BOS,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
24,1995-04-30,14,25-239,BOS,,PIT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
25,1995-05-01,15,25-240,BOS,,OTT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1995-05-03,16,25-242,BOS,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
27,1996-01-27,1,26-146,STL,,TBL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
