,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-10-10,1,20-176,CGY,,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,11:32,,,,,
1,2002-10-12,2,20-178,CGY,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,10:09,,,,,
2,2002-10-14,3,20-180,CGY,@,VAN,W,1,0,1,1,2,1,0,0,1,,,,4,25.0,20,11:42,,,,,
3,2002-10-17,4,20-183,CGY,,BOS,T,1,0,1,-1,0,0,1,0,0,,,,3,33.3,19,13:09,,,,,
4,2002-10-19,5,20-185,CGY,@,CHI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,16,11:55,,,,,
5,2002-10-21,6,20-187,CGY,@,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:26,,,,,
6,2002-10-31,7,20-197,CGY,,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,11:44,,,,,
7,2002-11-02,8,20-199,CGY,,COL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,11:49,,,,,
8,2002-11-04,9,20-201,CGY,@,NYI,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,18,14:11,,,,,
9,2002-11-05,10,20-202,CGY,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,11,8:08,,,,,
10,2002-11-07,11,20-204,CGY,@,NYR,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,12:42,,,,,
11,2002-11-09,12,20-206,CGY,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,19,14:11,,,,,
12,2002-11-11,13,20-208,CGY,@,ATL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,14:42,,,,,
13,2002-11-14,14,20-211,CGY,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,18:31,,,,,
14,2002-11-16,15,20-213,CGY,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,12,11:07,,,,,
15,2002-11-19,16,20-216,CGY,,DET,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,13:15,,,,,
