,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-01-28,1,21-286,PIT,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,15:06,,,,,
1,2003-01-30,2,21-288,PIT,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:06,,,,,
2,2003-10-10,1,22-176,PIT,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,16:11,,,,,
3,2003-10-11,2,22-177,PIT,@,PHI,T,0,1,1,1,0,0,0,0,0,,,,4,0.0,30,24:14,,,,,
4,2003-10-16,3,22-182,PIT,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,21,21:42,,,,,
5,2003-10-18,4,22-184,PIT,,DET,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,17,12:21,,,,,
6,2003-10-22,5,22-188,PIT,,CAR,T,0,0,0,0,2,0,0,0,0,,,,3,0.0,20,16:45,,,,,
7,2003-10-24,6,22-190,PIT,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,18,15:15,,,,,
8,2003-10-25,7,22-191,PIT,@,NYI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,20,16:44,,,,,
9,2003-10-29,8,22-195,PIT,,NYI,T,0,3,3,1,0,0,0,0,0,,,,0,,20,14:12,,,,,
10,2003-10-30,9,22-196,PIT,@,CHI,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,23,15:40,,,,,
11,2003-11-01,10,22-198,PIT,,BOS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,15:13,,,,,
12,2003-11-04,11,22-201,PIT,@,TOR,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,21,12:09,,,,,
13,2003-11-07,12,22-204,PIT,@,FLA,L,0,2,2,0,0,0,0,0,0,,,,3,0.0,30,20:01,,,,,
14,2003-11-08,13,22-205,PIT,@,TBL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,13:43,,,,,
15,2003-11-12,14,22-209,PIT,@,NYR,L,0,1,1,0,4,0,0,0,0,,,,0,,27,17:24,,,,,
16,2003-11-14,15,22-211,PIT,@,BUF,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,17,10:38,,,,,
17,2003-11-15,16,22-212,PIT,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,16:16,,,,,
18,2003-11-19,17,22-216,PIT,,MIN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,17,11:27,,,,,
19,2003-11-21,18,22-218,PIT,@,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,10:28,,,,,
20,2003-11-22,19,22-219,PIT,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,11:25,,,,,
21,2003-11-26,20,22-223,PIT,,PHI,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,14:19,,,,,
22,2003-11-28,21,22-225,PIT,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,16:45,,,,,
23,2003-11-29,22,22-226,PIT,@,CAR,L,1,1,2,0,2,1,0,0,0,,,,1,100.0,26,16:54,,,,,
24,2003-12-01,23,22-228,PIT,,ATL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,17:11,,,,,
25,2003-12-03,24,22-230,PIT,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,15:53,,,,,
26,2003-12-06,25,22-233,PIT,@,EDM,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,27,17:12,,,,,
27,2003-12-07,26,22-234,PIT,@,CGY,L,0,1,1,-1,2,0,0,0,0,,,,1,0.0,24,13:41,,,,,
28,2003-12-09,27,22-236,PIT,@,VAN,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,30,18:34,,,,,
29,2003-12-12,28,22-239,PIT,@,ATL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,17:03,,,,,
30,2003-12-13,29,22-240,PIT,,CBJ,W,0,1,1,1,0,0,0,0,0,,,,0,,27,16:57,,,,,
31,2003-12-16,30,22-243,PIT,,BUF,W,1,0,1,2,0,1,0,0,1,,,,2,50.0,22,13:38,,,,,
32,2003-12-18,31,22-245,PIT,@,CAR,L-OT,1,0,1,0,0,1,0,0,0,,,,2,50.0,24,17:19,,,,,
33,2003-12-20,32,22-247,PIT,,ATL,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,26,18:17,,,,,
34,2003-12-22,33,22-249,PIT,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,18:20,,,,,
35,2003-12-26,34,22-253,PIT,@,OTT,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,27,18:45,,,,,
36,2003-12-27,35,22-254,PIT,,NJD,L,0,0,0,0,2,0,0,0,0,,,,0,,20,17:38,,,,,
37,2003-12-29,36,22-256,PIT,,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,24,16:38,,,,,
38,2003-12-31,37,22-258,PIT,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,22,15:17,,,,,
39,2004-01-01,38,22-259,PIT,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,16:26,,,,,
40,2004-01-03,39,22-261,PIT,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,16:27,,,,,
41,2004-01-05,40,22-263,PIT,,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,15:27,,,,,
42,2004-01-07,41,22-265,PIT,@,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,17:17,,,,,
43,2004-01-08,42,22-266,PIT,@,BOS,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,23,16:50,,,,,
44,2004-01-10,43,22-268,PIT,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,16:19,,,,,
45,2004-01-12,44,22-270,PIT,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,13:38,,,,,
46,2004-01-13,45,22-271,PIT,,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,19:24,,,,,
47,2004-01-16,46,22-274,PIT,@,MIN,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,22,15:01,,,,,
48,2004-01-18,47,22-276,PIT,@,WSH,L,1,1,2,0,0,0,1,0,0,,,,3,33.3,26,17:47,,,,,
49,2004-01-20,48,22-278,PIT,,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,16:05,,,,,
50,2004-01-22,49,22-280,PIT,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,26,14:33,,,,,
51,2004-01-24,50,22-282,PIT,,COL,L,0,0,0,0,2,0,0,0,0,,,,4,0.0,27,20:42,,,,,
52,2004-01-27,51,22-285,PIT,,TBL,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,26,17:03,,,,,
53,2004-01-29,52,22-287,PIT,@,TBL,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,19,16:24,,,,,
54,2004-01-31,53,22-289,PIT,,PHI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,19,12:22,,,,,
55,2004-02-01,54,22-290,PIT,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,13:59,,,,,
56,2004-02-03,55,22-292,PIT,,MTL,L,1,0,1,-1,0,0,1,0,0,,,,2,50.0,27,17:59,,,,,
57,2004-02-10,56,22-299,PIT,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,21,13:33,,,,,
58,2004-02-12,57,22-301,PIT,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,18:15,,,,,
59,2004-02-14,58,22-303,PIT,@,STL,L-OT,0,1,1,0,2,0,0,0,0,,,,2,0.0,25,12:43,,,,,
60,2004-02-16,59,22-305,PIT,,TOR,L,0,1,1,0,0,0,0,0,0,,,,0,,13,8:28,,,,,
61,2004-02-18,60,22-307,PIT,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,21,13:18,,,,,
62,2004-02-20,61,22-309,PIT,,FLA,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,19,14:57,,,,,
