,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-01-19,1,27-052,TOR,@,MTL,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,35,22:59,0,1,0,0,
1,2013-01-21,2,27-054,TOR,,BUF,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,29,27:02,0,2,0,0,
2,2013-01-23,3,27-056,TOR,@,PIT,W,0,1,1,0,4,0,0,0,0,,,,1,0.0,32,23:16,0,1,0,0,
3,2013-01-24,4,27-057,TOR,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,25,23:54,1,0,0,0,
4,2013-01-26,5,27-059,TOR,@,NYR,L,0,0,0,-4,0,0,0,0,0,,,,1,0.0,38,31:33,1,4,0,0,
5,2013-01-29,6,27-062,TOR,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,37,24:19,0,2,0,0,
6,2013-01-31,7,27-064,TOR,,WSH,W,0,1,1,1,2,0,0,0,0,,,,4,0.0,27,24:35,0,2,0,0,
7,2013-02-02,8,27-066,TOR,,BOS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,27,27:37,5,2,0,0,
8,2013-02-04,9,27-068,TOR,,CAR,L,0,0,0,0,2,0,0,0,0,,,,4,0.0,29,23:22,2,1,0,0,
9,2013-02-05,10,27-069,TOR,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,29,25:08,2,2,0,0,
10,2013-02-07,11,27-071,TOR,@,WPG,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,19:56,0,1,0,0,
11,2013-02-09,12,27-073,TOR,@,MTL,W,0,0,0,1,7,0,0,0,0,,,,3,0.0,35,19:54,1,3,0,0,
12,2013-02-11,13,27-075,TOR,,PHI,W,0,0,0,1,0,0,0,0,0,,,,0,,32,25:03,4,3,0,0,
13,2013-02-14,14,27-078,TOR,@,CAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,24:16,0,4,0,0,
14,2013-02-16,15,27-080,TOR,,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,21:13,4,3,0,0,
15,2013-02-18,16,27-082,TOR,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,21:40,0,1,0,0,
16,2013-02-19,17,27-083,TOR,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,28,17:40,1,1,0,0,
17,2013-02-21,18,27-085,TOR,,BUF,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,25,19:42,1,2,0,0,
18,2013-02-23,19,27-087,TOR,@,OTT,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,28,16:35,0,4,0,0,
19,2013-02-25,20,27-089,TOR,@,PHI,W,0,0,0,3,0,0,0,0,0,,,,0,,27,20:07,1,0,0,0,
20,2013-02-27,21,27-091,TOR,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,26,20:10,3,3,0,0,
21,2013-02-28,22,27-092,TOR,@,NYI,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,30,22:28,2,3,0,0,
22,2013-03-04,23,27-096,TOR,,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,25,18:42,2,1,0,0,
23,2013-03-06,24,27-098,TOR,,OTT,W,0,0,0,-1,0,0,0,0,0,,,,0,,26,21:19,1,1,0,0,
24,2013-03-07,25,27-099,TOR,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,28,19:43,2,0,0,0,
25,2013-03-09,26,27-101,TOR,,PIT,L-SO,0,0,0,0,2,0,0,0,0,,,,3,0.0,31,24:20,3,3,0,0,
26,2013-03-12,27,27-104,TOR,@,WPG,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,30,21:34,1,3,0,0,
27,2013-03-25,28,27-117,TOR,@,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,32,20:34,0,3,0,0,
28,2013-03-26,29,27-118,TOR,,FLA,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,24,19:06,2,1,0,0,
29,2013-03-28,30,27-120,TOR,,CAR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,17:03,5,2,0,0,
30,2013-03-30,31,27-122,TOR,@,OTT,W,0,1,1,1,0,0,0,0,0,,,,0,,26,21:36,1,1,0,0,
31,2013-04-04,32,27-127,TOR,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,21,18:18,2,2,0,0,
32,2013-04-24,33,27-147,TOR,@,TBL,L,0,0,0,1,0,0,0,0,0,,,,0,,26,23:01,0,2,0,0,
33,2013-04-25,34,27-148,TOR,@,FLA,W,0,0,0,2,0,0,0,0,0,,,,0,,31,23:43,1,2,0,0,
34,2013-04-27,35,27-150,TOR,,MTL,L,0,0,0,-2,2,0,0,0,0,,,,0,,30,21:19,1,0,0,0,
35,2013-10-05,1,27-311,CHI,,TBL,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,19,16:03,1,2,0,0,
36,2013-10-19,2,27-325,CHI,,TOR,W,1,0,1,1,2,1,0,0,1,,,,4,25.0,21,13:45,2,0,0,0,
37,2013-12-10,3,28-012,CHI,@,DAL,W,1,1,2,0,0,1,0,0,0,,,,4,25.0,21,15:04,1,2,0,0,
38,2013-12-14,4,28-016,CHI,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,23,19:01,3,1,0,0,
39,2013-12-23,5,28-025,CHI,,NJD,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,14:48,2,2,0,0,
40,2014-01-02,6,28-035,CHI,@,NYI,L-OT,0,0,0,1,0,0,0,0,0,,,,3,0.0,18,13:27,0,0,0,0,
41,2014-01-11,7,28-044,CHI,@,MTL,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,23,15:20,0,0,0,0,
42,2014-01-22,8,28-055,CHI,@,DET,L-SO,0,0,0,1,0,0,0,0,0,,,,3,0.0,20,15:04,1,0,0,0,
43,2014-01-26,9,28-059,CHI,,WPG,L,0,0,0,0,0,0,0,0,0,,,,0,,13,7:26,4,0,0,0,
44,2014-03-01,10,28-093,TBL,@,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,13,8:42,2,5,0,0,
45,2014-03-02,11,28-094,TBL,@,COL,L,0,2,2,1,0,0,0,0,0,,,,1,0.0,19,12:11,0,1,0,0,
46,2014-03-06,12,28-098,TBL,,BUF,L,0,0,0,0,0,0,0,0,0,,,,7,0.0,22,18:57,2,1,0,0,
47,2014-03-08,13,28-100,TBL,,BOS,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,18,14:50,2,1,0,0,
48,2014-03-10,14,28-102,TBL,,PHX,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,19:13,1,1,0,0,
49,2014-03-13,15,28-105,TBL,,FLA,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,21,15:44,0,1,0,0,
50,2014-03-15,16,28-107,TBL,,NJD,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,22,16:16,0,0,0,0,
51,2014-03-17,17,28-109,TBL,,VAN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,15:41,0,0,0,0,
52,2014-03-19,18,28-111,TBL,@,TOR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,23,19:15,1,1,0,0,
53,2014-03-20,19,28-112,TBL,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:56,0,3,0,0,
54,2014-03-22,20,28-114,TBL,@,PIT,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,18:04,1,1,0,0,
55,2014-03-24,21,28-116,TBL,,OTT,L-SO,0,0,0,1,0,0,0,0,0,,,,2,0.0,20,17:29,2,1,0,0,
56,2014-03-27,22,28-119,TBL,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,16:59,0,1,0,0,
57,2014-03-29,23,28-121,TBL,@,BUF,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,15:44,0,0,0,0,
58,2014-03-30,24,28-122,TBL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,13,12:23,0,0,0,0,
59,2014-04-01,25,28-124,TBL,,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,14:00,0,1,0,0,
60,2014-04-10,26,28-133,TBL,,PHI,W,0,2,2,3,0,0,0,0,0,,,,0,,19,14:18,0,2,0,0,
61,2014-04-11,27,28-134,TBL,,CBJ,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,20:35,0,3,0,0,
62,2014-04-13,28,28-136,TBL,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,17,15:41,1,3,0,0,
63,2014-10-14,1,28-320,NYR,,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,19,15:42,0,1,0,0,
64,2014-11-01,2,28-338,NYR,,WPG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,21:56,3,3,0,0,
65,2014-11-03,3,28-340,NYR,,STL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,33,18:10,0,0,0,0,
66,2014-11-05,4,28-342,NYR,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,10:57,0,2,0,0,
67,2014-11-08,5,28-345,NYR,@,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,15:02,2,2,0,0,
68,2014-11-09,6,28-346,NYR,,EDM,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:57,0,0,0,0,
69,2014-11-11,7,28-348,NYR,,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,11:58,1,1,0,0,
70,2016-03-06,1,30-099,OTT,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:00,0,,,,
71,2016-03-08,2,30-101,OTT,@,CAR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:09,1,1,0,0,
72,2016-03-10,3,30-103,OTT,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:01,0,0,0,0,
73,2016-03-12,4,30-105,OTT,,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,14:18,1,1,0,0,
74,2016-03-15,5,30-108,OTT,,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:15,0,0,0,0,
75,2016-03-18,6,30-111,OTT,@,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:18,0,4,0,0,
76,2016-03-19,7,30-112,OTT,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,20,15:16,2,1,0,0,
77,2016-03-22,8,30-115,OTT,,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:50,0,1,0,0,
78,2016-03-23,9,30-116,OTT,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:41,0,2,0,0,
79,2016-03-26,10,30-119,OTT,,ANA,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,10:51,1,2,0,0,
80,2016-03-30,11,30-123,OTT,@,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,14:16,0,3,0,0,
81,2016-04-02,12,30-126,OTT,@,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,20:34,1,3,0,0,
82,2016-04-05,13,30-129,OTT,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,17:58,0,1,0,0,
83,2016-04-07,14,30-131,OTT,,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,22:18,0,1,0,0,
84,2016-04-09,15,30-133,OTT,@,BOS,W,0,0,0,2,4,0,0,0,0,0,0,0,0,,27,17:58,1,0,0,0,
