,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1991-03-31,1,21-016,CGY,,LAK,W,0,0,0,-1,7,0,0,0,0,,,,0,,,,,,,,
1,1991-11-22,1,21-252,CGY,@,VAN,L,0,0,0,0,12,0,0,0,0,,,,0,,,,,,,,
2,1991-11-25,2,21-255,CGY,,WIN,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1991-12-23,3,21-283,CGY,@,EDM,L,0,1,1,0,5,0,0,0,0,,,,1,0.0,,,,,,,
4,1991-12-28,4,21-288,CGY,,PHI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1991-12-29,5,21-289,CGY,,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
6,1991-12-31,6,21-291,CGY,,MTL,W,0,0,0,0,7,0,0,0,0,,,,2,0.0,,,,,,,
7,1992-02-15,7,21-337,CGY,@,STL,L,0,0,0,-1,5,0,0,0,0,,,,0,,,,,,,,
8,1992-02-16,8,21-338,CGY,@,CHI,T,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
9,1992-02-19,9,21-341,CGY,,BOS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1992-02-21,10,21-343,CGY,,LAK,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
11,1992-02-23,11,21-345,CGY,@,SJS,W,1,0,1,1,4,1,0,0,0,,,,1,100.0,,,,,,,
12,1992-02-25,12,21-347,CGY,,BUF,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
13,1992-02-27,13,21-349,CGY,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
14,1992-03-01,14,21-352,CGY,@,VAN,L,0,0,0,-1,12,0,0,0,0,,,,0,,,,,,,,
15,1992-03-03,15,21-354,CGY,,PIT,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,,,,,,,
16,1992-03-07,16,21-358,CGY,,STL,W,0,0,0,1,11,0,0,0,0,,,,0,,,,,,,,
17,1992-12-08,1,22-268,CGY,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
18,1992-12-12,2,22-272,CGY,@,OTT,T,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
19,1992-12-15,3,22-275,CGY,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1992-12-19,4,22-279,CGY,,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
21,1992-12-27,5,22-287,CGY,@,EDM,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
22,1993-01-05,6,22-296,CGY,,WIN,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
23,1993-01-10,7,22-301,CGY,@,BUF,L,0,0,0,0,7,0,0,0,0,,,,1,0.0,,,,,,,
24,1993-01-12,8,22-303,CGY,@,NYI,L,0,0,0,-4,2,0,0,0,0,,,,2,0.0,,,,,,,
25,1993-01-14,9,22-305,CGY,@,PHI,T,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
26,1993-01-16,10,22-307,CGY,@,MNS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1993-01-19,11,22-310,CGY,,BUF,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
28,1993-01-22,12,22-313,CGY,,WIN,T,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
29,1993-01-28,13,22-319,CGY,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
30,1993-03-11,14,22-361,CGY,,DET,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
31,1993-03-13,15,22-363,CGY,,NJD,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,,,,,,,
32,1993-03-14,16,22-364,CGY,,VAN,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
33,1993-03-16,17,23-001,CGY,,CHI,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
34,1993-03-21,18,23-006,CGY,@,WIN,L,0,0,0,0,10,0,0,0,0,,,,1,0.0,,,,,,,
35,1993-03-26,19,23-011,CGY,@,VAN,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,,,,,,,
36,1993-03-28,20,23-013,CGY,,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
37,1993-03-30,21,23-015,CGY,,WIN,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
38,1993-04-01,22,23-017,CGY,,MNS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
39,1993-04-04,23,23-020,CGY,@,SJS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
40,1993-04-06,24,23-022,CGY,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
41,1993-04-09,25,23-025,CGY,,VAN,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,,,,,,,
42,1993-04-11,26,23-027,CGY,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
43,1993-04-13,27,23-029,CGY,@,EDM,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
44,1993-10-31,1,23-230,CGY,@,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
45,1993-11-03,2,23-233,CGY,@,HAR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1993-11-04,3,23-234,CGY,@,BOS,L,0,0,0,-1,5,0,0,0,0,,,,2,0.0,,,,,,,
