,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-02-26,1,21-074,CAR,@,PHX,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,21,17:56,,,,,
1,2003-03-01,2,21-077,CAR,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,12:12,,,,,
2,2003-03-02,3,21-078,CAR,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,18,13:56,,,,,
3,2003-03-04,4,21-080,CAR,,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,16:37,,,,,
4,2003-03-06,5,21-082,CAR,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:19,,,,,
5,2003-03-07,6,21-083,CAR,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:25,,,,,
6,2003-03-15,7,21-091,CAR,,LAK,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:53,,,,,
7,2003-03-18,8,21-094,CAR,,OTT,L,1,1,2,1,0,1,0,0,0,,,,3,33.3,19,20:21,,,,,
8,2003-03-22,9,21-098,CAR,@,MTL,L,0,1,1,0,0,0,0,0,0,,,,0,,19,14:29,,,,,
9,2003-03-25,10,21-101,CAR,,TOR,T,1,0,1,2,0,1,0,0,0,,,,3,33.3,20,14:14,,,,,
10,2003-03-26,11,21-102,CAR,@,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,21,13:09,,,,,
11,2003-03-29,12,21-105,CAR,,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,16:39,,,,,
12,2003-04-04,13,21-111,CAR,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,21,16:08,,,,,
13,2003-04-06,14,21-113,CAR,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,14:24,,,,,
14,2004-02-14,1,22-062,CAR,@,NJD,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,12:29,,,,,
15,2004-03-25,2,22-102,CAR,,FLA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,9,6:40,,,,,
16,2004-03-30,3,22-107,CAR,,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,7:06,,,,,
