,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,1995-01-22,1,24-139,BOS,,PHI,W,W,1,19,18,.947,0,0,60:00
1,1995-01-23,2,24-140,BOS,@,NYR,W,W,1,30,29,.967,0,0,60:00
2,1995-01-26,3,24-143,BOS,,NJD,W,W,0,33,33,1.000,1,0,63:43
3,1995-01-28,4,24-145,BOS,@,PHI,L,L,2,14,12,.857,0,0,60:00
4,1995-02-02,5,24-150,BOS,,OTT,W,W,4,21,17,.810,0,0,60:00
5,1995-02-04,6,24-152,BOS,,HAR,W,W,4,32,28,.875,0,0,60:00
6,1995-02-07,7,24-155,BOS,,MTL,W,W,4,28,24,.857,0,0,60:00
7,1995-02-11,8,24-159,BOS,,WSH,T,,1,14,13,.929,0,0,21:17
8,1995-02-22,9,24-170,BOS,@,HAR,L,L,3,20,17,.850,0,0,62:59
9,1995-02-23,10,24-171,BOS,@,NJD,W,W,2,23,21,.913,0,0,60:00
10,1995-02-25,11,24-173,BOS,@,QUE,T,T,1,24,23,.958,0,0,65:00
11,1995-02-27,12,24-175,BOS,@,OTT,W,W,0,28,28,1.000,1,0,60:00
12,1995-03-02,13,24-178,BOS,,NJD,W,W,2,32,30,.938,0,0,60:00
13,1995-03-04,14,24-180,BOS,,PIT,L,,2,10,8,.800,0,0,20:00
14,1995-03-07,15,24-183,BOS,,WSH,L,L,3,29,26,.897,0,0,59:08
15,1995-03-09,16,24-185,BOS,@,PHI,L,L,3,21,18,.857,0,2,59:22
16,1995-03-11,17,24-187,BOS,,FLA,L,L,2,17,15,.882,0,0,58:56
17,1995-03-16,18,24-192,BOS,,MTL,W,W,0,29,29,1.000,1,0,60:00
18,1995-03-18,19,24-194,BOS,,NYI,W,W,3,20,17,.850,0,0,60:00
19,1995-03-19,20,24-195,BOS,@,NJD,L,L,4,37,33,.892,0,0,61:09
20,1995-03-24,21,24-200,BOS,@,TBL,W,W,3,26,23,.885,0,0,63:32
21,1995-03-28,22,24-204,BOS,,PHI,W,W,1,19,18,.947,0,0,60:00
22,1995-03-30,23,24-206,BOS,@,NYI,W,W,2,20,18,.900,0,0,60:00
23,1995-04-01,24,24-208,BOS,,NYR,L,L,3,27,24,.889,0,0,59:18
24,1995-04-02,25,24-209,BOS,@,WSH,L,L,2,15,13,.867,0,0,59:09
25,1995-04-06,26,24-213,BOS,,BUF,T,T,1,23,22,.957,0,0,65:00
26,1995-04-08,27,24-215,BOS,,TBL,W,W,1,18,17,.944,0,0,60:00
27,1995-04-12,28,24-219,BOS,,QUE,L,L,4,16,12,.750,0,2,60:00
28,1995-04-14,29,24-221,BOS,@,NYR,L,,3,7,4,.571,0,0,12:52
29,1995-04-23,30,24-230,BOS,,NYR,W,W,2,28,26,.929,0,0,40:00
30,1995-04-24,31,24-231,BOS,@,NYI,L,L,5,28,23,.821,0,0,59:45
31,1995-04-26,32,24-233,BOS,,HAR,W,W,0,22,22,1.000,1,0,60:00
32,1995-04-28,33,24-235,BOS,@,PIT,L,L,4,29,25,.862,0,0,53:50
33,1995-05-01,34,24-238,BOS,,OTT,W,W,4,21,17,.810,0,0,60:00
34,1995-05-03,35,24-240,BOS,@,MTL,W,W,2,25,23,.920,0,0,60:00
35,1995-10-07,1,25-032,BOS,,NYI,T,T,4,25,21,.840,0,2,65:00
36,1995-10-09,2,25-034,BOS,,BUF,W,W,3,22,19,.864,0,0,60:00
37,1995-10-12,3,25-037,BOS,@,SJS,T,T,6,25,19,.760,0,0,65:00
38,1995-10-21,4,25-046,BOS,@,DET,L,L,3,28,25,.893,0,2,59:44
39,1995-10-26,5,25-051,BOS,,WSH,L,L,4,21,17,.810,0,0,60:00
40,1995-10-31,6,25-056,BOS,,MTL,L,,0,13,13,1.000,0,0,39:11
41,1995-11-02,7,25-058,BOS,,DET,L,L,6,34,28,.824,0,0,61:50
42,1995-11-04,8,25-060,BOS,@,MTL,L,L,4,26,22,.846,0,0,60:00
43,1995-11-07,9,25-063,BOS,@,WSH,W,W,3,26,23,.885,0,0,60:00
44,1995-11-09,10,25-065,BOS,,OTT,W,,2,7,5,.714,0,0,20:00
45,1995-11-14,11,25-070,BOS,@,TBL,L,L,5,29,24,.828,0,0,60:00
46,1995-12-14,12,25-100,BOS,,FLA,W,W,4,28,24,.857,0,0,60:00
