,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2004-02-29,1,24-266,CHI,,FLA,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,11:44,,,,,
1,2004-03-01,2,24-267,CHI,@,NSH,T,0,1,1,1,0,0,0,0,0,,,,0,,16,10:19,,,,,
2,2004-03-03,3,24-269,CHI,,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,13:49,,,,,
3,2007-11-30,1,28-175,WSH,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:21,1,4,0,1,0.0
4,2007-12-01,2,28-176,WSH,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,12:36,1,4,0,0,
5,2007-12-07,3,28-182,WSH,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,15,10:09,0,1,0,0,
6,2007-12-08,4,28-183,WSH,,ATL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,13:19,1,0,0,1,0.0
7,2007-12-10,5,28-185,WSH,,NJD,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,19,11:46,1,0,0,0,
8,2007-12-12,6,28-187,WSH,,NYR,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,11:26,2,0,0,0,
9,2007-12-14,7,28-189,WSH,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,12:34,2,1,0,0,
10,2007-12-15,8,28-190,WSH,@,TBL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,23,15:11,0,2,0,0,
11,2007-12-17,9,28-192,WSH,@,DET,L-SO,0,1,1,1,0,0,0,0,0,,,,1,0.0,19,11:48,4,1,1,0,100.0
12,2007-12-20,10,28-195,WSH,,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:38,1,2,0,0,
13,2007-12-22,11,28-197,WSH,@,NYI,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,7:50,0,1,0,0,
14,2007-12-26,12,28-201,WSH,,TBL,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,19,12:00,4,1,0,0,
15,2007-12-29,13,28-204,WSH,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,14:04,4,2,0,0,
16,2008-01-03,14,28-209,WSH,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,11:11,3,0,0,0,
17,2008-01-05,15,28-211,WSH,@,MTL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,18,11:57,0,0,1,0,100.0
18,2008-01-09,16,28-215,WSH,,COL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,19,13:55,0,3,0,0,
19,2008-01-13,17,28-219,WSH,,PHI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,15,10:36,1,1,0,0,
20,2008-01-15,18,28-221,WSH,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:36,1,3,0,0,
21,2008-01-17,19,28-223,WSH,,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,12:20,0,1,0,1,0.0
22,2008-01-19,20,28-225,WSH,,FLA,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,22,14:42,2,0,0,0,
23,2008-01-21,21,28-227,WSH,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,14:27,1,3,0,0,
24,2008-01-23,22,28-229,WSH,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:58,1,0,0,0,
25,2008-01-24,23,28-230,WSH,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,14:34,1,4,0,0,
26,2008-01-29,24,28-235,WSH,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:43,0,1,0,0,
27,2008-01-31,25,28-237,WSH,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,12:04,0,0,0,0,
28,2008-02-02,26,28-239,WSH,,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:20,3,0,0,0,
29,2008-02-05,27,28-242,WSH,@,CBJ,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,11:30,0,0,0,0,
30,2008-02-06,28,28-243,WSH,@,PHI,W,0,0,0,1,2,0,0,0,0,,,,0,,23,11:23,2,2,0,0,
31,2008-02-08,29,28-245,WSH,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,7:18,1,0,0,0,
32,2008-02-15,30,28-252,WSH,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,9:53,2,2,0,1,0.0
33,2008-02-16,31,28-253,WSH,@,TBL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,13:15,1,0,0,0,
34,2008-02-20,32,28-257,WSH,,NYI,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,11:51,1,1,0,0,
35,2008-02-23,33,28-260,WSH,@,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,8:59,1,0,0,0,
36,2008-02-24,34,28-261,WSH,,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,16,10:54,2,3,0,0,
37,2008-02-26,35,28-263,WSH,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,10:42,2,1,0,0,
38,2008-03-08,36,28-274,WSH,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,22,12:27,1,5,0,0,
39,2008-03-09,37,28-275,WSH,,PIT,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,9:23,0,0,0,0,
40,2008-03-19,38,28-285,WSH,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:34,2,2,0,0,
41,2008-03-21,39,28-287,WSH,@,ATL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,10,7:24,0,1,0,0,
42,2009-03-19,1,29-284,WSH,@,TBL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,15,10:19,2,1,0,0,
43,2009-10-01,1,30-115,WSH,@,BOS,W,0,0,0,-1,0,0,0,0,0,,,,0,,19,11:35,2,0,0,0,
44,2009-10-03,2,30-117,WSH,,TOR,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,15,11:54,1,0,0,1,0.0
45,2009-10-06,3,30-120,WSH,@,PHI,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,14,9:35,1,2,0,1,0.0
46,2009-10-08,4,30-122,WSH,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,10:14,3,0,1,0,100.0
47,2009-10-10,5,30-124,WSH,@,DET,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,7:03,0,1,0,0,
48,2009-10-12,6,30-126,WSH,,NJD,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:14,1,1,1,0,100.0
