,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-12-05,1,23-096,WIN,@,LAK,T,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-12-08,2,23-099,WIN,@,LAK,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
2,1990-12-11,3,23-102,WIN,@,STL,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
3,1990-12-13,4,23-104,WIN,@,CHI,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
4,1990-12-15,5,23-106,WIN,,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-12-16,6,23-107,WIN,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-12-20,7,23-111,WIN,@,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1992-01-22,1,24-144,TOR,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
8,1992-01-23,2,24-145,TOR,@,NYI,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
9,1992-01-25,3,24-147,TOR,,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
10,1992-01-29,4,24-151,TOR,,QUE,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
11,1992-02-01,5,24-154,TOR,,NJD,W,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
12,1992-02-03,6,24-156,TOR,@,MNS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
13,1992-02-05,7,24-158,TOR,,MNS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1992-02-07,8,24-160,TOR,@,DET,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
15,1992-02-08,9,24-161,TOR,,MTL,W,2,0,2,3,0,2,0,0,0,,,,5,40.0,,,,,,,
16,1992-02-11,10,24-164,TOR,,DET,W,2,1,3,3,2,2,0,0,0,,,,7,28.6,,,,,,,
17,1992-02-15,11,24-168,TOR,,WIN,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
18,1992-02-16,12,24-169,TOR,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1992-02-18,13,24-171,TOR,@,PIT,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
20,1992-02-20,14,24-173,TOR,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
21,1992-02-22,15,24-175,TOR,@,STL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1992-02-25,16,24-178,TOR,,NJD,T,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
23,1992-02-27,17,24-180,TOR,@,BOS,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
24,1992-02-29,18,24-182,TOR,,CHI,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
25,1992-03-01,19,24-183,TOR,,MNS,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,,,,,,,
26,1992-03-04,20,24-186,TOR,@,EDM,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
27,1992-03-05,21,24-187,TOR,@,CGY,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
28,1992-03-08,22,24-190,TOR,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
29,1992-03-09,23,24-191,TOR,@,LAK,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
30,1992-03-11,24,24-193,TOR,@,MNS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1992-03-14,25,24-196,TOR,,PIT,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
32,1992-03-17,26,24-199,TOR,,QUE,W,0,0,0,1,2,0,0,0,0,,,,4,0.0,,,,,,,
33,1992-03-21,27,24-203,TOR,,CHI,L,0,0,0,-1,7,0,0,0,0,,,,0,,,,,,,,
34,1992-03-23,28,24-205,TOR,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1992-03-25,29,24-207,TOR,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
36,1992-03-28,30,24-210,TOR,@,STL,W,1,2,3,1,0,1,0,0,0,,,,3,33.3,,,,,,,
37,1992-03-29,31,24-211,TOR,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
38,1992-04-12,32,24-225,TOR,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
39,1992-04-13,33,24-226,TOR,@,PHI,L,0,0,0,-3,2,0,0,0,0,,,,1,0.0,,,,,,,
40,1992-04-15,34,24-228,TOR,,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1992-10-11,1,25-041,TOR,@,EDM,T,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
42,1992-10-15,2,25-045,TOR,,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
43,1992-10-17,3,25-047,TOR,,CHI,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
44,1992-10-31,4,25-061,TOR,,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1992-11-07,5,25-068,TOR,,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
46,1992-11-09,6,25-070,TOR,@,OTT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
47,1992-11-16,7,25-077,TOR,,STL,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
48,1992-11-26,8,25-087,TOR,,QUE,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
49,1992-12-09,9,25-100,TOR,,DET,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
50,1993-12-01,1,26-092,TOR,,STL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
51,1993-12-02,2,26-093,TOR,@,STL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1993-12-04,3,26-095,TOR,,NYR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
53,1993-12-08,4,26-099,TOR,,WIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1993-12-12,5,26-103,TOR,@,WIN,T,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
55,1993-12-17,6,26-108,TOR,@,NYI,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
56,1993-12-18,7,26-109,TOR,,LAK,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
57,1993-12-23,8,26-114,TOR,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
58,1993-12-27,9,26-118,TOR,@,CHI,L,1,0,1,1,4,1,0,0,0,,,,2,50.0,,,,,,,
59,1993-12-29,10,26-120,TOR,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
60,1994-01-02,11,26-124,CGY,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
61,1994-01-26,12,26-148,CGY,,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1994-01-28,13,26-150,CGY,,NJD,T,0,0,0,1,4,0,0,0,0,,,,1,0.0,,,,,,,
63,1994-01-29,14,26-151,CGY,,STL,L,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
64,1994-02-02,15,26-155,CGY,@,MDA,W,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
65,1994-02-05,16,26-158,CGY,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
66,1994-03-03,17,26-184,CGY,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
