,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2005-11-05,1,26-064,BOS,,PIT,W,0,0,0,1,7,0,0,0,0,,,,0,,13,10:26,,,,,
1,2005-11-08,2,26-067,BOS,@,PHI,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,4,2:13,,,,,
2,2007-12-20,1,28-109,TBL,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:26,1,2,0,0,
3,2007-12-22,2,28-111,TBL,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,7,2:48,0,,,,
4,2008-11-09,1,29-068,NJD,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,19,13:25,0,2,0,0,
5,2008-11-12,2,29-071,NJD,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,7,6:19,0,1,0,0,
6,2008-11-23,3,29-082,NJD,@,TBL,W,0,1,1,3,0,0,0,0,0,,,,1,0.0,24,13:41,2,0,0,0,
7,2008-11-26,4,29-085,NJD,@,FLA,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,21,12:55,2,0,0,0,
8,2008-12-04,5,29-093,NJD,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,20,15:09,0,2,0,0,
9,2008-12-06,6,29-095,NJD,@,MTL,W,0,0,0,0,2,0,0,0,0,,,,0,,18,12:22,0,1,0,0,
10,2008-12-10,7,29-099,NJD,,PIT,W,0,0,0,0,2,0,0,0,0,,,,0,,26,17:43,1,0,0,0,
11,2008-12-12,8,29-101,NJD,,NYR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,16:09,0,2,0,0,
12,2008-12-13,9,29-102,NJD,,BUF,L,0,0,0,0,5,0,0,0,0,,,,0,,22,15:25,0,0,0,0,
13,2008-12-16,10,29-105,NJD,@,TOR,L-SO,0,0,0,0,5,0,0,0,0,,,,0,,21,13:59,0,1,0,0,
14,2008-12-17,11,29-106,NJD,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,0,,23,14:46,0,0,0,0,
