,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1999-04-17,1,18-243,NSH,,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,12:50,,,,,
1,1999-10-02,1,19-046,NSH,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,15:13,,,,,
2,1999-10-05,2,19-049,NSH,,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,14:35,,,,,
3,1999-10-10,3,19-054,NSH,@,CHI,T,0,1,1,1,0,0,0,0,0,,,,0,,20,12:54,,,,,
4,1999-10-11,4,19-055,NSH,@,TOR,W,1,1,2,2,0,1,0,0,1,,,,1,100.0,18,16:38,,,,,
5,1999-10-14,5,19-058,NSH,,SJS,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,20,15:48,,,,,
6,1999-10-16,6,19-060,NSH,,DAL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,19,13:23,,,,,
7,1999-10-20,7,19-064,NSH,@,BUF,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,19,17:34,,,,,
8,1999-10-23,8,19-067,NSH,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,16:39,,,,,
9,1999-10-28,9,19-072,NSH,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,15:56,,,,,
10,1999-10-30,10,19-074,NSH,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,17:26,,,,,
11,1999-10-31,11,19-075,NSH,@,EDM,L,1,0,1,0,2,1,0,0,0,,,,5,20.0,19,15:15,,,,,
12,1999-11-03,12,19-078,NSH,@,CGY,L-OT,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,17:46,,,,,
13,1999-11-05,13,19-080,NSH,,CHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,12,9:59,,,,,
14,1999-11-10,14,19-085,NSH,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,11,8:45,,,,,
15,1999-11-11,15,19-086,NSH,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,13,9:56,,,,,
16,1999-11-13,16,19-088,NSH,@,PIT,L,1,0,1,1,0,1,0,0,0,,,,5,20.0,19,18:47,,,,,
17,1999-11-18,17,19-093,NSH,,MTL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,18,17:58,,,,,
18,1999-11-20,18,19-095,NSH,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,14:31,,,,,
19,1999-11-22,19,19-097,NSH,@,STL,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,16:28,,,,,
20,1999-11-24,20,19-099,NSH,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,20,20:28,,,,,
21,1999-11-26,21,19-101,NSH,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,13:04,,,,,
22,1999-11-27,22,19-102,NSH,,MDA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:40,,,,,
23,1999-11-30,23,19-105,NSH,,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:09,,,,,
24,1999-12-02,24,19-107,NSH,@,STL,L,0,0,0,-2,0,0,0,0,0,,,,0,,12,8:17,,,,,
25,1999-12-04,25,19-109,NSH,,DET,W,1,0,1,1,0,1,0,0,1,,,,4,25.0,19,14:12,,,,,
26,1999-12-06,26,19-111,NSH,@,ATL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,17:07,,,,,
