,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-02-13,1,21-270,TOR,@,VAN,W,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,18,9:28,0,0,2,0,100.0
1,2016-02-23,2,21-280,TOR,,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,17:39,3,2,0,0,
2,2016-02-25,3,21-282,TOR,,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:21,2,0,0,1,0.0
3,2016-02-27,4,21-284,TOR,@,MTL,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,29,18:17,2,3,0,0,
4,2016-03-03,5,21-289,TOR,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:06,4,1,0,0,
5,2016-03-05,6,21-291,TOR,,OTT,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,17,11:35,1,0,0,0,
6,2017-10-06,1,23-140,VEG,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,15:09,1,0,1,1,50.0
7,2017-10-07,2,23-141,VEG,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,16:15,4,0,0,0,
8,2017-10-10,3,23-144,VEG,,ARI,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,16,12:05,1,1,0,0,
9,2017-10-13,4,23-147,VEG,,DET,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,15,13:51,0,0,1,0,100.0
10,2017-10-15,5,23-149,VEG,,BOS,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,17,13:57,0,1,0,0,
11,2017-10-17,6,23-151,VEG,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,17,11:39,1,0,1,0,100.0
12,2017-10-21,7,23-155,VEG,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,11:29,0,1,0,0,
13,2017-10-24,8,23-158,VEG,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:57,2,0,2,0,100.0
14,2017-11-06,9,23-171,VEG,@,TOR,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,14,9:24,1,1,0,0,
15,2017-11-16,10,23-181,VEG,@,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,15:04,1,1,0,0,
16,2017-11-19,11,23-184,VEG,,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,15,12:10,4,0,0,0,
17,2017-11-22,12,23-187,VEG,@,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,12:47,0,0,0,0,
18,2017-11-24,13,23-189,VEG,,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,18,13:31,1,0,0,0,
19,2017-11-25,14,23-190,VEG,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:32,0,0,0,0,
20,2017-11-28,15,23-193,VEG,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:22,0,2,0,2,0.0
21,2017-11-30,16,23-195,VEG,@,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,14,14:17,0,1,0,0,
22,2017-12-01,17,23-196,VEG,@,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,16,13:07,0,1,0,0,
23,2017-12-03,18,23-198,VEG,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:07,1,0,0,0,
24,2017-12-05,19,23-200,VEG,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:48,0,3,0,0,
25,2017-12-08,20,23-203,VEG,@,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,9:54,0,0,0,0,
26,2017-12-09,21,23-204,VEG,@,DAL,W,0,2,2,1,2,0,0,0,0,2,0,0,2,0.0,17,10:48,0,0,0,0,
27,2017-12-12,22,23-207,VEG,,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:58,0,0,0,0,
28,2017-12-14,23,23-209,VEG,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:43,2,0,0,0,
29,2017-12-17,24,23-212,VEG,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,10:06,0,0,0,0,
30,2017-12-19,25,23-214,VEG,,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,14,10:44,2,0,0,0,
31,2017-12-23,26,23-218,VEG,,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,13,12:43,0,0,0,0,
32,2017-12-27,27,23-222,VEG,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,13:05,0,0,0,0,
33,2017-12-28,28,23-223,VEG,@,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,12:07,1,0,0,0,
34,2017-12-31,29,23-226,VEG,,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,9:38,2,1,0,0,
35,2018-01-02,30,23-228,VEG,,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,12:16,0,0,0,0,
36,2018-01-04,31,23-230,VEG,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:43,0,0,0,0,
37,2018-01-05,32,23-231,VEG,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:03,0,0,0,0,
38,2018-01-07,33,23-233,VEG,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:19,1,0,0,0,
39,2018-01-13,34,23-239,VEG,,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:13,0,0,0,0,
40,2018-01-21,35,23-247,VEG,@,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,11:43,0,0,0,0,
41,2018-01-23,36,23-249,VEG,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,13:47,0,1,0,0,
42,2018-01-25,37,23-251,VEG,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,11:55,2,0,0,0,
43,2018-01-30,38,23-256,VEG,@,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:29,0,0,0,0,
44,2018-02-01,39,23-258,VEG,@,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,9:24,0,0,0,0,
45,2018-02-06,40,23-263,VEG,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,6:38,0,0,0,0,
46,2018-02-08,41,23-265,VEG,@,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,9:54,0,0,0,0,
47,2018-02-11,42,23-268,VEG,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:01,0,0,0,0,
48,2018-02-13,43,23-270,VEG,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,10,6:43,0,0,0,0,
49,2018-02-17,44,23-274,VEG,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,11:32,0,1,0,0,
