,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-10-20,1,21-219,WPG,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:53,2,0,0,0,
1,2017-10-26,2,21-225,WPG,@,PIT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:24,4,0,0,0,
2,2017-10-27,3,21-226,WPG,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:59,2,0,0,0,
3,2017-10-29,4,21-228,WPG,,PIT,W,1,0,1,2,10,1,0,0,0,0,0,0,1,100.0,10,5:38,0,0,0,0,
4,2017-10-31,5,21-230,WPG,@,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:02,1,0,0,0,
5,2017-11-02,6,21-232,WPG,,DAL,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,14,9:33,0,1,0,0,
6,2017-11-04,7,21-234,WPG,,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4:39,0,0,0,0,
7,2018-01-13,8,21-304,WPG,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:07,1,0,0,0,
8,2018-02-06,9,21-328,WPG,,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,12,8:13,2,0,0,0,
9,2018-10-16,1,22-215,WPG,,EDM,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:01,1,2,0,0,
10,2018-10-18,2,22-217,WPG,,VAN,W,0,0,0,0,10,0,0,0,0,0,0,0,2,0.0,13,8:53,2,0,0,0,
11,2018-10-20,3,22-219,WPG,,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,9,5:43,0,0,0,0,
12,2018-10-22,4,22-221,WPG,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4,1:52,1,0,0,0,
13,2018-10-24,5,22-223,WPG,,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,4:31,0,,,,
14,2018-10-26,6,22-225,WPG,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:50,2,0,0,0,
15,2018-10-27,7,22-226,WPG,@,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:01,2,1,0,0,
16,2018-11-01,8,22-231,WPG,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:17,0,,,,
17,2018-11-02,9,22-232,WPG,,FLA,L,0,0,0,0,17,0,0,0,0,0,0,0,1,0.0,6,4:41,0,0,0,1,0.0
18,2018-11-24,10,22-254,WPG,@,STL,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,12,9:02,1,0,0,1,0.0
19,2018-11-27,11,22-257,WPG,,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:32,2,0,0,0,
20,2018-11-29,12,22-259,WPG,,CHI,W,0,0,0,-3,0,0,0,0,0,0,0,0,0,,11,5:35,2,0,0,0,
21,2018-12-04,13,22-264,WPG,@,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:40,3,1,0,0,
22,2018-12-07,14,22-267,WPG,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:47,2,0,0,0,
23,2018-12-09,15,22-269,WPG,,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:41,1,0,0,0,
24,2018-12-11,16,22-271,WPG,,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,6:46,1,0,0,0,
25,2018-12-13,17,22-273,WPG,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:14,2,0,0,0,
26,2018-12-14,18,22-274,WPG,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,7:20,1,0,0,0,
27,2018-12-16,19,22-276,WPG,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:15,2,0,0,1,0.0
28,2018-12-18,20,22-278,WPG,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:18,3,1,0,0,
29,2018-12-20,21,22-280,WPG,@,SJS,W,0,1,1,1,5,0,0,0,0,1,0,0,0,,11,6:55,0,2,1,0,100.0
30,2018-12-22,22,22-282,WPG,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:47,1,0,0,0,
31,2018-12-31,23,22-291,WPG,@,EDM,W,2,0,2,2,2,2,0,0,1,0,0,0,2,100.0,16,7:49,3,0,0,0,
32,2019-01-04,24,22-295,WPG,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:20,4,0,1,0,100.0
33,2019-01-06,25,22-297,WPG,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:54,5,0,0,0,
34,2019-01-08,26,22-299,WPG,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:27,1,0,0,0,
35,2019-01-10,27,22-301,WPG,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,7:19,1,0,0,0,
36,2019-01-11,28,22-302,WPG,,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:02,1,0,0,0,
37,2019-01-13,29,22-304,WPG,,ANA,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,14,7:17,2,0,0,0,
38,2019-01-15,30,22-306,WPG,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:33,3,0,0,0,
39,2019-01-17,31,22-308,WPG,@,NSH,W,2,0,2,3,2,2,0,0,0,0,0,0,4,50.0,14,10:10,0,0,0,0,
40,2019-01-19,32,22-310,WPG,@,DAL,L,1,0,1,1,5,1,0,0,0,0,0,0,3,33.3,11,7:40,2,1,0,0,
41,2019-01-28,33,22-319,WPG,@,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,7:21,1,2,0,0,
42,2019-01-29,34,22-320,WPG,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:37,4,2,0,0,
43,2019-01-31,35,22-322,WPG,,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,8:18,0,1,0,1,0.0
44,2019-02-02,36,22-324,WPG,,ANA,W,1,0,1,3,0,1,0,0,0,0,0,0,2,50.0,17,13:33,3,0,0,1,0.0
45,2019-02-05,37,22-327,WPG,,SJS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:54,2,0,1,0,100.0
46,2019-02-07,38,22-329,WPG,@,MTL,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,10:42,7,0,0,0,
47,2019-02-09,39,22-331,WPG,@,OTT,L,1,0,1,1,5,1,0,0,0,0,0,0,1,100.0,12,7:53,3,1,0,0,
48,2019-02-10,40,22-332,WPG,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:31,1,0,0,0,
49,2019-02-12,41,22-334,WPG,,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,10,7:20,1,1,0,0,
50,2019-02-14,42,22-336,WPG,,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,9:18,2,0,0,1,0.0
