,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-10-10,1,22-319,COL,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,17:41,,,,,
1,2003-10-12,2,22-321,COL,,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,14:26,,,,,
2,2003-10-16,3,22-325,COL,@,MIN,W,1,0,1,2,0,1,0,0,1,,,,2,50.0,25,16:02,,,,,
3,2003-10-18,4,22-327,COL,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,22,13:55,,,,,
4,2003-10-21,5,22-330,COL,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,0,,23,15:15,,,,,
5,2003-10-23,6,22-332,COL,,EDM,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,23,15:46,,,,,
6,2003-10-25,7,22-334,COL,@,NSH,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,18,9:49,,,,,
7,2003-10-26,8,22-335,COL,,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,14:16,,,,,
8,2003-10-28,9,22-337,COL,,CGY,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,12:39,,,,,
9,2003-11-01,10,22-341,COL,@,NJD,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,19,14:15,,,,,
10,2003-11-02,11,22-342,COL,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,11:22,,,,,
11,2003-11-04,12,22-344,COL,,MIN,T,0,0,0,3,0,0,0,0,0,,,,2,0.0,28,17:00,,,,,
12,2003-11-06,13,22-346,COL,,PHX,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,16,12:23,,,,,
13,2003-11-09,14,22-349,COL,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,18:24,,,,,
14,2003-11-11,15,22-351,COL,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,11:54,,,,,
15,2003-11-13,16,22-353,COL,@,PHX,L-OT,0,1,1,-1,0,0,0,0,0,,,,3,0.0,25,16:31,,,,,
16,2003-11-15,17,22-355,COL,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,16,8:42,,,,,
17,2003-11-18,18,22-358,COL,,MDA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,14,8:23,,,,,
18,2003-11-20,19,22-360,COL,,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,13,10:19,,,,,
19,2003-11-22,20,22-362,COL,,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,22,15:23,,,,,
20,2003-11-24,21,22-364,COL,,NSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,16:44,,,,,
21,2003-11-27,22,23-002,COL,@,CGY,W,0,1,1,-1,0,0,0,0,0,,,,0,,25,12:46,,,,,
22,2003-11-28,23,23-003,COL,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,11:24,,,,,
23,2003-11-30,24,23-005,COL,,NJD,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,15:07,,,,,
24,2003-12-04,25,23-009,COL,@,SJS,T,1,0,1,0,2,1,0,0,0,,,,3,33.3,27,17:17,,,,,
25,2003-12-06,26,23-011,COL,,CBJ,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,22,15:43,,,,,
26,2003-12-08,27,23-013,COL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,12:40,,,,,
27,2003-12-11,28,23-016,COL,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,11:46,,,,,
28,2003-12-13,29,23-018,COL,@,CGY,T,1,0,1,0,0,1,0,0,0,,,,2,50.0,25,15:08,,,,,
