,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1996-11-03,1,22-033,EDM,@,CHI,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
1,1996-11-06,2,22-036,EDM,@,PIT,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
2,1996-11-07,3,22-037,EDM,@,BOS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1996-11-09,4,22-039,EDM,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1996-11-11,5,22-041,EDM,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1996-11-13,6,22-043,EDM,@,OTT,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
6,1996-11-17,7,22-047,EDM,,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1996-11-19,8,22-049,EDM,,CHI,T,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
8,1996-11-21,9,22-051,EDM,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1996-11-23,10,22-053,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1996-11-26,11,22-056,EDM,@,CGY,W,1,1,2,0,0,0,0,1,0,,,,2,50.0,,,,,,,
11,1996-11-27,12,22-057,EDM,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1996-11-29,13,22-059,EDM,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
13,1996-12-01,14,22-061,EDM,@,MDA,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1996-12-04,15,22-064,EDM,@,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
15,1996-12-06,16,22-066,EDM,,OTT,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1996-12-08,17,22-068,EDM,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1996-12-10,18,22-070,EDM,@,DET,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
18,1996-12-12,19,22-072,EDM,@,TBL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
19,1996-12-15,20,22-075,EDM,@,FLA,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1996-12-18,21,22-078,EDM,,COL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1996-12-20,22,22-080,EDM,,NJD,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
22,1996-12-22,23,22-082,EDM,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
23,1996-12-23,24,22-083,EDM,@,VAN,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
24,1996-12-27,25,22-087,EDM,,PHI,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
25,1996-12-28,26,22-088,EDM,,SJS,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1996-12-30,27,22-090,EDM,,LAK,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
27,1997-01-03,28,22-094,EDM,,TOR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
28,1997-01-07,29,22-098,EDM,@,STL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1997-01-08,30,22-099,EDM,@,CHI,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
30,1997-01-11,31,22-102,EDM,,SJS,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
31,1997-01-12,32,22-103,EDM,,HAR,W,1,0,1,0,0,0,1,0,1,,,,1,100.0,,,,,,,
32,1997-01-15,33,22-106,EDM,,FLA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
33,1997-01-21,34,22-112,EDM,@,NYR,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
34,1997-01-22,35,22-113,EDM,@,NYI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1997-01-24,36,22-115,EDM,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
36,1997-01-26,37,22-117,EDM,@,WSH,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
37,1997-01-29,38,22-120,EDM,,SJS,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,,,,,,,
38,1997-01-31,39,22-122,EDM,,NYI,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
39,1997-02-05,40,22-127,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
40,1997-02-08,41,22-130,EDM,,MDA,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
41,1997-02-09,42,22-131,EDM,,WSH,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
42,1997-02-12,43,22-134,EDM,,BOS,W,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
43,1997-02-13,44,22-135,EDM,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1997-02-15,45,22-137,EDM,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
45,1997-02-17,46,22-139,EDM,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1997-02-19,47,22-141,EDM,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
47,1997-02-21,48,22-143,EDM,,COL,L,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1997-02-23,49,22-145,EDM,@,DAL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1997-02-26,50,22-148,EDM,@,MDA,T,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
50,1997-02-27,51,22-149,EDM,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
51,1997-03-01,52,22-151,EDM,,MTL,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1997-03-04,53,22-154,EDM,,LAK,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
