,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-07,1,32-057,EDM,,TOR,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
1,1990-10-11,2,32-061,EDM,@,LAK,T,1,1,2,1,4,0,0,1,0,,,,2,50.0,,,,,,,
2,1990-10-14,3,32-064,EDM,@,VAN,L,0,0,0,2,2,0,0,0,0,,,,0,,,,,,,,
3,1990-10-16,4,32-066,EDM,,STL,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
4,1990-10-19,5,32-069,EDM,,BOS,W,1,1,2,1,0,0,1,0,0,,,,1,100.0,,,,,,,
5,1990-10-21,6,32-071,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-24,7,32-074,EDM,@,WIN,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
7,1990-10-25,8,32-075,EDM,@,CGY,L,1,0,1,0,2,0,1,0,0,,,,2,50.0,,,,,,,
8,1990-10-28,9,32-078,EDM,,WSH,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
9,1990-11-06,10,32-087,EDM,@,STL,L,0,0,0,1,6,0,0,0,0,,,,0,,,,,,,,
10,1990-11-08,11,32-089,EDM,@,CHI,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
11,1990-11-10,12,32-091,EDM,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
12,1990-11-23,13,32-104,EDM,@,BUF,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-24,14,32-105,EDM,@,TOR,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
14,1990-11-27,15,32-108,EDM,@,PIT,W,0,2,2,2,2,0,0,0,0,,,,0,,,,,,,,
15,1990-11-29,16,32-110,EDM,@,BOS,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1990-12-01,17,32-112,EDM,@,HAR,W,0,1,1,0,2,0,0,0,0,,,,3,0.0,,,,,,,
17,1990-12-02,18,32-113,EDM,@,PHI,W,1,0,1,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
18,1990-12-05,19,32-116,EDM,,QUE,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1990-12-07,20,32-118,EDM,,NYR,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-12-09,21,32-120,EDM,,CGY,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-12-15,22,32-126,EDM,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1990-12-23,23,32-134,EDM,,VAN,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
23,1990-12-27,24,32-138,EDM,,CGY,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
24,1990-12-28,25,32-139,EDM,@,VAN,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
