,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1999-10-02,1,21-321,NSH,,LAK,L,0,0,0,0,4,0,0,0,0,,,,3,0.0,20,14:35,,,,,
1,1999-12-02,2,22-017,NSH,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,17:35,,,,,
2,1999-12-04,3,22-019,NSH,,DET,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,14,13:25,,,,,
3,1999-12-06,4,22-021,NSH,@,ATL,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,21,18:00,,,,,
4,1999-12-08,5,22-023,NSH,@,DET,L,0,0,0,-2,2,0,0,0,0,,,,0,,14,9:22,,,,,
5,1999-12-10,6,22-025,NSH,,STL,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,10:54,,,,,
6,1999-12-15,7,22-030,NSH,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,14:33,,,,,
7,1999-12-18,8,22-033,NSH,,COL,T,0,0,0,-1,0,0,0,0,0,,,,4,0.0,22,15:24,,,,,
8,1999-12-19,9,22-034,NSH,@,PHI,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,18:17,,,,,
9,1999-12-21,10,22-036,NSH,@,BOS,W,0,0,0,1,0,0,0,0,0,,,,0,,17,16:13,,,,,
10,1999-12-23,11,22-038,NSH,,STL,T,0,0,0,-1,0,0,0,0,0,,,,4,0.0,19,17:40,,,,,
11,1999-12-26,12,22-041,NSH,@,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:11,,,,,
12,1999-12-28,13,22-043,NSH,,CAR,W,1,0,1,1,2,1,0,0,0,,,,1,100.0,17,12:14,,,,,
13,1999-12-30,14,22-045,NSH,,ATL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,11:11,,,,,
14,2000-01-01,15,22-047,NSH,,SJS,W,0,0,0,-1,4,0,0,0,0,,,,1,0.0,18,13:39,,,,,
15,2000-01-05,16,22-051,NSH,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,17:15,,,,,
16,2000-01-24,17,22-070,NSH,@,EDM,W,0,0,0,-2,2,0,0,0,0,,,,0,,25,18:25,,,,,
17,2000-01-27,18,22-073,NSH,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,16:16,,,,,
