,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1992-02-06,1,25-197,STL,,NJD,W,1,0,1,1,5,1,0,0,1,,,,2,50.0,,,,,,,
1,1992-02-08,2,25-199,STL,,CHI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
2,1992-02-11,3,25-202,STL,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
3,1992-02-13,4,25-204,STL,,BOS,W,0,0,0,2,15,0,0,0,0,,,,0,,,,,,,,
4,1992-02-15,5,25-206,STL,,CGY,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
5,1992-02-17,6,25-208,STL,@,DET,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
6,1992-02-19,7,25-210,STL,@,WIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1992-02-22,8,25-213,STL,,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
8,1992-02-23,9,25-214,STL,@,CHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
9,1992-02-25,10,25-216,STL,@,HAR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
10,1992-02-27,11,25-218,STL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
11,1992-02-29,12,25-220,STL,,DET,L,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
12,1992-03-02,13,25-222,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1992-03-12,14,25-232,STL,,DET,L,0,0,0,-2,4,0,0,0,0,,,,2,0.0,,,,,,,
14,1992-03-14,15,25-234,STL,,NYR,L,0,0,0,-2,5,0,0,0,0,,,,0,,,,,,,,
15,1992-03-17,16,25-237,STL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1992-03-19,17,25-239,STL,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1992-03-23,18,25-243,STL,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1992-04-14,19,25-265,STL,,CHI,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
19,1992-10-29,1,26-097,STL,,PIT,W,1,2,3,0,0,1,0,0,0,,,,3,33.3,,,,,,,
20,1992-10-31,2,26-099,STL,,PHI,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
21,1992-11-03,3,26-102,STL,@,TBL,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
22,1992-11-05,4,26-104,STL,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1992-11-07,5,26-106,STL,@,PHI,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
24,1992-11-10,6,26-109,STL,,EDM,T,0,0,0,-1,12,0,0,0,0,,,,1,0.0,,,,,,,
25,1992-11-12,7,26-111,STL,@,CHI,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,,,,,,,
26,1992-11-14,8,26-113,STL,,WIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1992-11-16,9,26-115,STL,@,TOR,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
28,1992-11-18,10,26-117,STL,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1993-01-11,11,26-171,STL,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
30,1993-01-13,12,26-173,STL,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
31,1993-01-14,13,26-174,STL,@,OTT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
32,1993-01-16,14,26-176,STL,@,TBL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
33,1993-01-19,15,26-179,STL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
34,1994-02-03,1,27-194,STL,,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1994-02-08,2,27-199,STL,,WIN,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
36,1994-02-10,3,27-201,STL,,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
37,1994-02-12,4,27-203,STL,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
38,1994-02-15,5,27-206,STL,,VAN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
39,1994-02-18,6,27-209,STL,,BOS,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
40,1994-02-24,7,27-215,STL,@,QUE,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
41,1994-02-26,8,27-217,STL,@,OTT,W,0,2,2,2,5,0,0,0,0,,,,3,0.0,,,,,,,
42,1994-02-28,9,27-219,STL,@,NJD,L,0,0,0,0,17,0,0,0,0,,,,1,0.0,,,,,,,
43,1994-03-01,10,27-220,STL,@,NYI,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1994-03-03,11,27-222,STL,,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1994-03-07,12,27-226,STL,@,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
46,1994-03-09,13,27-228,STL,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
47,1994-03-12,14,27-231,STL,,NYI,T,0,0,0,-1,5,0,0,0,0,,,,0,,,,,,,,
48,1994-03-16,15,27-235,STL,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
49,1994-03-18,16,27-237,STL,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
50,1994-03-20,17,27-239,STL,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1994-03-22,18,27-241,STL,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
52,1994-03-23,19,27-242,STL,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
53,1994-03-25,20,27-244,STL,,DAL,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
54,1994-03-27,21,27-246,STL,,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
55,1994-03-30,22,27-249,STL,@,FLA,W,1,0,1,1,2,1,0,0,0,,,,3,33.3,,,,,,,
56,1994-04-01,23,27-251,STL,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
57,1994-04-03,24,27-253,STL,@,DET,T,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
