,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-06,1,32-052,EDM,,WIN,T,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
1,1990-10-07,2,32-053,EDM,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-11,3,32-057,EDM,@,LAK,T,2,0,2,2,2,1,0,1,0,,,,6,33.3,,,,,,,
3,1990-10-14,4,32-060,EDM,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
4,1990-10-16,5,32-062,EDM,,STL,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
5,1990-10-19,6,32-065,EDM,,BOS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-21,7,32-067,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1990-10-24,8,32-070,EDM,@,WIN,L,0,0,0,0,9,0,0,0,0,,,,1,0.0,,,,,,,
8,1990-10-25,9,32-071,EDM,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-28,10,32-074,EDM,,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
10,1990-10-31,11,32-077,EDM,,WIN,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
11,1990-11-03,12,32-080,EDM,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-06,13,32-083,EDM,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-08,14,32-085,EDM,@,CHI,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
14,1990-11-10,15,32-087,EDM,@,LAK,L,0,0,0,-1,20,0,0,0,0,,,,2,0.0,,,,,,,
15,1990-11-14,16,32-091,EDM,,VAN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1990-11-16,17,32-093,EDM,,BUF,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1990-11-18,18,32-095,EDM,,NYI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-11-20,19,32-097,EDM,,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1990-11-23,20,32-100,EDM,@,BUF,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-11-24,21,32-101,EDM,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
21,1990-11-27,22,32-104,EDM,@,PIT,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
22,1990-11-29,23,32-106,EDM,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
23,1990-12-01,24,32-108,EDM,@,HAR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
24,1990-12-02,25,32-109,EDM,@,PHI,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
25,1990-12-05,26,32-112,EDM,,QUE,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
26,1990-12-07,27,32-114,EDM,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
27,1990-12-09,28,32-116,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
28,1990-12-12,29,32-119,EDM,,VAN,W,1,0,1,1,0,0,0,1,0,,,,1,100.0,,,,,,,
29,1990-12-15,30,32-122,EDM,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
30,1990-12-18,31,32-125,EDM,,LAK,W,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
31,1990-12-20,32,32-127,EDM,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
32,1990-12-22,33,32-129,EDM,@,CGY,W,3,0,3,0,0,1,1,1,0,,,,4,75.0,,,,,,,
33,1990-12-23,34,32-130,EDM,,VAN,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
34,1990-12-27,35,32-134,EDM,,CGY,W,1,0,1,1,5,0,0,1,1,,,,1,100.0,,,,,,,
35,1990-12-28,36,32-135,EDM,@,VAN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
36,1990-12-30,37,32-137,EDM,,HAR,W,1,0,1,0,2,1,0,0,0,,,,1,100.0,,,,,,,
37,1991-01-02,38,32-140,EDM,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
38,1991-01-04,39,32-142,EDM,,DET,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
39,1991-01-08,40,32-146,EDM,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,,,,,,,
40,1991-01-09,41,32-147,EDM,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
41,1991-01-12,42,32-150,EDM,@,NJD,W,1,0,1,1,2,1,0,0,0,,,,1,100.0,,,,,,,
42,1991-01-13,43,32-151,EDM,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
43,1991-01-15,44,32-153,EDM,@,NYR,T,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
44,1991-01-17,45,32-155,EDM,@,NYI,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,,,,,,,
45,1991-01-22,46,32-160,EDM,,LAK,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
46,1991-01-23,47,32-161,EDM,@,VAN,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
47,1991-01-25,48,32-163,EDM,,NYR,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1991-01-27,49,32-165,EDM,@,WIN,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
49,1991-01-30,50,32-168,EDM,,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
50,1991-02-01,51,32-170,EDM,,CHI,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1991-02-03,52,32-172,EDM,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1991-02-05,53,32-174,EDM,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
53,1991-02-06,54,32-175,EDM,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1991-02-08,55,32-177,EDM,@,WSH,L,1,0,1,0,0,0,0,1,0,,,,1,100.0,,,,,,,
55,1991-02-11,56,32-180,EDM,,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
56,1991-02-12,57,32-181,EDM,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
57,1991-02-14,58,32-183,EDM,,LAK,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
58,1991-02-16,59,32-185,EDM,@,TOR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
59,1991-02-18,60,32-187,EDM,@,NJD,W,1,0,1,1,0,0,0,1,0,,,,1,100.0,,,,,,,
60,1991-02-20,61,32-189,EDM,@,MNS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
61,1991-02-22,62,32-191,EDM,,DET,T,2,1,3,-1,2,1,1,0,0,,,,2,100.0,,,,,,,
62,1991-02-24,63,32-193,EDM,,QUE,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
63,1991-02-27,64,32-196,EDM,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1991-03-01,65,32-198,EDM,,MNS,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
65,1991-03-02,66,32-199,EDM,,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
66,1991-03-05,67,32-202,EDM,@,WIN,W,0,0,0,0,6,0,0,0,0,,,,3,0.0,,,,,,,
67,1991-03-06,68,32-203,EDM,@,MNS,L,0,0,0,-1,12,0,0,0,0,,,,0,,,,,,,,
68,1991-03-08,69,32-205,EDM,,PHI,W,1,1,2,3,0,1,0,0,0,,,,2,50.0,,,,,,,
69,1991-03-10,70,32-207,EDM,,WSH,L,2,0,2,2,0,2,0,0,0,,,,4,50.0,,,,,,,
70,1991-03-13,71,32-210,EDM,,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
71,1991-03-15,72,32-212,EDM,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
72,1991-03-17,73,32-214,EDM,@,MTL,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
73,1991-03-19,74,32-216,EDM,@,QUE,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
74,1991-03-23,75,32-220,EDM,,WIN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
75,1991-03-24,76,32-221,EDM,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1991-03-26,77,32-223,EDM,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
77,1991-03-28,78,32-225,EDM,@,CGY,T,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
78,1991-03-29,79,32-226,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
79,1991-03-31,80,32-228,EDM,,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
80,1991-10-04,1,33-050,EDM,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
81,1991-10-06,2,33-052,EDM,,LAK,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
82,1991-10-08,3,33-054,EDM,@,LAK,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
83,1991-10-10,4,33-056,EDM,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
84,1991-10-12,5,33-058,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
85,1991-10-15,6,33-061,EDM,@,DET,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
86,1991-10-17,7,33-063,EDM,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
87,1991-10-19,8,33-065,EDM,@,NYI,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
88,1991-10-20,9,33-066,EDM,@,NYR,W,0,1,1,2,2,0,0,0,0,,,,2,0.0,,,,,,,
89,1991-10-23,10,33-069,EDM,,WSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
90,1991-10-26,11,33-072,EDM,,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
91,1991-10-27,12,33-073,EDM,@,VAN,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,,,,,,,
92,1991-10-30,13,33-076,EDM,,STL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
93,1991-11-01,14,33-078,EDM,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
94,1991-11-03,15,33-080,EDM,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
95,1991-11-06,16,33-083,EDM,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
96,1991-11-08,17,33-085,EDM,@,SJS,L,1,0,1,0,0,0,0,1,0,,,,2,50.0,,,,,,,
97,1991-11-09,18,33-086,EDM,@,LAK,T,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
98,1991-11-13,19,33-090,EDM,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
99,1991-11-14,20,33-091,EDM,@,PHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
100,1991-11-16,21,33-093,EDM,@,QUE,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,,,,,,,
101,1991-11-18,22,33-095,EDM,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
102,1991-11-23,23,33-100,EDM,,WIN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
103,1991-11-27,24,33-104,EDM,,CHI,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
104,1991-11-29,25,33-106,EDM,,SJS,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
105,1991-12-01,26,33-108,EDM,,VAN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
106,1991-12-03,27,33-110,EDM,,PIT,W,1,0,1,1,2,1,0,0,1,,,,5,20.0,,,,,,,
107,1991-12-06,28,33-113,EDM,@,WIN,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
108,1991-12-08,29,33-115,EDM,,SJS,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
109,1991-12-10,30,33-117,EDM,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
110,1991-12-12,31,33-119,EDM,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
111,1991-12-14,32,33-121,EDM,,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
112,1991-12-15,33,33-122,EDM,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
113,1991-12-18,34,33-125,EDM,@,TOR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
114,1991-12-20,35,33-127,EDM,@,BUF,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
115,1991-12-21,36,33-128,EDM,@,BOS,L,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
116,1991-12-23,37,33-130,EDM,,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
117,1991-12-28,38,33-135,EDM,,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
118,1991-12-29,39,33-136,EDM,,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
119,1992-01-02,40,33-140,EDM,@,LAK,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,,,,,,,
120,1992-01-04,41,33-142,EDM,@,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
121,1992-01-05,42,33-143,EDM,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
122,1992-01-08,43,33-146,EDM,@,WIN,L,1,0,1,0,0,1,0,0,0,,,,5,20.0,,,,,,,
123,1992-01-10,44,33-148,EDM,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
124,1992-01-11,45,33-149,EDM,@,DET,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
125,1992-01-13,46,33-151,EDM,@,MNS,W,1,0,1,0,2,1,0,0,0,,,,1,100.0,,,,,,,
126,1992-01-15,47,33-153,EDM,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
127,1992-01-21,48,33-159,EDM,,SJS,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
128,1992-01-23,49,33-161,EDM,,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
129,1992-01-25,50,33-163,EDM,@,SJS,L,0,0,0,-1,4,0,0,0,0,,,,3,0.0,,,,,,,
130,1992-01-28,51,33-166,EDM,@,VAN,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,,,,,,,
131,1992-01-29,52,33-167,EDM,,CHI,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
132,1992-01-31,53,33-169,EDM,,HAR,W,1,1,2,2,0,0,0,1,0,,,,1,100.0,,,,,,,
133,1992-02-02,54,33-171,EDM,,QUE,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
134,1992-02-05,55,33-174,EDM,,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
135,1992-02-07,56,33-176,EDM,,NYI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
136,1992-02-11,57,33-180,EDM,@,MNS,W,1,0,1,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
