,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1992-03-04,1,20-327,TOR,@,EDM,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
1,1992-03-05,2,20-328,TOR,@,CGY,T,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
2,1992-03-08,3,20-331,TOR,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1992-03-09,4,20-332,TOR,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
4,1992-03-11,5,20-334,TOR,@,MNS,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
5,1992-03-14,6,20-337,TOR,,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1992-03-17,7,20-340,TOR,,QUE,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1992-03-21,8,20-344,TOR,,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1992-03-23,9,20-346,TOR,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1992-03-25,10,20-348,TOR,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1992-03-28,11,20-351,TOR,@,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1992-03-29,12,20-352,TOR,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
12,1992-04-12,13,21-000,TOR,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
13,1992-04-13,14,21-001,TOR,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
14,1992-04-15,15,21-003,TOR,,NYR,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
15,1992-10-07,1,21-178,TOR,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
16,1992-10-10,2,21-181,TOR,@,CGY,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
17,1992-10-17,3,21-188,TOR,,CHI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1992-10-18,4,21-189,TOR,,MNS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1992-10-20,5,21-191,TOR,vs.,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
20,1992-10-22,6,21-193,TOR,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
21,1992-10-24,7,21-195,TOR,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1992-10-28,8,21-199,TOR,,BUF,T,0,0,0,0,5,0,0,0,0,,,,3,0.0,,,,,,,
23,1992-10-30,9,21-201,TOR,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
24,1992-11-09,10,21-211,TOR,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
