,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-12-31,1,21-271,CGY,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,7:26,0,1,1,0,100.0
1,2018-01-04,2,21-275,CGY,,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,9:05,0,1,0,0,
2,2018-01-06,3,21-277,CGY,,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,8:20,1,0,0,0,
3,2018-01-09,4,21-280,CGY,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:24,1,0,0,0,
4,2018-01-11,5,21-282,CGY,@,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:35,3,0,0,0,
5,2018-01-12,6,21-283,CGY,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:30,1,1,0,0,
6,2018-01-14,7,21-285,CGY,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:00,2,1,0,0,
7,2018-01-20,8,21-291,CGY,,WPG,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,7:27,0,0,0,0,
8,2018-02-03,9,21-305,CGY,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,7:28,1,0,0,0,
9,2018-02-24,10,21-326,CGY,,COL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,13:03,0,0,0,0,
10,2018-12-02,1,22-242,CGY,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,8:53,1,0,0,0,
11,2018-12-04,2,22-244,CGY,@,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,15:01,2,0,0,0,
12,2018-12-06,3,22-246,CGY,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:29,1,1,1,0,100.0
13,2018-12-08,4,22-248,CGY,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:31,0,1,0,0,
14,2018-12-09,5,22-249,CGY,@,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:38,1,1,0,0,
15,2018-12-12,6,22-252,CGY,,PHI,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,10:24,1,0,0,0,
16,2018-12-15,7,22-255,CGY,@,MIN,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,7:48,0,0,0,0,
17,2019-01-11,8,22-282,CGY,,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,4:00,2,0,0,0,
18,2019-01-13,9,22-284,CGY,,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,13:34,2,0,0,0,
19,2019-01-16,10,22-287,CGY,,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:38,1,0,0,0,
20,2019-01-18,11,22-289,CGY,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,9,7:54,0,1,1,0,100.0
21,2019-01-19,12,22-290,CGY,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4:34,0,0,0,0,
22,2019-01-22,13,22-293,CGY,,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:00,1,0,1,1,50.0
23,2019-02-01,14,22-303,CGY,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:24,2,0,0,0,
24,2019-02-03,15,22-305,CGY,@,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,11,7:10,1,0,0,0,
25,2019-02-07,16,22-309,CGY,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:52,3,0,1,0,100.0
26,2019-02-09,17,22-311,CGY,@,VAN,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,11,7:45,0,0,0,0,
27,2019-02-12,18,22-314,CGY,@,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,9:51,0,1,0,0,
28,2019-02-14,19,22-316,CGY,@,FLA,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,21,13:48,2,0,0,0,
29,2019-02-16,20,22-318,CGY,@,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,9:17,3,0,0,0,
30,2019-02-18,21,22-320,CGY,,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,15,10:00,0,0,0,1,0.0
31,2019-02-20,22,22-322,CGY,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:59,1,1,0,0,
32,2019-02-22,23,22-324,CGY,,ANA,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,14,11:59,0,0,0,0,
33,2019-02-24,24,22-326,CGY,@,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:38,0,1,0,0,
34,2019-02-26,25,22-328,CGY,@,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:20,2,0,0,0,
35,2019-02-27,26,22-329,CGY,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:50,1,0,0,0,
36,2019-03-02,27,22-332,CGY,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:42,1,1,0,0,
37,2019-03-04,28,22-334,CGY,,TOR,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:51,1,2,1,0,100.0
38,2019-03-06,29,22-336,CGY,@,VEG,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,17,10:21,2,1,0,0,
39,2019-03-07,30,22-337,CGY,@,ARI,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,17,11:14,0,0,0,0,
40,2019-03-10,31,22-340,CGY,,VEG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,12:50,0,1,0,0,
41,2019-03-12,32,22-342,CGY,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:43,1,0,0,0,
42,2019-03-15,33,22-345,CGY,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:55,1,1,0,0,
43,2019-03-16,34,22-346,CGY,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:16,1,1,0,0,
44,2019-03-19,35,22-349,CGY,,CBJ,W,1,0,1,0,4,1,0,0,0,0,0,0,4,25.0,23,13:44,1,0,0,0,
45,2019-03-21,36,22-351,CGY,,OTT,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,15,11:30,0,0,0,0,
46,2019-03-23,37,22-353,CGY,@,VAN,W,1,0,1,3,0,1,0,0,0,0,0,0,2,50.0,15,11:11,0,0,0,0,
47,2019-03-25,38,22-355,CGY,,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:57,0,0,0,0,
48,2019-03-27,39,22-357,CGY,,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:33,1,0,0,0,
49,2019-03-29,40,22-359,CGY,,ANA,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,17,13:08,1,0,0,0,
50,2019-03-31,41,22-361,CGY,@,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,9:40,1,1,0,0,
