,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2000-10-06,1,21-291,MTL,@,NJD,L,0,1,1,-1,0,0,0,0,0,,,,0,,30,22:13,,,,,
1,2000-10-07,2,21-292,MTL,@,TOR,L,0,0,0,0,4,0,0,0,0,,,,2,0.0,20,19:36,,,,,
2,2000-10-10,3,21-295,MTL,,EDM,W,0,2,2,-2,0,0,0,0,0,,,,1,0.0,23,21:35,,,,,
3,2000-10-11,4,21-296,MTL,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,17:13,,,,,
4,2000-10-14,5,21-299,MTL,,CHI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,28,22:18,,,,,
5,2000-10-17,6,21-302,MTL,,BUF,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,23,19:51,,,,,
6,2000-10-19,7,21-304,MTL,@,PHI,T,1,1,2,-1,0,0,1,0,0,,,,1,100.0,31,20:23,,,,,
7,2000-10-21,8,21-306,MTL,,CAR,W,0,0,0,2,0,0,0,0,0,,,,0,,25,17:40,,,,,
8,2000-10-24,9,21-309,MTL,,MIN,T,0,0,0,-2,0,0,0,0,0,,,,4,0.0,31,24:37,,,,,
9,2000-10-27,10,21-312,MTL,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,28,22:08,,,,,
10,2000-10-28,11,21-313,MTL,,NYI,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,21,19:20,,,,,
11,2000-11-01,12,21-317,MTL,,DET,L,0,0,0,0,2,0,0,0,0,,,,0,,24,18:33,,,,,
12,2000-11-03,13,21-319,MTL,@,BUF,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,21,18:25,,,,,
13,2000-11-04,14,21-320,MTL,,NYR,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,24,19:39,,,,,
14,2000-11-08,15,21-324,MTL,@,FLA,W,1,0,1,0,0,0,1,0,0,,,,3,33.3,22,19:56,,,,,
15,2000-11-10,16,21-326,MTL,@,TBL,L,0,1,1,0,0,0,0,0,0,,,,0,,24,21:46,,,,,
16,2000-11-11,17,21-327,MTL,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,14:05,,,,,
17,2000-11-14,18,21-330,MTL,,TBL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,13,13:43,,,,,
18,2000-11-17,19,21-333,MTL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,19:40,,,,,
19,2000-11-18,20,21-334,MTL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,19:08,,,,,
