,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-10-19,1,22-172,TOR,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
1,1993-10-21,2,22-174,TOR,@,FLA,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
2,1993-10-23,3,22-176,TOR,@,TBL,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
3,1993-11-03,4,22-187,TOR,,FLA,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1993-11-04,5,22-188,TOR,@,DET,T,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
5,1993-11-06,6,22-190,TOR,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1993-11-09,7,22-193,TOR,@,SJS,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1993-11-11,8,22-195,TOR,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1994-03-04,9,22-308,TOR,@,DET,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
9,1994-03-05,10,22-309,TOR,@,QUE,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
10,1994-03-09,11,22-313,TOR,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1994-03-10,12,22-314,TOR,@,PIT,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
12,1995-03-13,1,23-317,TOR,,LAK,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1995-03-15,2,23-319,TOR,@,SJS,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
14,1995-03-17,3,23-321,TOR,@,MDA,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1995-03-18,4,23-322,TOR,@,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
16,1995-03-21,5,23-325,TOR,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
17,1995-03-24,6,23-328,TOR,,WIN,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
18,1995-03-25,7,23-329,TOR,@,WIN,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1995-03-27,8,23-331,TOR,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1995-03-31,9,23-335,TOR,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1995-04-03,10,23-338,TOR,@,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1995-04-05,11,23-340,TOR,,STL,L,0,0,0,1,5,0,0,0,0,,,,0,,,,,,,,
23,1995-04-07,12,23-342,TOR,,DET,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
24,1995-04-08,13,23-343,TOR,,WIN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
25,1995-04-19,14,23-354,TOR,,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1995-04-22,15,23-357,TOR,@,DAL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
27,1995-10-26,1,24-179,TOR,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
28,1995-11-01,2,24-185,TOR,@,WIN,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
29,1995-11-04,3,24-188,TOR,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
30,1995-11-07,4,24-191,TOR,,MDA,W,0,0,0,2,4,0,0,0,0,,,,0,,,,,,,,
31,1995-11-10,5,24-194,TOR,,WSH,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
32,1995-11-11,6,24-195,TOR,@,BOS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
