,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-10-05,1,25-035,NYI,@,TBL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,24,20:28,,,,,
1,2001-10-06,2,25-036,NYI,@,FLA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,17:47,,,,,
2,2001-10-10,3,25-040,NYI,@,PIT,W,0,1,1,4,0,0,0,0,0,,,,0,,27,21:45,,,,,
3,2001-10-11,4,25-041,NYI,@,NJD,W,0,0,0,-2,2,0,0,0,0,,,,2,0.0,23,27:07,,,,,
4,2001-10-13,5,25-043,NYI,,DET,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,29,23:30,,,,,
5,2001-10-17,6,25-047,NYI,@,CAR,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,25,18:19,,,,,
6,2001-10-18,7,25-048,NYI,,CAR,W,1,0,1,2,2,1,0,0,1,,,,4,25.0,28,24:44,,,,,
7,2001-10-20,8,25-050,NYI,,SJS,T,0,1,1,0,2,0,0,0,0,,,,3,0.0,34,26:38,,,,,
8,2001-10-26,9,25-056,NYI,@,CAR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,26,22:28,,,,,
9,2001-10-28,10,25-058,NYI,,DAL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,31,23:11,,,,,
10,2001-10-30,11,25-060,NYI,,FLA,W,0,0,0,2,0,0,0,0,0,,,,0,,18,13:16,,,,,
11,2001-11-02,12,25-063,NYI,@,DET,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,22,18:29,,,,,
12,2001-11-03,13,25-064,NYI,@,PHI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,29,22:07,,,,,
13,2001-11-06,14,25-067,NYI,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,26,23:21,,,,,
14,2001-11-23,15,25-084,NYI,,TOR,W,0,1,1,1,2,0,0,0,0,,,,0,,25,18:58,,,,,
15,2001-11-24,16,25-085,NYI,,MDA,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,32,20:51,,,,,
16,2001-11-27,17,25-088,NYI,,WSH,T,0,0,0,-1,0,0,0,0,0,,,,0,,31,24:00,,,,,
17,2001-11-29,18,25-090,NYI,,MTL,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,35,31:34,,,,,
18,2001-12-01,19,25-092,NYI,,BUF,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,31,24:01,,,,,
19,2001-12-04,20,25-095,NYI,,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,24:32,,,,,
20,2001-12-06,21,25-097,NYI,@,PHI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,30,16:23,,,,,
21,2001-12-07,22,25-098,NYI,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,16:08,,,,,
22,2001-12-11,23,25-102,NYI,,OTT,T,0,0,0,0,0,0,0,0,0,,,,0,,7,6:12,,,,,
23,2002-10-19,1,26-049,NYI,@,ATL,W,0,0,0,1,0,0,0,0,0,,,,0,,13,7:04,,,,,
24,2002-10-22,2,26-052,NYI,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,11,7:54,,,,,
25,2002-10-24,3,26-054,NYI,,FLA,W,0,0,0,1,0,0,0,0,0,,,,0,,18,14:12,,,,,
26,2002-10-26,4,26-056,NYI,,PHI,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,24,14:39,,,,,
27,2002-10-29,5,26-059,NYI,,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,18,13:41,,,,,
28,2002-10-30,6,26-060,NYI,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:29,,,,,
29,2002-11-02,7,26-063,NYI,,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,13:13,,,,,
30,2002-11-04,8,26-065,NYI,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,13:27,,,,,
31,2002-11-07,9,26-068,NYI,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,19:41,,,,,
32,2002-11-08,10,26-069,NYI,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,16:32,,,,,
33,2002-11-10,11,26-071,NYI,,DAL,W,0,0,0,1,2,0,0,0,0,,,,0,,17,12:15,,,,,
34,2002-11-12,12,26-073,NYI,,OTT,L,0,0,0,0,2,0,0,0,0,,,,0,,20,16:14,,,,,
35,2002-11-29,13,26-090,NYI,,CBJ,L,0,1,1,1,2,0,0,0,0,,,,0,,25,18:06,,,,,
36,2002-11-30,14,26-091,NYI,@,OTT,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,24,19:55,,,,,
37,2002-12-03,15,26-094,NYI,,VAN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,22,14:24,,,,,
38,2002-12-06,16,26-097,NYI,,TOR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,20,15:01,,,,,
39,2002-12-07,17,26-098,NYI,@,PIT,W,0,0,0,0,2,0,0,0,0,,,,0,,26,18:56,,,,,
40,2002-12-10,18,26-101,NYI,,CHI,L,0,1,1,-1,0,0,0,0,0,,,,0,,19,13:57,,,,,
41,2002-12-13,19,26-104,NYI,@,FLA,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,17:49,,,,,
42,2002-12-14,20,26-105,NYI,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,0,,19,16:57,,,,,
43,2002-12-17,21,26-108,NYI,,DET,T,1,0,1,1,0,1,0,0,0,,,,2,50.0,20,17:08,,,,,
44,2002-12-19,22,26-110,NYI,@,MIN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,18:07,,,,,
45,2002-12-21,23,26-112,NYI,,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,16:23,,,,,
46,2002-12-23,24,26-114,NYI,,MTL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,26,20:05,,,,,
47,2002-12-28,25,26-119,NYI,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:38,,,,,
48,2002-12-30,26,26-121,NYI,,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,19:41,,,,,
