,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1998-10-28,1,25-150,BOS,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,11,6:51,,,,,
1,1998-10-29,2,25-151,BOS,,MTL,T,0,0,0,0,0,0,0,0,0,,,,0,,12,6:15,,,,,
2,1998-10-31,3,25-153,BOS,,CAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,11:17,,,,,
3,1998-11-03,4,25-156,BOS,@,BUF,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,17,11:33,,,,,
4,1998-11-05,5,25-158,BOS,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,7:27,,,,,
5,1998-11-07,6,25-160,BOS,@,PIT,T,0,0,0,0,0,0,0,0,0,,,,0,,11,6:27,,,,,
6,1998-11-08,7,25-161,BOS,@,CAR,W,0,0,0,-1,6,0,0,0,0,,,,0,,14,4:41,,,,,
7,1999-01-07,8,25-221,BOS,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,6,4:05,,,,,
8,1999-01-09,9,25-223,BOS,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,9,7:22,,,,,
9,2000-01-06,1,26-220,BOS,,CAR,L,0,1,1,0,2,0,0,0,0,,,,0,,12,6:50,,,,,
10,2000-01-08,2,26-222,BOS,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,14,11:11,,,,,
11,2000-01-11,3,26-225,BOS,,TOR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,9,6:24,,,,,
12,2000-01-13,4,26-227,BOS,,BUF,T,0,0,0,0,0,0,0,0,0,,,,0,,7,5:45,,,,,
13,2000-01-15,5,26-229,BOS,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,0,,5,2:44,,,,,
14,2000-01-17,6,26-231,BOS,,ATL,T,0,0,0,0,2,0,0,0,0,,,,0,,6,3:28,,,,,
15,2000-11-02,1,27-155,BOS,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,8,7:04,,,,,
