,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-10-05,1,21-187,DET,@,DAL,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
1,1993-10-08,2,21-190,DET,@,MDA,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1993-10-09,3,21-191,DET,@,LAK,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
3,1993-10-13,4,21-195,DET,,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1993-10-15,5,21-197,DET,@,TOR,L,0,0,0,0,7,0,0,0,0,,,,4,0.0,,,,,,,
5,1993-10-16,6,21-198,DET,,TOR,L,0,0,0,1,5,0,0,0,0,,,,0,,,,,,,,
6,1993-10-18,7,21-200,DET,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1993-10-21,8,21-203,DET,,WIN,W,1,1,2,2,5,1,0,0,0,,,,1,100.0,,,,,,,
8,1993-10-23,9,21-205,DET,@,CHI,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,,,,,,,
9,1993-10-25,10,21-207,DET,,DAL,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
10,1993-10-27,11,21-209,DET,,LAK,W,0,0,0,1,12,0,0,0,0,,,,0,,,,,,,,
11,1993-10-30,12,21-212,DET,@,QUE,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
12,1993-11-02,13,21-215,DET,,BOS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
13,1993-11-04,14,21-217,DET,,TOR,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1993-11-09,15,21-222,DET,,EDM,L,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
15,1993-11-21,16,21-234,DET,@,STL,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
16,1993-11-23,17,21-236,DET,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1993-11-24,18,21-237,DET,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1993-11-27,19,21-240,DET,,DAL,W,1,1,2,2,2,1,0,0,0,,,,1,100.0,,,,,,,
19,1993-11-28,20,21-241,DET,@,NYI,W,0,0,0,-1,5,0,0,0,0,,,,2,0.0,,,,,,,
20,1993-12-01,21,21-244,DET,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1993-12-03,22,21-246,DET,,OTT,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,,,,,,,
22,1993-12-05,23,21-248,DET,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1993-12-06,24,21-249,DET,,WIN,W,0,0,0,1,5,0,0,0,0,,,,1,0.0,,,,,,,
24,1993-12-09,25,21-252,DET,,STL,W,0,0,0,0,5,0,0,0,0,,,,4,0.0,,,,,,,
25,1993-12-11,26,21-254,DET,,SJS,W,1,1,2,2,5,1,0,0,1,,,,1,100.0,,,,,,,
26,1993-12-14,27,21-257,DET,,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
27,1993-12-17,28,21-260,DET,,NYR,W,0,0,0,0,5,0,0,0,0,,,,2,0.0,,,,,,,
28,1993-12-18,29,21-261,DET,@,MTL,L,0,0,0,-2,5,0,0,0,0,,,,1,0.0,,,,,,,
29,1993-12-21,30,21-264,DET,,CHI,W,0,0,0,0,21,0,0,0,0,,,,1,0.0,,,,,,,
30,1993-12-23,31,21-266,DET,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1993-12-27,32,21-270,DET,@,DAL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
32,1993-12-31,33,21-274,DET,,LAK,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
33,1994-01-04,34,21-278,DET,@,STL,T,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
34,1994-01-06,35,21-280,DET,@,SJS,W,1,0,1,0,2,1,0,0,0,,,,2,50.0,,,,,,,
35,1994-01-08,36,21-282,DET,@,LAK,W,0,2,2,0,7,0,0,0,0,,,,3,0.0,,,,,,,
36,1994-01-10,37,21-284,DET,@,MDA,W,0,0,0,2,2,0,0,0,0,,,,2,0.0,,,,,,,
37,1994-01-12,38,21-286,DET,,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
38,1994-01-14,39,21-288,DET,,DAL,W,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
39,1994-01-15,40,21-289,DET,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
40,1994-01-17,41,21-291,DET,vs.,TBL,W,0,1,1,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
41,1994-01-19,42,21-293,DET,,MDA,T,1,1,2,0,0,1,0,0,0,,,,3,33.3,,,,,,,
42,1994-01-25,43,21-299,DET,,CHI,L,0,0,0,0,12,0,0,0,0,,,,3,0.0,,,,,,,
43,1994-01-27,44,21-301,DET,@,CHI,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
44,1994-01-29,45,21-303,DET,,WIN,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
45,1994-02-11,46,21-316,DET,,PHI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1994-02-12,47,21-317,DET,@,STL,W,1,0,1,1,5,1,0,0,1,,,,2,50.0,,,,,,,
47,1994-02-15,48,21-320,DET,@,TOR,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
48,1994-02-16,49,21-321,DET,,FLA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
49,1994-02-18,50,21-323,DET,,EDM,W,1,1,2,2,5,1,0,0,0,,,,4,25.0,,,,,,,
50,1994-02-20,51,21-325,DET,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1994-02-23,52,21-328,DET,,NJD,L,0,0,0,-3,5,0,0,0,0,,,,1,0.0,,,,,,,
52,1994-02-24,53,21-329,DET,vs.,HAR,W,0,1,1,2,0,0,0,0,0,,,,3,0.0,,,,,,,
