,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-07,1,23-255,DET,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
1,1990-10-16,2,23-264,DET,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
2,1990-10-18,3,23-266,DET,,MTL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
3,1990-10-20,4,23-268,DET,@,QUE,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
4,1990-10-27,5,23-275,DET,@,MNS,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
5,1990-11-01,6,23-280,DET,,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-11-03,7,23-282,DET,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
7,1990-11-08,8,23-287,DET,@,LAK,L,0,0,0,0,7,0,0,0,0,,,,0,,,,,,,,
8,1990-11-10,9,23-289,DET,@,STL,L,0,0,0,-1,5,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-11-17,10,23-296,DET,@,TOR,W,0,2,2,1,2,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-11-21,11,23-300,DET,,MNS,W,1,0,1,2,2,1,0,0,0,,,,2,50.0,,,,,,,
11,1990-11-23,12,23-302,DET,,STL,W,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
12,1990-11-27,13,23-306,DET,,LAK,W,0,0,0,-1,5,0,0,0,0,,,,0,,,,,,,,
13,1990-11-29,14,23-308,DET,@,CHI,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
14,1990-12-01,15,23-310,DET,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1990-12-02,16,23-311,DET,@,BUF,T,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
16,1990-12-04,17,23-313,DET,,BOS,L,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
17,1990-12-07,18,23-316,DET,,STL,L,0,0,0,-2,5,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-12-08,19,23-317,DET,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1990-12-18,20,23-327,DET,,PHI,W,0,0,0,-1,10,0,0,0,0,,,,0,,,,,,,,
20,1990-12-20,21,23-329,DET,,WIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-12-22,22,23-331,DET,@,WIN,W,0,0,0,0,29,0,0,0,0,,,,0,,,,,,,,
22,1990-12-23,23,23-332,DET,@,CHI,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
23,1990-12-28,24,23-337,DET,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
