,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-02-01,1,21-229,TOR,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,6,3:43,2,0,1,5,16.7
1,2015-01-02,1,22-199,TOR,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4:22,1,0,5,2,71.4
2,2015-01-03,2,22-200,TOR,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:16,1,1,4,9,30.8
3,2015-03-26,3,22-282,TOR,,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:56,1,1,8,5,61.5
4,2016-02-15,1,23-243,FLA,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:08,3,0,0,2,0.0
5,2016-02-18,2,23-246,FLA,,SJS,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,8:40,0,0,2,2,50.0
6,2016-02-20,3,23-248,FLA,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:35,2,0,4,0,100.0
7,2016-02-25,4,23-253,FLA,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:09,2,0,4,3,57.1
8,2016-02-27,5,23-255,FLA,@,CBJ,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,4:59,0,0,3,4,42.9
9,2016-02-28,6,23-256,FLA,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:58,1,1,4,4,50.0
10,2016-03-15,7,23-272,FLA,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:24,3,1,4,4,50.0
11,2016-03-17,8,23-274,FLA,@,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,11,8:49,0,2,4,7,36.4
12,2016-03-19,9,23-276,FLA,,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,10,6:08,0,0,4,3,57.1
13,2016-03-21,10,23-278,FLA,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:29,3,0,2,3,40.0
14,2016-03-24,11,23-281,FLA,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:27,2,0,5,2,71.4
15,2016-03-26,12,23-283,FLA,@,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:15,0,0,2,6,25.0
16,2016-03-29,13,23-286,FLA,,TOR,L,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,17,11:49,1,1,5,9,35.7
17,2016-04-05,14,23-293,FLA,@,MTL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,9:43,2,1,2,2,50.0
18,2016-04-07,15,23-295,FLA,@,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:19,1,0,5,10,33.3
19,2016-10-13,1,24-118,FLA,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:43,0,0,1,0,100.0
20,2016-10-15,2,24-120,FLA,,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,9:54,1,0,1,1,50.0
21,2016-10-18,3,24-123,FLA,@,TBL,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,11:00,4,0,0,1,0.0
22,2016-10-20,4,24-125,FLA,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,10:16,1,0,0,0,
23,2016-10-22,5,24-127,FLA,,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:45,1,0,0,0,
24,2016-10-25,6,24-130,FLA,@,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,13:40,0,0,2,0,100.0
25,2016-10-27,7,24-132,FLA,@,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:34,0,1,2,0,100.0
26,2016-10-29,8,24-134,FLA,@,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:00,1,1,0,2,0.0
27,2016-10-30,9,24-135,FLA,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:50,1,0,0,0,
28,2016-11-01,10,24-137,FLA,,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:52,2,0,0,0,
29,2016-11-03,11,24-139,FLA,,NJD,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,10:12,1,0,0,3,0.0
30,2016-11-05,12,24-141,FLA,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,9:56,0,0,0,1,0.0
31,2016-11-07,13,24-143,FLA,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:06,0,0,2,1,66.7
32,2016-11-10,14,24-146,FLA,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,12:04,1,0,0,0,
33,2016-11-12,15,24-148,FLA,,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,8:50,0,0,0,1,0.0
34,2016-11-15,16,24-151,FLA,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:43,2,3,1,2,33.3
35,2016-11-17,17,24-153,FLA,@,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:34,1,0,3,3,50.0
36,2016-11-20,18,24-156,FLA,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:37,4,1,4,4,50.0
37,2016-11-22,19,24-158,FLA,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:26,0,0,1,0,100.0
38,2016-12-31,20,24-197,FLA,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:49,3,2,0,0,
39,2017-01-04,21,24-201,FLA,,WPG,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,23,15:22,1,1,3,1,75.0
40,2017-01-06,22,24-203,FLA,,NSH,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,12:07,1,0,2,0,100.0
41,2017-01-07,23,24-204,FLA,,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,5:15,0,0,0,1,0.0
42,2017-01-17,24,24-214,FLA,@,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:12,1,2,2,2,50.0
43,2017-01-18,25,24-215,FLA,@,EDM,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,9:37,0,0,3,3,50.0
44,2017-01-20,26,24-217,FLA,@,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:41,3,0,3,3,50.0
45,2017-01-23,27,24-220,FLA,@,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,8:26,0,0,3,3,50.0
46,2017-01-26,28,24-223,FLA,,TBL,W,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,11,6:54,1,1,1,0,100.0
47,2017-01-31,29,24-228,FLA,,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,10:34,2,0,3,6,33.3
48,2017-02-17,30,24-245,FLA,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:02,1,0,4,0,100.0
49,2017-02-18,31,24-246,FLA,@,LAK,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,8:29,0,0,2,2,50.0
50,2017-03-01,32,24-257,TBL,,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:14,1,1,1,1,50.0
51,2017-03-03,33,24-259,TBL,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,8:25,2,0,3,2,60.0
52,2017-03-11,34,24-267,TBL,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:38,0,0,5,3,62.5
53,2017-03-13,35,24-269,TBL,@,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,9:49,2,1,1,5,16.7
54,2017-03-14,36,24-270,TBL,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:04,1,1,5,6,45.5
55,2017-03-16,37,24-272,TBL,,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,10:01,2,1,4,6,40.0
56,2017-03-18,38,24-274,TBL,,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,8:44,0,0,6,4,60.0
57,2017-03-24,39,24-280,TBL,@,DET,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,6,3:28,1,0,0,1,0.0
58,2017-03-27,40,24-283,TBL,,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,10:20,2,0,2,1,66.7
59,2017-03-30,41,24-286,TBL,,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,17,11:59,1,0,4,3,57.1
60,2017-04-01,42,24-288,TBL,,MTL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,8:46,0,0,0,4,0.0
61,2017-04-04,43,24-291,TBL,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:27,2,0,4,4,50.0
62,2017-04-06,44,24-293,TBL,@,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:16,1,0,3,5,37.5
63,2017-04-07,45,24-294,TBL,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:59,0,0,7,4,63.6
64,2017-04-09,46,24-296,TBL,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:51,0,0,2,1,66.7
65,2017-10-04,1,25-109,PIT,,STL,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,15:07,0,0,13,4,76.5
66,2017-10-05,2,25-110,PIT,@,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,16:20,1,4,7,9,43.8
67,2017-10-07,3,25-112,PIT,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,15:27,0,0,4,7,36.4
68,2017-10-11,4,25-116,PIT,@,WSH,W,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,23,11:50,0,0,4,6,40.0
69,2017-10-12,5,25-117,PIT,@,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,14:47,0,2,10,8,55.6
70,2017-10-14,6,25-119,PIT,,FLA,W,1,0,1,2,0,0,0,1,0,0,0,0,3,33.3,20,13:08,1,0,2,7,22.2
71,2017-10-17,7,25-122,PIT,@,NYR,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,13:36,3,1,7,6,53.8
72,2017-10-20,8,25-125,PIT,@,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,7:54,1,0,3,5,37.5
73,2017-10-21,9,25-126,PIT,@,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,14:47,1,1,8,8,50.0
74,2017-10-24,10,25-129,PIT,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:02,0,0,1,3,25.0
75,2017-10-26,11,25-131,PIT,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:21,0,0,5,4,55.6
76,2017-10-28,12,25-133,PIT,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:54,0,0,5,2,71.4
77,2017-10-29,13,25-134,PIT,@,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:56,3,0,2,2,50.0
78,2017-11-01,14,25-137,PIT,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:25,2,0,4,2,66.7
79,2017-11-02,15,25-138,PIT,@,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:30,1,1,1,5,16.7
80,2017-11-04,16,25-140,PIT,@,VAN,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,10,5:59,0,0,3,2,60.0
81,2017-11-07,17,25-143,PIT,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:22,1,0,7,2,77.8
82,2017-11-10,18,25-146,PIT,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:02,0,0,3,3,50.0
83,2017-11-11,19,25-147,PIT,@,NSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,6:35,0,0,1,6,14.3
84,2017-11-14,20,25-150,PIT,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:12,4,0,8,3,72.7
85,2017-11-16,21,25-152,PIT,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:23,0,0,2,4,33.3
86,2017-11-18,22,25-154,PIT,,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:01,0,0,6,2,75.0
87,2017-11-22,23,25-158,PIT,,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:33,1,0,3,9,25.0
88,2017-11-24,24,25-160,PIT,@,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:48,0,0,1,2,33.3
89,2017-11-25,25,25-161,PIT,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,6:17,0,0,4,3,57.1
90,2017-11-27,26,25-163,PIT,,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,5:24,0,1,1,4,20.0
91,2019-01-04,1,26-201,CAR,,CBJ,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,17,10:17,0,0,5,7,41.7
92,2019-01-06,2,26-203,CAR,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:01,1,0,5,4,55.6
