,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2007-12-19,1,23-176,COL,@,ANA,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,9:56,1,0,0,0,
1,2007-12-21,2,23-178,COL,,NYR,W,0,0,0,0,7,0,0,0,0,,,,1,0.0,12,6:53,1,0,0,0,
2,2007-12-23,3,23-180,COL,,VAN,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,17,9:35,4,0,0,0,
3,2007-12-27,4,23-184,COL,,DET,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,15,10:03,1,0,0,1,0.0
4,2007-12-29,5,23-186,COL,,LAK,L,0,0,0,0,15,0,0,0,0,,,,2,0.0,9,6:52,3,0,0,0,
5,2007-12-31,6,23-188,COL,@,PHX,L-SO,1,0,1,1,0,1,0,0,0,,,,1,100.0,14,9:47,4,0,0,0,
6,2008-01-02,7,23-190,COL,,PHX,L,0,0,0,-1,5,0,0,0,0,,,,0,,12,8:45,2,0,0,0,
7,2008-01-05,8,23-193,COL,,NYI,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,12:06,0,1,0,0,
8,2008-01-08,9,23-196,COL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,11:09,1,0,0,0,
9,2008-01-09,10,23-197,COL,@,WSH,L,0,0,0,-1,2,0,0,0,0,,,,0,,18,9:55,1,0,0,0,
10,2008-01-12,11,23-200,COL,@,CAR,W,1,1,2,0,2,1,0,0,0,,,,4,25.0,19,12:16,6,0,0,0,
11,2008-01-13,12,23-201,COL,@,FLA,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,13,10:34,2,0,0,0,
12,2008-01-15,13,23-203,COL,@,TBL,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,14,9:10,1,0,0,0,
13,2008-01-18,14,23-206,COL,,CHI,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:18,2,0,0,0,
14,2008-01-20,15,23-208,COL,,CBJ,W,0,0,0,0,5,0,0,0,0,,,,0,,13,8:58,1,0,0,0,
15,2008-01-22,16,23-210,COL,,NSH,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,13,11:37,1,1,0,0,
16,2008-01-24,17,23-212,COL,,MIN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,8:24,2,1,0,0,
17,2008-01-30,18,23-218,COL,,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,11,9:03,2,1,0,0,
18,2008-02-01,19,23-220,COL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,16,8:37,3,0,0,0,
19,2008-02-02,20,23-221,COL,@,STL,W,0,2,2,2,0,0,0,0,0,,,,0,,13,8:36,3,1,0,0,
20,2008-02-04,21,23-223,COL,,PHX,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,7:07,1,0,0,0,
21,2008-02-06,22,23-225,COL,@,SJS,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,11,6:53,0,0,0,0,
22,2008-02-09,23,23-228,COL,@,VAN,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,20,12:06,6,0,0,0,
23,2008-02-12,24,23-231,COL,,ANA,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,18,10:07,2,0,0,0,
24,2008-02-14,25,23-233,COL,,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,9:59,2,0,0,0,
25,2008-02-17,26,23-236,COL,@,CHI,L,0,1,1,0,5,0,0,0,0,,,,1,0.0,14,5:32,0,0,0,0,
26,2008-02-18,27,23-237,COL,,DET,L,0,0,0,0,26,0,0,0,0,,,,0,,12,6:13,1,0,0,0,
27,2008-02-20,28,23-239,COL,@,ANA,L-SO,0,1,1,0,0,0,0,0,0,,,,1,0.0,16,9:38,1,0,0,0,
28,2008-02-22,29,23-241,COL,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,16:00,6,0,0,0,
29,2008-02-24,30,23-243,COL,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,8:54,1,0,0,1,0.0
30,2008-02-26,31,23-245,COL,@,CGY,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,12:41,2,0,0,0,
31,2008-02-27,32,23-246,COL,@,VAN,W,0,0,0,-1,4,0,0,0,0,,,,0,,16,10:33,1,0,0,0,
32,2008-03-01,33,23-249,COL,,LAK,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,15:00,1,0,0,0,
33,2008-03-04,34,23-252,COL,,VAN,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,17,11:36,1,0,0,0,
34,2008-03-06,35,23-254,COL,,ANA,W,0,0,0,0,0,0,0,0,0,,,,0,,22,12:24,4,0,0,0,
35,2008-03-08,36,23-256,COL,,DAL,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,16,10:06,4,0,0,0,
36,2008-03-09,37,23-257,COL,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,13:40,4,0,0,0,
37,2008-03-11,38,23-259,COL,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:58,2,0,0,0,
38,2008-03-13,39,23-261,COL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,11:13,2,0,0,0,
39,2008-03-15,40,23-263,COL,,NJD,L,0,0,0,-1,7,0,0,0,0,,,,2,0.0,15,9:42,4,0,0,0,
40,2008-03-17,41,23-265,COL,@,MIN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,6:23,1,0,0,0,
41,2008-03-20,42,23-268,COL,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,0,,19,11:55,0,0,0,0,
42,2008-03-22,43,23-270,COL,@,EDM,L,0,0,0,-2,5,0,0,0,0,,,,1,0.0,13,8:09,2,0,0,0,
43,2008-03-24,44,23-272,COL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:10,2,0,0,0,
44,2008-03-26,45,23-274,COL,,VAN,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,20,10:47,2,1,0,0,
45,2008-03-28,46,23-276,COL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:46,0,0,0,1,0.0
46,2008-03-30,47,23-278,COL,@,MIN,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,16,11:44,2,0,0,0,
47,2008-04-01,48,23-280,COL,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,10:19,2,1,0,0,
48,2008-04-06,49,23-285,COL,,MIN,W,0,0,0,-1,2,0,0,0,0,,,,0,,16,8:56,1,0,0,0,
49,2008-10-09,1,24-105,COL,,BOS,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,13,8:05,4,0,0,0,
50,2008-10-12,2,24-108,COL,@,EDM,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,10,5:59,2,0,0,0,
