,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2004-03-06,1,23-062,PHI,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:24,,,,,
1,2005-12-06,1,24-336,PHI,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,31,19:43,,,,,
2,2005-12-08,2,24-338,PHI,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,17:01,,,,,
3,2005-12-10,3,24-340,PHI,,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,21,14:14,,,,,
4,2005-12-13,4,24-343,PHI,@,CBJ,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,16:53,,,,,
5,2005-12-15,5,24-345,PHI,,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,21,16:25,,,,,
6,2005-12-17,6,24-347,PHI,@,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,25,18:19,,,,,
7,2005-12-19,7,24-349,PHI,,BUF,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,19:44,,,,,
8,2005-12-22,8,24-352,PHI,,OTT,W,0,1,1,1,0,0,0,0,0,,,,0,,20,15:14,,,,,
9,2005-12-23,9,24-353,PHI,@,PIT,W,0,1,1,1,0,0,0,0,0,,,,0,,23,17:08,,,,,
10,2005-12-26,10,24-356,PHI,@,FLA,W,0,0,0,2,4,0,0,0,0,,,,3,0.0,30,21:08,,,,,
11,2005-12-28,11,24-358,PHI,@,ATL,W,0,0,0,1,0,0,0,0,0,,,,0,,23,16:01,,,,,
12,2005-12-29,12,24-359,PHI,@,CAR,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,18,12:01,,,,,
13,2005-12-31,13,24-361,PHI,@,WSH,L-SO,0,0,0,0,4,0,0,0,0,,,,3,0.0,31,19:17,,,,,
14,2006-01-02,14,24-363,PHI,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,16:01,,,,,
15,2006-01-05,15,25-001,PHI,@,NYR,W,1,1,2,0,0,0,1,0,0,,,,2,50.0,24,14:51,,,,,
16,2006-01-06,16,25-002,PHI,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,22,12:33,,,,,
17,2006-01-09,17,25-005,PHI,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,20,15:56,,,,,
18,2006-01-11,18,25-007,PHI,@,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,22,16:22,,,,,
19,2006-01-12,19,25-008,PHI,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,26,19:01,,,,,
20,2006-01-14,20,25-010,PHI,,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,18:04,,,,,
21,2006-01-17,21,25-013,PHI,,CAR,L-SO,1,1,2,2,0,1,0,0,0,,,,1,100.0,21,15:03,,,,,
22,2006-01-19,22,25-015,PHI,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,25,17:12,,,,,
23,2006-01-21,23,25-017,PHI,@,PIT,W,0,1,1,0,5,0,0,0,0,,,,1,0.0,24,18:58,,,,,
24,2006-01-23,24,25-019,PHI,,PIT,W,0,1,1,2,2,0,0,0,0,,,,3,0.0,28,23:59,,,,,
25,2006-01-25,25,25-021,PHI,,MTL,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,22,23:29,,,,,
26,2006-01-28,26,25-024,PHI,,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,23:14,,,,,
27,2006-01-30,27,25-026,PHI,@,NYR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,31,20:02,,,,,
28,2006-02-02,28,25-029,PHI,@,BUF,L,0,0,0,1,2,0,0,0,0,,,,0,,26,24:27,,,,,
29,2006-02-04,29,25-031,PHI,,NYR,L-OT,0,0,0,2,0,0,0,0,0,,,,2,0.0,28,22:53,,,,,
30,2006-02-05,30,25-032,PHI,@,MTL,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,28,22:53,,,,,
31,2006-02-08,31,25-035,PHI,,NYI,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,24,19:00,,,,,
32,2006-02-10,32,25-037,PHI,,WSH,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,26,22:08,,,,,
33,2006-02-11,33,25-038,PHI,@,OTT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,28,22:59,,,,,
34,2006-03-01,34,25-056,PHI,@,NJD,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,27,21:36,,,,,
35,2006-03-02,35,25-057,PHI,,NYR,L,1,0,1,-2,0,0,1,0,0,,,,4,25.0,20,17:54,,,,,
36,2006-03-04,36,25-059,PHI,@,NYI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,25,18:22,,,,,
37,2006-03-06,37,25-061,PHI,,MTL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,20,19:16,,,,,
38,2006-03-08,38,25-063,PHI,,CAR,W,1,0,1,0,4,1,0,0,0,,,,3,33.3,34,21:53,,,,,
