,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2004-01-16,1,21-024,MIN,,PIT,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,15:37,,,,,
1,2004-01-17,2,21-025,MIN,@,STL,T,0,0,0,1,0,0,0,0,0,,,,0,,13,7:47,,,,,
2,2004-01-21,3,21-029,MIN,,CHI,W,0,0,0,-1,0,0,0,0,0,,,,0,,18,11:29,,,,,
3,2004-01-23,4,21-031,MIN,@,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,18,11:11,,,,,
4,2004-01-24,5,21-032,MIN,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,15:21,,,,,
5,2004-01-26,6,21-034,MIN,@,LAK,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,9:33,,,,,
6,2004-01-29,7,21-037,MIN,,MTL,L-OT,0,0,0,-2,0,0,0,0,0,,,,0,,27,16:58,,,,,
7,2004-01-31,8,21-039,MIN,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:09,,,,,
8,2004-03-09,9,21-077,MIN,@,SJS,W,1,0,1,-1,0,1,0,0,0,,,,1,100.0,18,12:00,,,,,
9,2004-03-10,10,21-078,MIN,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,13:36,,,,,
10,2004-03-14,11,21-082,MIN,,CBJ,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,24,16:14,,,,,
11,2004-03-16,12,21-084,MIN,,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,24,19:50,,,,,
12,2004-03-18,13,21-086,MIN,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:18,,,,,
13,2004-03-19,14,21-087,MIN,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:14,,,,,
14,2004-03-22,15,21-090,MIN,,PHX,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,27,21:27,,,,,
15,2004-03-24,16,21-092,MIN,@,CBJ,L,0,0,0,-2,0,0,0,0,0,,,,0,,17,11:00,,,,,
16,2004-03-25,17,21-093,MIN,@,CHI,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,23,15:02,,,,,
17,2004-03-28,18,21-096,MIN,,MDA,W,0,0,0,0,4,0,0,0,0,,,,0,,21,15:40,,,,,
18,2004-03-29,19,21-097,MIN,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,17:18,,,,,
19,2004-03-31,20,21-099,MIN,,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,19,12:22,,,,,
20,2004-04-02,21,21-101,MIN,,DAL,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,22,15:36,,,,,
21,2004-04-04,22,21-103,MIN,,STL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:54,,,,,
22,2005-10-05,1,22-286,PHX,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,15:51,,,,,
23,2005-10-06,2,22-287,PHX,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,26:34,,,,,
24,2005-10-08,3,22-289,PHX,,MIN,W,0,0,0,0,2,0,0,0,0,,,,0,,31,21:14,,,,,
25,2005-10-11,4,22-292,PHX,@,DAL,L,0,0,0,1,2,0,0,0,0,,,,0,,25,21:50,,,,,
26,2005-10-13,5,22-294,PHX,,NSH,L-SO,0,1,1,-1,0,0,0,0,0,,,,1,0.0,26,21:35,,,,,
27,2005-10-15,6,22-296,PHX,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,21:36,,,,,
28,2005-10-17,7,22-298,PHX,@,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,22,21:16,,,,,
29,2005-10-18,8,22-299,PHX,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,20:48,,,,,
30,2005-10-20,9,22-301,PHX,@,VAN,L,0,1,1,1,4,0,0,0,0,,,,1,0.0,22,18:19,,,,,
31,2005-10-23,10,22-304,PHX,@,MDA,L,0,1,1,1,0,0,0,0,0,,,,0,,30,20:59,,,,,
32,2005-10-25,11,22-306,PHX,,STL,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,24,20:26,,,,,
33,2005-10-27,12,22-308,PHX,,CGY,W,1,0,1,1,0,0,1,0,0,,,,1,100.0,24,18:20,,,,,
34,2005-10-29,13,22-310,PHX,,DAL,L,0,0,0,1,0,0,0,0,0,,,,0,,24,22:13,,,,,
35,2005-10-30,14,22-311,PHX,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,16:03,,,,,
36,2005-11-03,15,22-315,PHX,,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,18:21,,,,,
37,2005-11-05,16,22-317,PHX,@,DET,W,1,0,1,-1,0,0,1,0,1,,,,3,33.3,23,20:01,,,,,
38,2005-11-06,17,22-318,PHX,@,CHI,L-OT,0,0,0,1,2,0,0,0,0,,,,1,0.0,30,19:47,,,,,
39,2005-11-08,18,22-320,PHX,@,MIN,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,25,18:38,,,,,
40,2005-11-10,19,22-322,PHX,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,18:48,,,,,
41,2005-11-12,20,22-324,PHX,,MDA,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,29,23:33,,,,,
42,2005-11-16,21,22-328,PHX,,COL,L,0,0,0,-1,0,0,0,0,0,,,,0,,28,21:03,,,,,
43,2005-11-19,22,22-331,PHX,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,23:19,,,,,
44,2005-11-20,23,22-332,PHX,,CBJ,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,27,25:16,,,,,
45,2005-11-22,24,22-334,PHX,,MDA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,21:35,,,,,
46,2005-11-25,25,22-337,PHX,@,DAL,W,0,0,0,1,0,0,0,0,0,,,,0,,26,22:41,,,,,
47,2005-11-26,26,22-338,PHX,,VAN,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,30,30:07,,,,,
48,2005-11-30,27,22-342,PHX,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,26,20:52,,,,,
49,2005-12-03,28,22-345,PHX,,CAR,W,1,0,1,-1,2,0,1,0,0,,,,2,50.0,32,21:47,,,,,
50,2005-12-05,29,22-347,PHX,,ATL,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,28,26:18,,,,,
51,2005-12-11,30,22-353,PHX,@,BOS,W,0,0,0,1,4,0,0,0,0,,,,0,,25,25:21,,,,,
52,2005-12-13,31,22-355,PHX,@,MTL,L,0,0,0,1,0,0,0,0,0,,,,4,0.0,25,21:46,,,,,
53,2005-12-15,32,22-357,PHX,,TBL,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,28,24:30,,,,,
54,2005-12-17,33,22-359,PHX,@,LAK,L,0,0,0,0,2,0,0,0,0,,,,0,,31,23:52,,,,,
55,2005-12-20,34,22-362,PHX,,STL,L,0,0,0,1,2,0,0,0,0,,,,2,0.0,26,20:29,,,,,
56,2005-12-22,35,22-364,PHX,,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,22:45,,,,,
57,2005-12-23,36,23-000,PHX,@,DAL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,26:08,,,,,
58,2005-12-26,37,23-003,PHX,@,COL,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,32,23:13,,,,,
59,2005-12-28,38,23-005,PHX,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,21:46,,,,,
60,2005-12-29,39,23-006,PHX,,LAK,W,0,1,1,-1,2,0,0,0,0,,,,2,0.0,32,25:55,,,,,
61,2005-12-31,40,23-008,PHX,,COL,L,0,0,0,0,2,0,0,0,0,,,,0,,28,23:08,,,,,
62,2006-01-05,41,23-013,PHX,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,29,24:54,,,,,
