,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-12-12,1,29-168,WIN,,TOR,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1993-12-17,2,29-173,WIN,@,VAN,L,0,0,0,0,15,0,0,0,0,,,,1,0.0,,,,,,,
2,1993-12-23,3,29-179,WIN,,QUE,W,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
3,1993-12-27,4,29-183,WIN,@,EDM,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1995-02-25,1,30-243,WIN,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
5,1995-03-04,2,30-250,WIN,,SJS,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
6,1995-03-05,3,30-251,WIN,,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
7,1995-03-10,4,30-256,WIN,,DAL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1995-03-11,5,30-257,WIN,,LAK,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
9,1995-03-14,6,30-260,WIN,,VAN,T,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
10,1995-03-24,7,30-270,WIN,@,TOR,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
11,1995-03-25,8,30-271,WIN,,TOR,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
12,1995-03-28,9,30-274,WIN,@,SJS,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
13,1995-03-30,10,30-276,WIN,@,MDA,L,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
14,1995-04-01,11,30-278,WIN,@,LAK,T,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
15,1995-04-05,12,30-282,WIN,,CHI,W,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
16,1995-04-07,13,30-284,WIN,,VAN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1995-04-08,14,30-285,WIN,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1995-04-11,15,30-288,WIN,@,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1995-04-13,16,30-290,WIN,,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
20,1995-04-15,17,30-292,WIN,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1995-04-17,18,30-294,WIN,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1995-04-19,19,30-296,WIN,@,DET,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
23,1995-04-21,20,30-298,WIN,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
24,1995-04-23,21,30-300,WIN,@,DAL,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
25,1995-04-25,22,30-302,WIN,,EDM,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
26,1995-04-27,23,30-304,WIN,,DET,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
27,1995-04-29,24,30-306,WIN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
28,1995-05-01,25,30-308,WIN,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
29,1995-10-13,1,31-108,MDA,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
30,1995-10-14,2,31-109,MDA,@,PIT,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
31,1995-10-22,3,31-117,MDA,,WIN,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
32,1995-12-01,4,31-157,MDA,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
33,1995-12-06,5,31-162,MDA,@,TBL,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
34,1996-01-12,6,31-199,MDA,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
35,1996-02-11,7,31-229,MDA,@,NJD,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
36,1996-02-14,8,31-232,MDA,@,EDM,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
