,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,1991-02-02,1,33-222,CHI,@,CGY,L,,0,6,6,1.000,0,0,12:08
1,1991-02-09,2,33-229,CHI,@,BOS,L,L,2,19,17,.895,0,0,37:02
2,1991-02-23,3,33-243,CHI,@,MNS,T,,2,7,5,.714,0,0,9:00
3,1992-01-03,1,34-192,DET,,TOR,W,W,4,20,16,.800,0,0,60:00
4,1992-01-29,2,34-218,DET,,BUF,T,T,0,13,13,1.000,0,0,24:10
5,1992-01-31,3,34-220,DET,,NJD,L,,0,11,11,1.000,0,0,34:03
6,1992-02-03,4,34-223,DET,@,PIT,T,T,4,35,31,.886,0,0,65:00
7,1992-02-07,5,34-227,DET,,TOR,L,L,4,31,27,.871,0,0,58:48
8,1992-02-15,6,34-235,DET,,SJS,W,W,1,24,23,.958,0,0,59:59
9,1992-03-03,7,34-252,DET,,WIN,L,L,4,27,23,.852,0,0,58:50
10,1992-03-14,8,34-263,DET,@,MNS,L,,0,1,1,1.000,0,0,1:28
11,1992-03-15,9,34-264,DET,@,WIN,T,T,1,24,23,.958,0,0,65:00
12,1992-03-17,10,34-266,DET,@,SJS,W,W,4,26,22,.846,0,0,60:00
