,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-01-25,1,21-345,BUF,,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,11:17,,,,,
1,2002-01-27,2,21-347,BUF,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:17,,,,,
2,2002-01-29,3,21-349,BUF,@,CAR,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,17,12:01,,,,,
3,2002-04-12,4,22-057,BUF,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,14:53,,,,,
4,2002-04-13,5,22-058,BUF,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,13:34,,,,,
5,2002-12-13,1,22-302,BUF,,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,12,9:49,,,,,
6,2002-12-14,2,22-303,BUF,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,13:26,,,,,
7,2002-12-21,3,22-310,BUF,@,MTL,L,0,0,0,-3,4,0,0,0,0,,,,1,0.0,14,11:27,,,,,
8,2002-12-23,4,22-312,BUF,@,PIT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,16,12:48,,,,,
9,2003-03-26,5,23-040,BUF,,FLA,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,17,11:39,,,,,
10,2003-03-28,6,23-042,BUF,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,17,10:27,,,,,
11,2003-03-29,7,23-043,BUF,@,CAR,W,0,0,0,-1,2,0,0,0,0,,,,0,,11,7:35,,,,,
12,2003-03-31,8,23-045,BUF,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,9,8:13,,,,,
13,2004-02-27,1,24-013,BUF,,NYI,L,0,0,0,0,2,0,0,0,0,,,,0,,9,5:29,,,,,
14,2004-02-28,2,24-014,BUF,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,11:11,,,,,
15,2006-01-03,1,25-323,TBL,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:21,,,,,
16,2006-01-05,2,25-325,TBL,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,9:18,,,,,
17,2006-01-07,3,25-327,TBL,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,0,,11,7:49,,,,,
18,2006-01-13,4,25-333,TBL,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,7,4:28,,,,,
19,2006-01-16,5,25-336,TBL,@,SJS,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,12,8:05,,,,,
20,2006-01-17,6,25-337,TBL,@,LAK,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,13,10:34,,,,,
21,2006-01-20,7,25-340,TBL,@,DAL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,9,6:22,,,,,
22,2006-01-21,8,25-341,TBL,@,ATL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,14,11:04,,,,,
23,2006-01-28,9,25-348,TBL,@,PHI,W,0,0,0,0,2,0,0,0,0,,,,0,,12,8:42,,,,,
24,2006-01-29,10,25-349,TBL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:32,,,,,
25,2006-01-31,11,25-351,TBL,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,6,3:43,,,,,
26,2006-02-04,12,25-355,TBL,,WSH,W,1,0,1,0,0,0,1,0,0,,,,1,100.0,10,6:59,,,,,
27,2006-02-06,13,25-357,TBL,@,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,8,4:12,,,,,
28,2006-02-09,14,25-360,TBL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,3,2:00,,,,,
