,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-10-05,1,23-068,COL,@,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,11:24,2,1,0,0,
1,2017-10-28,2,23-091,COL,,CHI,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,18,11:22,0,0,0,0,
2,2017-11-02,3,23-096,COL,,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:18,4,2,0,0,
3,2017-11-04,4,23-098,COL,@,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,8:53,1,0,0,0,
4,2017-11-11,5,23-105,COL,@,OTT,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,17,10:43,2,2,0,0,
5,2017-11-16,6,23-110,COL,,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:21,4,6,0,0,
6,2017-11-18,7,23-112,COL,@,NSH,L,1,1,2,2,2,1,0,0,0,1,0,0,1,100.0,14,9:46,1,1,0,0,
7,2017-11-24,8,23-118,COL,@,MIN,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,10:44,2,1,0,0,
8,2017-11-25,9,23-119,COL,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:35,2,2,0,0,
9,2017-12-31,10,23-155,COL,,NYI,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,12:22,1,1,0,0,
