,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2000-10-26,1,22-221,NYR,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,13:40,,,,,
1,2000-10-27,2,22-222,NYR,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,10:50,,,,,
2,2000-10-29,3,22-224,NYR,,BOS,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,26,16:36,,,,,
3,2000-11-01,4,22-227,NYR,,TBL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,23,14:14,,,,,
4,2000-11-02,5,22-228,NYR,@,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,15:09,,,,,
5,2000-11-04,6,22-230,NYR,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,17,13:11,,,,,
6,2000-11-07,7,22-233,NYR,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,8:10,,,,,
7,2000-11-09,8,22-235,NYR,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,9,6:24,,,,,
8,2001-03-12,9,22-358,NYR,,PIT,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:16,,,,,
9,2001-03-19,10,23-000,NYR,,WSH,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,14,14:18,,,,,
10,2001-03-24,11,23-005,NYR,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,18,15:39,,,,,
11,2001-03-28,12,23-009,NYR,,NYI,W,0,1,1,-1,0,0,0,0,0,,,,2,0.0,23,24:22,,,,,
12,2001-03-29,13,23-010,NYR,@,NYI,W,0,0,0,-1,2,0,0,0,0,,,,0,,23,19:22,,,,,
13,2001-03-31,14,23-012,NYR,@,NJD,W,0,0,0,1,5,0,0,0,0,,,,0,,22,16:53,,,,,
14,2001-04-01,15,23-013,NYR,@,ATL,W,0,0,0,0,2,0,0,0,0,,,,0,,18,15:52,,,,,
15,2001-04-04,16,23-016,NYR,,CAR,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,19,14:53,,,,,
16,2001-04-05,17,23-017,NYR,@,TBL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,22,21:20,,,,,
17,2001-04-07,18,23-019,NYR,@,FLA,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,17:07,,,,,
18,2002-03-11,1,23-357,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:20,,,,,
19,2003-02-04,1,24-322,CGY,,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,17,10:31,,,,,
20,2003-02-06,2,24-324,CGY,,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,21,12:36,,,,,
21,2003-02-07,3,24-325,CGY,@,EDM,W,0,0,0,1,0,0,0,0,0,,,,0,,16,10:53,,,,,
22,2003-02-09,4,24-327,CGY,@,COL,L,0,0,0,-2,0,0,0,0,0,,,,0,,7,5:18,,,,,
23,2007-10-04,1,29-199,NJD,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,16:21,1,0,0,0,
24,2007-10-06,2,29-201,NJD,@,FLA,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,18,14:59,0,1,0,0,
25,2007-10-08,3,29-203,NJD,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,16:12,1,1,0,0,
26,2007-10-11,4,29-206,NJD,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,14:51,1,0,0,0,
27,2007-10-13,5,29-208,NJD,@,ATL,W,0,0,0,-2,0,0,0,0,0,,,,0,,12,10:05,0,3,0,0,
28,2007-10-17,6,29-212,NJD,@,PIT,W,0,0,0,1,0,0,0,0,0,,,,0,,20,12:13,0,2,0,0,
29,2007-10-18,7,29-213,NJD,@,PHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,19,14:08,0,1,0,0,
30,2007-10-20,8,29-215,NJD,@,NYI,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,19,13:39,1,2,0,0,
31,2007-10-31,9,29-226,NJD,,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:06,1,0,0,0,
32,2007-11-02,10,29-228,NJD,,TOR,W,0,1,1,1,0,0,0,0,0,,,,0,,19,13:00,0,0,0,0,
33,2007-11-03,11,29-229,NJD,@,NYR,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,22,20:14,0,1,0,0,
34,2007-11-05,12,29-231,NJD,,PIT,L,0,0,0,0,2,0,0,0,0,,,,0,,23,19:35,2,0,0,0,
35,2007-11-12,13,29-238,NJD,@,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,14,9:04,0,2,0,0,
36,2007-11-16,14,29-242,NJD,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,0,,25,19:11,0,1,0,0,
37,2007-11-17,15,29-243,NJD,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,20:16,1,1,0,0,
38,2007-11-21,16,29-247,NJD,@,PIT,W,0,1,1,-1,0,0,0,0,0,,,,0,,24,21:31,1,0,0,0,
39,2007-11-23,17,29-249,NJD,@,ATL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,15:56,0,3,0,0,
40,2007-11-24,18,29-250,NJD,@,TBL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,24,17:42,0,0,0,0,
41,2007-11-28,19,29-254,NJD,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,23,23:37,0,1,0,0,
42,2007-11-30,20,29-256,NJD,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,20:12,0,0,0,0,
