,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,23-195,PHI,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,23-197,PHI,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-07,3,23-198,PHI,,DET,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-11,4,23-202,PHI,,NJD,W,1,2,3,3,2,1,0,0,1,,,,7,14.3,,,,,,,
4,1990-10-13,5,23-204,PHI,,WIN,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
5,1990-10-16,6,23-207,PHI,@,PIT,W,0,0,0,2,2,0,0,0,0,,,,3,0.0,,,,,,,
6,1990-10-18,7,23-209,PHI,,QUE,W,0,2,2,0,0,0,0,0,0,,,,6,0.0,,,,,,,
7,1990-10-20,8,23-211,PHI,@,MTL,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
8,1990-10-23,9,23-214,PHI,,WSH,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-25,10,23-216,PHI,@,NYR,L,1,0,1,0,0,1,0,0,0,,,,4,25.0,,,,,,,
10,1990-10-27,11,23-218,PHI,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
11,1990-10-30,12,23-221,PHI,,PIT,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
12,1990-11-01,13,23-223,PHI,,MNS,W,0,0,0,1,0,0,0,0,0,,,,5,0.0,,,,,,,
13,1990-11-03,14,23-225,PHI,,CHI,L,0,1,1,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
14,1990-11-04,15,23-226,PHI,@,TOR,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
15,1990-11-06,16,23-228,PHI,@,WIN,W,0,0,0,2,6,0,0,0,0,,,,0,,,,,,,,
16,1990-11-08,17,23-230,PHI,,CGY,L,0,1,1,-3,0,0,0,0,0,,,,3,0.0,,,,,,,
17,1990-11-10,18,23-232,PHI,@,QUE,W,1,1,2,0,0,0,1,0,0,,,,1,100.0,,,,,,,
18,1990-11-11,19,23-233,PHI,,VAN,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
19,1990-11-13,20,23-235,PHI,,NYR,T,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
20,1990-11-15,21,23-237,PHI,,MTL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-11-17,22,23-239,PHI,@,NJD,L,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
22,1990-11-18,23,23-240,PHI,,NJD,L,1,0,1,-2,0,0,1,0,0,,,,2,50.0,,,,,,,
23,1990-11-21,24,23-243,PHI,@,PIT,W,0,1,1,1,4,0,0,0,0,,,,0,,,,,,,,
24,1990-11-23,25,23-245,PHI,,TOR,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
25,1990-11-25,26,23-247,PHI,,NYI,W,2,0,2,2,0,1,1,0,0,,,,3,66.7,,,,,,,
26,1990-11-27,27,23-249,PHI,@,NYI,W,0,1,1,2,2,0,0,0,0,,,,2,0.0,,,,,,,
27,1990-11-28,28,23-250,PHI,@,NJD,T,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
28,1990-11-30,29,23-252,PHI,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1990-12-02,30,23-254,PHI,,EDM,L,0,1,1,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
30,1990-12-06,31,23-258,PHI,,BUF,L,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
31,1990-12-08,32,23-260,PHI,@,MNS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
32,1990-12-09,33,23-261,PHI,@,CHI,W,0,0,0,0,2,0,0,0,0,,,,4,0.0,,,,,,,
33,1990-12-11,34,23-263,PHI,@,WSH,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
34,1990-12-13,35,23-265,PHI,,NYI,T,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
35,1990-12-15,36,23-267,PHI,,DET,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
36,1990-12-16,37,23-268,PHI,@,WIN,W,1,0,1,1,0,0,1,0,0,,,,5,20.0,,,,,,,
37,1990-12-18,38,23-270,PHI,@,DET,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
38,1990-12-20,39,23-272,PHI,,NJD,T,0,1,1,1,0,0,0,0,0,,,,5,0.0,,,,,,,
39,1990-12-22,40,23-274,PHI,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,6,0.0,,,,,,,
40,1990-12-23,41,23-275,PHI,,MTL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1990-12-27,42,23-279,PHI,@,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
42,1990-12-29,43,23-281,PHI,@,STL,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
43,1990-12-31,44,23-283,PHI,@,BUF,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
44,1991-01-04,45,23-287,PHI,@,WSH,T,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1991-01-05,46,23-288,PHI,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
46,1991-01-07,47,23-290,PHI,@,NYR,L,0,1,1,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
47,1991-01-12,48,23-295,PHI,@,BOS,W,0,1,1,2,0,0,0,0,0,,,,3,0.0,,,,,,,
48,1991-01-13,49,23-296,PHI,,EDM,L,0,1,1,-2,4,0,0,0,0,,,,3,0.0,,,,,,,
49,1991-01-15,50,23-298,PHI,,PIT,W,0,2,2,-1,2,0,0,0,0,,,,5,0.0,,,,,,,
50,1991-01-17,51,23-300,PHI,,QUE,W,0,0,0,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
51,1991-01-22,52,23-305,PHI,,CGY,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
52,1991-01-24,53,23-307,PHI,,WSH,W,0,0,0,2,6,0,0,0,0,,,,1,0.0,,,,,,,
53,1991-01-26,54,23-309,PHI,@,HAR,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1991-01-31,55,23-314,PHI,,PIT,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
55,1991-02-02,56,23-316,PHI,,HAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
56,1991-02-05,57,23-319,PHI,,LAK,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
57,1991-02-07,58,23-321,PHI,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
58,1991-02-10,59,23-324,PHI,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
59,1991-02-13,60,23-327,PHI,@,TOR,W,1,2,3,3,0,0,1,0,1,,,,1,100.0,,,,,,,
60,1991-02-16,61,23-330,PHI,@,NJD,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
61,1991-02-18,62,23-332,PHI,,CHI,W,0,2,2,0,0,0,0,0,0,,,,4,0.0,,,,,,,
62,1991-02-21,63,23-335,PHI,,NYR,T,0,0,0,2,0,0,0,0,0,,,,5,0.0,,,,,,,
63,1991-02-23,64,23-337,PHI,@,NYI,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
64,1991-02-24,65,23-338,PHI,,NYI,W,1,0,1,-2,0,0,1,0,0,,,,2,50.0,,,,,,,
65,1991-02-26,66,23-340,PHI,@,MNS,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
66,1991-03-02,67,23-344,PHI,,STL,T,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
67,1991-03-04,68,23-346,PHI,@,NYR,L,0,1,1,-2,0,0,0,0,0,,,,0,,,,,,,,
68,1991-03-07,69,23-349,PHI,@,CGY,L,0,0,0,-3,0,0,0,0,0,,,,6,0.0,,,,,,,
69,1991-03-08,70,23-350,PHI,@,EDM,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
70,1991-03-12,71,23-354,PHI,@,LAK,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
71,1991-03-13,72,23-355,PHI,@,VAN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
72,1991-03-16,73,23-358,PHI,@,WSH,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
73,1991-03-17,74,23-359,PHI,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,5,0.0,,,,,,,
74,1991-03-21,75,23-363,PHI,,STL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
75,1991-03-23,76,24-000,PHI,,NYR,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1991-03-24,77,24-001,PHI,@,BUF,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
77,1991-03-26,78,24-003,PHI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,11,0.0,,,,,,,
78,1991-03-28,79,24-005,PHI,,WSH,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
79,1991-03-30,80,24-007,PHI,@,PIT,T,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
80,1991-10-06,1,24-197,PHI,@,PIT,T,0,0,0,1,4,0,0,0,0,,,,3,0.0,,,,,,,
81,1991-10-10,2,24-201,PHI,,PIT,L,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
82,1991-10-12,3,24-203,PHI,@,NYI,L,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
83,1991-10-17,4,24-208,PHI,,QUE,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
84,1991-10-19,5,24-210,PHI,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
85,1991-10-24,6,24-215,PHI,@,MNS,W,1,0,1,2,2,1,0,0,0,,,,5,20.0,,,,,,,
86,1991-10-25,7,24-216,PHI,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
87,1991-10-31,8,24-222,PHI,,SJS,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,,,,,,,
88,1991-11-02,9,24-224,PHI,,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
89,1991-11-05,10,24-227,PHI,@,STL,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
90,1991-11-07,11,24-229,PHI,,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
91,1991-11-08,12,24-230,PHI,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
92,1991-11-12,13,24-234,PHI,@,NJD,L,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
93,1991-11-16,14,24-238,PHI,@,MTL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
94,1991-11-17,15,24-239,PHI,,WIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
95,1991-11-20,16,24-242,PHI,@,PIT,L,0,1,1,-3,2,0,0,0,0,,,,3,0.0,,,,,,,
96,1991-11-27,17,24-249,PHI,,HAR,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
97,1991-11-30,18,24-252,PHI,@,PIT,L,0,1,1,-2,2,0,0,0,0,,,,3,0.0,,,,,,,
98,1991-12-02,19,24-254,PHI,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
99,1991-12-05,20,24-257,PHI,,WSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
100,1991-12-07,21,24-259,PHI,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
101,1991-12-08,22,24-260,PHI,,NJD,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
102,1991-12-12,23,24-264,PHI,,TOR,T,0,0,0,0,15,0,0,0,0,,,,2,0.0,,,,,,,
103,1991-12-14,24,24-266,PHI,,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
104,1991-12-15,25,24-267,PHI,@,CHI,T,0,0,0,2,2,0,0,0,0,,,,2,0.0,,,,,,,
105,1991-12-18,26,24-270,PHI,@,NYR,L,0,1,1,2,0,0,0,0,0,,,,4,0.0,,,,,,,
106,1991-12-19,27,24-271,PHI,,NYI,W,1,2,3,1,0,1,0,0,0,,,,1,100.0,,,,,,,
107,1991-12-21,28,24-273,PHI,@,MNS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
108,1991-12-22,29,24-274,PHI,,WSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
109,1991-12-27,30,24-279,PHI,@,VAN,T,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
110,1991-12-28,31,24-280,PHI,@,CGY,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
111,1992-01-02,32,24-285,BOS,,WIN,L,0,1,1,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
112,1992-01-04,33,24-287,BOS,,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
113,1992-01-08,34,24-291,BOS,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
114,1992-01-09,35,24-292,BOS,,QUE,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
115,1992-01-11,36,24-294,BOS,,PHI,W,0,1,1,1,4,0,0,0,0,,,,3,0.0,,,,,,,
116,1992-01-15,37,24-298,BOS,@,HAR,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
