,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-06,1,22-355,EDM,,WIN,T,0,1,1,0,0,0,0,0,0,,,,5,0.0,,,,,,,
1,1990-10-07,2,22-356,EDM,,TOR,W,2,0,2,0,0,0,2,0,1,,,,2,100.0,,,,,,,
2,1990-10-11,3,22-360,EDM,@,LAK,T,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
3,1990-10-14,4,22-363,EDM,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1990-10-16,5,23-000,EDM,,STL,L,0,2,2,1,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-10-19,6,23-003,EDM,,BOS,W,0,2,2,0,0,0,0,0,0,,,,3,0.0,,,,,,,
6,1990-10-21,7,23-005,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1990-10-24,8,23-008,EDM,@,WIN,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
8,1990-10-25,9,23-009,EDM,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
9,1990-10-28,10,23-012,EDM,,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-10-31,11,23-015,EDM,,WIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1990-11-03,12,23-018,EDM,,NJD,L,1,0,1,0,0,0,1,0,0,,,,1,100.0,,,,,,,
12,1990-11-06,13,23-021,EDM,@,STL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
13,1990-11-08,14,23-023,EDM,@,CHI,L,0,1,1,-1,2,0,0,0,0,,,,0,,,,,,,,
14,1990-11-10,15,23-025,EDM,@,LAK,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
15,1990-11-14,16,23-029,EDM,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
