,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2005-12-02,1,25-265,SJS,@,BUF,W,0,0,0,2,4,0,0,0,0,,,,0,,22,13:13,,,,,
1,2005-12-03,2,25-266,SJS,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,15:11,,,,,
2,2005-12-06,3,25-269,SJS,,ATL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,23,15:42,,,,,
3,2005-12-08,4,25-271,SJS,,FLA,W,0,0,0,1,0,0,0,0,0,,,,0,,20,13:04,,,,,
4,2005-12-10,5,25-273,SJS,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,17:12,,,,,
5,2005-12-16,6,25-279,SJS,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,29,18:11,,,,,
6,2005-12-18,7,25-281,SJS,@,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,19,15:48,,,,,
7,2005-12-20,8,25-283,SJS,,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,32,21:11,,,,,
8,2005-12-22,9,25-285,SJS,@,PHX,L,0,0,0,0,7,0,0,0,0,,,,0,,20,12:53,,,,,
9,2005-12-23,10,25-286,SJS,,STL,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,30,19:35,,,,,
10,2005-12-26,11,25-289,SJS,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,18:42,,,,,
11,2005-12-28,12,25-291,SJS,,PHX,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,29,18:35,,,,,
12,2005-12-30,13,25-293,SJS,,COL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,13:29,,,,,
13,2006-01-05,14,25-299,SJS,,CBJ,W,0,0,0,0,2,0,0,0,0,,,,0,,23,11:42,,,,,
14,2006-01-07,15,25-301,SJS,,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,28,17:59,,,,,
15,2006-01-10,16,25-304,SJS,@,BOS,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,17:05,,,,,
16,2006-01-12,17,25-306,SJS,@,OTT,W,0,0,0,1,2,0,0,0,0,,,,0,,23,12:29,,,,,
17,2006-01-14,18,25-308,SJS,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,12:09,,,,,
18,2006-01-16,19,25-310,SJS,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,20,12:54,,,,,
19,2006-01-19,20,25-313,SJS,,EDM,L-SO,0,0,0,1,0,0,0,0,0,,,,1,0.0,30,13:52,,,,,
20,2006-01-21,21,25-315,SJS,@,LAK,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,15:47,,,,,
21,2006-01-24,22,25-318,SJS,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,27,15:04,,,,,
22,2006-01-26,23,25-320,SJS,,MDA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,12:20,,,,,
23,2006-01-28,24,25-322,SJS,@,PHX,L,0,0,0,-2,0,0,0,0,0,,,,0,,26,15:14,,,,,
24,2006-01-30,25,25-324,SJS,@,DAL,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,16,8:49,,,,,
25,2006-02-01,26,25-326,SJS,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,15,9:25,,,,,
26,2006-02-02,27,25-327,SJS,,MIN,L-SO,0,1,1,2,0,0,0,0,0,,,,1,0.0,19,15:36,,,,,
27,2006-02-04,28,25-329,SJS,,MDA,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,9,4:46,,,,,
28,2006-02-28,29,25-353,SJS,,DET,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,15,12:00,,,,,
29,2006-03-03,30,25-356,SJS,@,EDM,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,10:44,,,,,
30,2006-03-04,31,25-357,SJS,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,0,,11,6:19,,,,,
31,2006-03-13,32,26-001,SJS,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,16,11:26,,,,,
32,2006-03-16,33,26-004,SJS,,STL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,8:36,,,,,
33,2006-04-17,34,26-036,SJS,,LAK,L,0,0,0,-1,2,0,0,0,0,,,,0,,26,14:59,,,,,
34,2006-10-29,1,26-231,SJS,@,TBL,W,0,0,0,0,9,0,0,0,0,,,,1,0.0,18,14:21,,,,,
35,2006-10-31,2,26-233,SJS,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,22,13:51,,,,,
36,2006-11-02,3,26-235,SJS,,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,12:11,,,,,
37,2006-11-09,4,26-242,SJS,@,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,30,19:30,,,,,
38,2006-11-11,5,26-244,SJS,@,PHX,W,0,0,0,1,0,0,0,0,0,,,,0,,23,13:09,,,,,
