,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-10-03,1,19-201,COL,@,PIT,W,1,1,2,0,0,0,1,0,0,,,,2,50.0,24,12:22,,,,,
1,2001-10-09,2,19-207,COL,,VAN,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,21,13:05,,,,,
2,2001-10-11,3,19-209,COL,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,14:31,,,,,
3,2001-10-13,4,19-211,COL,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,13:10,,,,,
4,2001-10-16,5,19-214,COL,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,20,10:41,,,,,
5,2001-10-18,6,19-216,COL,,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,11:21,,,,,
6,2001-10-20,7,19-218,COL,@,CBJ,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,16,10:29,,,,,
7,2001-10-21,8,19-219,COL,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,14,6:35,,,,,
8,2001-10-23,9,19-221,COL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,15,8:38,,,,,
9,2001-10-25,10,19-223,COL,,VAN,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,18,10:45,,,,,
10,2001-10-27,11,19-225,COL,@,PHX,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,7:21,,,,,
11,2001-10-31,12,19-229,COL,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:08,,,,,
12,2001-11-06,13,19-235,COL,@,MTL,T,0,0,0,1,0,0,0,0,0,,,,0,,10,6:36,,,,,
13,2001-11-08,14,19-237,COL,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,7:44,,,,,
14,2001-11-10,15,19-239,COL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:17,,,,,
15,2001-11-14,16,19-243,COL,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,13:44,,,,,
16,2001-11-16,17,19-245,COL,,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,13:53,,,,,
17,2001-11-18,18,19-247,COL,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,15:13,,,,,
18,2001-11-24,19,19-253,COL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,11,6:36,,,,,
19,2001-11-27,20,19-256,COL,,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,12,6:02,,,,,
20,2001-12-29,21,19-288,COL,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,10:32,,,,,
21,2002-01-01,22,19-291,COL,@,NSH,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,10:52,,,,,
22,2002-01-03,23,19-293,COL,,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,13,7:20,,,,,
23,2002-01-05,24,19-295,COL,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,8:32,,,,,
24,2002-03-23,25,20-007,COL,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,14,9:36,,,,,
25,2002-10-09,1,20-207,COL,,DAL,T,0,0,0,-1,2,0,0,0,0,,,,0,,13,8:51,,,,,
26,2002-10-14,2,20-212,COL,,BOS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,5:31,,,,,
27,2002-10-17,3,20-215,COL,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:33,,,,,
28,2002-10-19,4,20-217,COL,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:44,,,,,
29,2002-10-20,5,20-218,COL,@,MDA,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,17,11:51,,,,,
30,2002-10-22,6,20-220,COL,,EDM,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,14,9:27,,,,,
31,2002-10-24,7,20-222,COL,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,14,9:48,,,,,
32,2002-10-27,8,20-225,COL,,MIN,T,0,1,1,1,0,0,0,0,0,,,,1,0.0,15,8:17,,,,,
33,2002-10-29,9,20-227,COL,@,MIN,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,8,5:26,,,,,
34,2002-10-31,10,20-229,COL,@,VAN,W,0,1,1,1,2,0,0,0,0,,,,0,,16,8:43,,,,,
35,2002-11-02,11,20-231,COL,@,CGY,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:24,,,,,
36,2002-11-04,12,20-233,COL,,VAN,L,0,0,0,1,0,0,0,0,0,,,,0,,15,7:36,,,,,
37,2002-11-06,13,20-235,COL,,OTT,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,17,10:49,,,,,
38,2002-11-08,14,20-237,COL,,MDA,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:35,,,,,
39,2002-11-10,15,20-239,COL,,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,13:06,,,,,
40,2002-11-12,16,20-241,COL,,CBJ,W,0,1,1,1,0,0,0,0,0,,,,0,,20,12:36,,,,,
41,2002-11-14,17,20-243,COL,@,NSH,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,20,10:06,,,,,
42,2002-11-21,18,20-250,COL,,NSH,T,0,0,0,1,2,0,0,0,0,,,,0,,18,10:35,,,,,
43,2002-11-27,19,20-256,COL,,STL,T,1,0,1,-1,0,1,0,0,0,,,,1,100.0,20,12:58,,,,,
44,2002-11-29,20,20-258,COL,@,MIN,T,1,0,1,1,2,1,0,0,0,,,,3,33.3,24,14:30,,,,,
45,2002-11-30,21,20-259,COL,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,14:02,,,,,
46,2002-12-03,22,20-262,COL,,CGY,L,0,0,0,1,0,0,0,0,0,,,,0,,17,10:10,,,,,
47,2002-12-06,23,20-265,COL,,MTL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,8:44,,,,,
48,2002-12-11,24,20-270,COL,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,0,,14,6:38,,,,,
49,2002-12-13,25,20-272,COL,@,EDM,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,12:45,,,,,
50,2002-12-14,26,20-273,COL,@,CGY,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,21,14:25,,,,,
51,2002-12-16,27,20-275,COL,,WSH,T,0,0,0,1,2,0,0,0,0,,,,2,0.0,28,15:32,,,,,
52,2002-12-19,28,20-278,COL,,EDM,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,15:23,,,,,
53,2002-12-21,29,20-280,COL,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,14:20,,,,,
54,2002-12-23,30,20-282,COL,,VAN,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,9:44,,,,,
55,2002-12-26,31,20-285,COL,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,13:09,,,,,
56,2002-12-27,32,20-286,COL,,PHI,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,9:25,,,,,
57,2002-12-29,33,20-288,COL,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,2,1:00,,,,,
58,2003-02-08,34,20-329,COL,,DET,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,11:08,,,,,
59,2003-02-09,35,20-330,COL,,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,21,10:46,,,,,
60,2003-02-11,36,20-332,COL,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,22,13:30,,,,,
