,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2011-11-19,1,21-245,NYI,,BOS,L,\,3,17,14,.824,0,0,39:41
1,2011-11-21,2,21-247,NYI,@,PIT,L,L,5,36,31,.861,0,0,59:45
2,2012-03-04,3,21-351,NYI,,NJD,W,W,0,24,24,1.000,1,0,60:00
3,2012-03-10,4,21-357,NYI,,NJD,L,L,2,35,33,.943,0,0,58:22
4,2013-11-23,1,23-249,NYI,@,PHI,L,\,1,13,12,.923,0,0,34:52
5,2013-11-30,2,23-256,NYI,,WSH,L-OT,O,3,30,27,.900,0,0,62:07
6,2013-12-03,3,23-259,NYI,,PIT,L-OT,O,3,34,31,.912,0,0,63:44
7,2013-12-05,4,23-261,NYI,@,STL,L,L,5,26,21,.808,0,0,59:54
8,2013-12-09,5,23-265,NYI,@,ANA,L,L,5,31,26,.839,0,0,60:00
9,2014-01-20,6,23-307,NYI,,PHI,W,W,3,29,26,.897,0,0,64:34
10,2014-03-01,7,23-347,NYI,,NJD,L,\,1,16,15,.938,0,0,20:00
11,2014-03-02,8,23-348,NYI,,FLA,L,L,5,34,29,.853,0,0,58:41
12,2014-03-04,9,23-350,NYI,@,WPG,W,W,2,38,36,.947,0,2,63:53
13,2014-03-07,10,23-353,NYI,@,CGY,L,L,4,23,19,.826,0,0,59:55
14,2014-03-15,11,23-361,NYI,,BUF,W,W,1,34,33,.971,0,0,60:00
15,2014-03-18,12,23-364,NYI,,MIN,L,L,6,22,16,.727,0,0,60:00
16,2014-03-25,13,24-006,NYI,@,CAR,W,W,4,28,24,.857,0,0,60:00
17,2014-03-29,14,24-010,NYI,,NJD,W,W,1,24,23,.958,0,0,65:00
18,2014-04-02,15,24-014,NYI,@,OTT,W,W,1,36,35,.972,0,0,60:00
19,2014-04-06,16,24-018,NYI,@,CBJ,L,L,4,33,29,.879,0,0,60:00
20,2014-04-08,17,24-020,NYI,,OTT,L,L,3,31,28,.903,0,0,58:32
21,2014-04-11,18,24-023,NYI,@,NJD,W,W,2,27,25,.926,0,0,64:58
22,2014-04-13,19,24-025,NYI,@,BUF,W,W,3,39,36,.923,0,0,65:00
23,2015-10-13,1,25-208,EDM,@,DAL,L,L,3,51,48,.941,0,0,59:28
