,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,30-244,DET,@,NJD,T,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-10-06,2,30-246,DET,@,WSH,L,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-07,3,30-247,DET,@,PHI,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
3,1990-10-10,4,30-250,DET,,CGY,W,1,1,2,1,0,1,0,0,0,,,,1,100.0,,,,,,,
4,1990-10-12,5,30-252,DET,,HAR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
5,1990-10-13,6,30-253,DET,@,TOR,T,0,0,0,-2,4,0,0,0,0,,,,3,0.0,,,,,,,
6,1990-10-16,7,30-256,DET,,CHI,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,,,,,,,
7,1990-10-18,8,30-258,DET,,MTL,W,0,1,1,3,0,0,0,0,0,,,,0,,,,,,,,
8,1990-10-20,9,30-260,DET,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-23,10,30-263,DET,,VAN,W,1,1,2,2,0,0,1,0,0,,,,2,50.0,,,,,,,
10,1990-10-26,11,30-266,DET,,MNS,W,0,1,1,0,15,0,0,0,0,,,,2,0.0,,,,,,,
11,1990-10-27,12,30-267,DET,@,MNS,T,0,0,0,-2,2,0,0,0,0,,,,3,0.0,,,,,,,
12,1990-10-30,13,30-270,DET,,STL,L,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
13,1990-11-01,14,30-272,DET,,TOR,W,0,0,0,2,5,0,0,0,0,,,,0,,,,,,,,
14,1990-11-06,15,30-277,DET,@,VAN,L,0,0,0,0,10,0,0,0,0,,,,5,0.0,,,,,,,
15,1990-11-08,16,30-279,DET,@,LAK,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
16,1990-11-10,17,30-281,DET,@,STL,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
