,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1992-10-09,1,24-183,NJD,@,PHI,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
1,1992-10-14,2,24-188,NJD,@,NYR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
2,1992-10-22,3,24-196,NJD,@,CHI,W,0,2,2,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1992-10-24,4,24-198,NJD,,PIT,L,2,0,2,1,0,1,1,0,0,,,,4,50.0,,,,,,,
4,1992-10-28,5,24-202,NJD,@,HAR,W,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1992-10-30,6,24-204,NJD,,NYI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1992-10-31,7,24-205,NJD,@,NYI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1992-11-05,8,24-210,NJD,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1992-12-11,9,24-246,NJD,,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
9,1992-12-12,10,24-247,NJD,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1992-12-21,11,24-256,NJD,,NYR,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
11,1992-12-23,12,24-258,NJD,@,NYR,W,0,1,1,1,0,0,0,0,0,,,,5,0.0,,,,,,,
12,1992-12-27,13,24-262,NJD,,HAR,W,1,2,3,1,2,1,0,0,1,,,,2,50.0,,,,,,,
13,1992-12-29,14,24-264,NJD,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
14,1993-01-01,15,24-267,NJD,@,WSH,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,,,,,,,
15,1993-01-09,16,24-275,NJD,@,BOS,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
16,1993-01-20,17,24-286,NJD,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1993-01-22,18,24-288,NJD,,MTL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
18,1993-01-23,19,24-289,NJD,@,BOS,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
19,1993-01-26,20,24-292,NJD,@,NYI,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
20,1993-02-03,21,24-300,NJD,,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1993-02-08,22,24-305,NJD,,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1993-02-09,23,24-306,NJD,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1993-02-23,24,24-320,NJD,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
24,1993-02-25,25,24-322,NJD,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
25,1993-02-28,26,24-325,NJD,,DET,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
26,1993-03-03,27,24-328,NJD,@,HAR,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
27,1993-03-05,28,24-330,NJD,,CHI,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
28,1993-03-09,29,24-334,NJD,@,VAN,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1993-03-20,30,24-345,NJD,,QUE,L,0,0,0,-3,0,0,0,0,0,,,,2,0.0,,,,,,,
30,1993-03-23,31,24-348,NJD,,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
