,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-03-05,1,27-029,WSH,,BOS,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,15,10:05,2,3,0,0,
1,2013-03-07,2,27-031,WSH,,FLA,W,0,2,2,2,0,0,0,0,0,,,,0,,24,22:13,4,4,0,0,
2,2013-03-09,3,27-033,WSH,@,NYI,L,0,0,0,-1,2,0,0,0,0,,,,0,,28,20:13,1,4,0,0,
3,2013-03-10,4,27-034,WSH,,NYR,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,18,16:14,4,1,0,0,
4,2013-03-12,5,27-036,WSH,,CAR,L,0,0,0,-1,5,0,0,0,0,,,,1,0.0,17,11:50,4,4,0,0,
5,2013-03-14,6,27-038,WSH,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,29,27:55,2,4,0,0,
6,2013-03-16,7,27-040,WSH,@,BOS,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,25,24:01,3,0,0,0,
7,2013-03-17,8,27-041,WSH,,BUF,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,28,21:09,2,1,0,0,
8,2013-03-19,9,27-043,WSH,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,21:33,2,2,0,0,
9,2013-03-21,10,27-045,WSH,@,WPG,W,0,0,0,0,9,0,0,0,0,,,,0,,19,16:40,5,1,0,0,
10,2013-03-22,11,27-046,WSH,@,WPG,W,0,1,1,3,2,0,0,0,0,,,,0,,23,18:04,2,0,0,0,
11,2013-03-24,12,27-048,WSH,@,NYR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,15:05,0,1,0,0,
12,2013-03-26,13,27-050,WSH,,NYI,L,0,0,0,0,2,0,0,0,0,,,,0,,15,12:00,0,2,0,0,
13,2013-03-30,14,27-054,WSH,@,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,14,13:44,1,1,0,0,
14,2013-03-31,15,27-055,WSH,@,PHI,L-OT,0,0,0,0,5,0,0,0,0,,,,2,0.0,18,18:18,2,5,0,0,
15,2013-04-02,16,27-057,WSH,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,23,15:31,3,3,0,0,
16,2013-04-04,17,27-059,WSH,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,18,16:26,2,1,0,0,
17,2013-04-06,18,27-061,WSH,@,FLA,W,0,0,0,1,0,0,0,0,0,,,,0,,17,17:24,3,1,0,0,
18,2013-04-07,19,27-062,WSH,,TBL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,18,15:24,2,0,0,0,
19,2013-04-09,20,27-064,WSH,@,MTL,W,0,1,1,2,0,0,0,0,0,,,,0,,19,17:23,2,4,0,0,
20,2013-04-11,21,27-066,WSH,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:05,3,2,0,0,
21,2013-04-13,22,27-068,WSH,,TBL,W,0,2,2,1,0,0,0,0,0,,,,0,,17,14:10,0,1,0,0,
22,2013-04-16,23,27-071,WSH,,TOR,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,20,18:22,2,0,0,0,
23,2013-04-18,24,27-073,WSH,@,OTT,L,0,0,0,1,0,0,0,0,0,,,,0,,17,17:44,3,0,0,0,
24,2013-04-20,25,27-075,WSH,@,MTL,W,0,0,0,0,2,0,0,0,0,,,,0,,21,19:29,2,1,0,0,
25,2013-04-23,26,27-078,WSH,,WPG,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:52,1,3,0,0,
26,2013-04-25,27,27-080,WSH,,OTT,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,15:43,1,3,0,0,
27,2013-04-27,28,27-082,WSH,,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,17,16:53,0,0,0,0,
28,2013-10-05,1,27-243,WSH,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:25,1,0,0,0,
29,2013-10-10,2,27-248,WSH,,CAR,L,0,1,1,1,2,0,0,0,0,,,,1,0.0,20,15:00,2,0,0,0,
