,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2010-10-07,1,22-279,COL,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,3,1:42,1,0,0,0,
1,2010-10-12,2,22-284,COL,@,DET,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,6,4:05,3,0,0,0,
2,2010-10-15,3,22-287,COL,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,4,3:52,0,0,0,0,
3,2010-10-16,4,22-288,COL,@,NYI,L,0,1,1,1,0,0,0,0,0,,,,0,,5,3:53,1,1,0,0,
4,2011-02-16,5,23-046,COL,,PIT,L-OT,0,0,0,-2,0,0,0,0,0,,,,2,0.0,13,7:56,1,0,3,3,50.0
5,2011-02-19,6,23-049,COL,@,SJS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,12:54,1,0,6,2,75.0
6,2011-03-12,7,23-070,COL,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,20,16:25,3,0,0,1,0.0
7,2011-03-16,8,23-074,COL,@,VAN,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,22,16:00,3,0,1,3,25.0
8,2011-03-17,9,23-075,COL,@,CGY,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,22,17:39,1,2,0,1,0.0
9,2011-03-19,10,23-077,COL,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,21,16:50,1,1,1,0,100.0
10,2011-03-22,11,23-080,COL,,CBJ,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,24,17:32,2,2,0,0,
11,2011-03-24,12,23-082,COL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,3,1:52,0,0,0,0,
12,2011-03-28,13,23-086,COL,@,ANA,L,0,0,0,-2,0,0,0,0,0,,,,0,,14,10:27,1,0,0,2,0.0
13,2011-04-03,14,23-092,COL,,CGY,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,20,14:29,2,0,0,0,
14,2011-04-05,15,23-094,COL,@,STL,L,0,1,1,1,12,0,0,0,0,,,,0,,18,15:56,2,1,0,1,0.0
15,2011-04-07,16,23-096,COL,@,DAL,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,23,18:22,4,1,1,0,100.0
16,2011-04-08,17,23-097,COL,,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:31,1,0,0,0,
17,2011-04-10,18,23-099,COL,,EDM,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,23,18:32,0,0,0,0,
18,2012-02-17,1,24-047,COL,@,EDM,W,1,1,2,2,0,1,0,0,1,,,,2,50.0,25,16:43,3,0,0,0,
19,2012-02-19,2,24-049,COL,@,WPG,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,14:52,5,0,1,2,33.3
20,2012-02-22,3,24-052,COL,,LAK,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,17,13:25,0,0,3,7,30.0
21,2012-02-24,4,24-054,COL,@,CBJ,W,0,1,1,2,0,0,0,0,0,,,,0,,14,10:20,1,1,1,3,25.0
22,2012-02-25,5,24-055,COL,@,DET,W,0,0,0,0,4,0,0,0,0,,,,0,,20,13:41,2,0,4,3,57.1
23,2012-02-27,6,24-057,COL,,ANA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,12:58,1,0,3,8,27.3
24,2012-03-01,7,24-060,COL,,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,15:33,2,0,4,4,50.0
25,2012-03-03,8,24-062,COL,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,12:56,0,0,3,2,60.0
26,2012-03-04,9,24-063,COL,@,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,18,15:23,3,2,0,0,
27,2012-03-06,10,24-065,COL,,MIN,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,22,14:43,0,1,1,0,100.0
28,2012-03-08,11,24-067,COL,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:09,1,0,1,10,9.1
29,2012-03-10,12,24-069,COL,,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,15,11:01,0,1,3,4,42.9
30,2012-03-12,13,24-071,COL,,ANA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,14:24,2,0,1,3,25.0
31,2012-03-14,14,24-073,COL,@,BUF,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,10:31,1,1,2,4,33.3
32,2012-03-15,15,24-074,COL,@,NJD,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,13:38,1,0,0,0,
33,2012-03-17,16,24-076,COL,@,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,9,6:38,4,1,0,0,
34,2012-03-20,17,24-079,COL,,CGY,W,0,0,0,0,2,0,0,0,0,,,,0,,11,4:57,1,0,0,0,
35,2012-03-22,18,24-081,COL,@,PHX,L,0,0,0,-1,4,0,0,0,0,,,,0,,15,10:29,1,0,2,4,33.3
36,2012-03-24,19,24-083,COL,,VAN,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,11:09,1,0,0,1,0.0
37,2012-03-26,20,24-085,COL,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:52,7,0,2,2,50.0
38,2012-03-28,21,24-087,COL,@,VAN,L,0,0,0,0,5,0,0,0,0,,,,3,0.0,17,14:00,2,1,0,0,
39,2012-03-30,22,24-089,COL,@,CGY,W,1,0,1,2,0,1,0,0,0,,,,0,,16,13:50,3,1,0,0,
40,2012-04-05,23,24-095,COL,,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,15:23,0,0,1,0,100.0
41,2012-04-07,24,24-097,COL,,NSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,15:10,2,0,1,1,50.0
42,2013-01-19,1,25-018,COL,@,MIN,L,0,1,1,1,0,0,0,0,0,,,,0,,13,7:43,1,0,2,1,66.7
43,2013-01-22,2,25-021,COL,,LAK,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,10,6:58,0,1,0,2,0.0
44,2013-01-24,3,25-023,COL,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,8:17,1,0,7,4,63.6
45,2013-01-26,4,25-025,COL,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:35,0,0,1,4,20.0
46,2013-01-28,5,25-027,COL,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:10,0,1,1,1,50.0
47,2013-01-30,6,25-029,COL,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,12:56,0,4,3,2,60.0
48,2013-01-31,7,25-030,COL,@,CGY,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,10:18,3,1,1,0,100.0
49,2013-02-02,8,25-032,COL,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,14:31,0,0,1,3,25.0
50,2013-02-04,9,25-034,COL,,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,11:33,0,1,4,4,50.0
