,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-10-09,1,24-194,CGY,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,27,20:53,1,1,0,0,
1,2008-11-02,2,24-218,CGY,@,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,10,6:29,0,1,0,0,
2,2008-11-11,3,24-227,CGY,,TOR,W,0,0,0,0,2,0,0,0,0,,,,0,,20,14:11,3,0,0,0,
3,2008-11-13,4,24-229,CGY,@,SJS,L,0,0,0,0,4,0,0,0,0,,,,0,,23,16:13,1,1,0,0,
4,2008-11-18,5,24-234,CGY,,COL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,11:27,0,0,0,0,
5,2008-11-20,6,24-236,CGY,@,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:50,1,0,0,0,
6,2008-11-22,7,24-238,CGY,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,10:24,1,1,0,0,
7,2008-11-25,8,24-241,CGY,,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,13:15,0,1,0,0,
8,2008-11-27,9,24-243,CGY,@,VAN,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,21,12:00,0,1,0,0,
9,2008-11-29,10,24-245,CGY,,VAN,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,15:44,2,2,0,0,
10,2008-12-02,11,24-248,CGY,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,24,16:41,0,1,0,0,
11,2008-12-05,12,24-251,CGY,@,STL,W,0,0,0,0,2,0,0,0,0,,,,0,,22,13:52,4,1,0,0,
12,2008-12-07,13,24-253,CGY,@,NYR,W,0,0,0,1,0,0,0,0,0,,,,0,,18,14:29,0,0,0,0,
13,2008-12-09,14,24-255,CGY,@,MTL,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,19,15:51,3,3,0,0,
14,2008-12-10,15,24-256,CGY,@,DET,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,8:48,0,,,,
15,2008-12-12,16,24-258,CGY,,FLA,L-SO,0,1,1,1,2,0,0,0,0,,,,0,,18,11:37,1,0,0,0,
16,2008-12-16,17,24-262,CGY,@,STL,W,0,0,0,4,2,0,0,0,0,,,,1,0.0,21,14:49,1,0,0,0,
17,2008-12-17,18,24-263,CGY,@,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,19,12:10,1,1,0,0,
18,2008-12-19,19,24-265,CGY,,CHI,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,22,15:20,1,2,0,0,
19,2008-12-23,20,24-269,CGY,,ANA,W,0,0,0,-2,0,0,0,0,0,,,,3,0.0,24,19:32,2,0,0,0,
20,2008-12-27,21,24-273,CGY,,OTT,W,0,1,1,2,0,0,0,0,0,,,,0,,28,19:20,0,0,0,0,
21,2008-12-29,22,24-275,CGY,,MIN,W,0,0,0,0,2,0,0,0,0,,,,0,,21,16:35,2,1,0,0,
22,2008-12-31,23,24-277,CGY,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,0,,26,17:19,3,2,0,0,
