,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,29-040,WIN,,TOR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,29-042,WIN,@,EDM,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-08,3,29-044,WIN,,CGY,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
3,1990-10-10,4,29-046,WIN,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1990-10-12,5,29-048,WIN,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
5,1990-10-13,6,29-049,WIN,@,PHI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-16,7,29-052,WIN,@,NYI,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
7,1990-10-17,8,29-053,WIN,@,NYR,L,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
8,1990-10-19,9,29-055,WIN,,VAN,W,0,3,3,1,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-24,10,29-060,WIN,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-10-26,11,29-062,WIN,,LAK,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
11,1990-10-28,12,29-064,WIN,,LAK,L,1,0,1,-1,0,1,0,0,0,,,,4,25.0,,,,,,,
12,1990-10-31,13,29-067,WIN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
13,1990-11-01,14,29-068,WIN,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
14,1990-11-03,15,29-070,WIN,@,VAN,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,,,,,,,
15,1990-11-06,16,29-073,WIN,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
16,1990-11-09,17,29-076,WIN,,HAR,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,,,,,,,
17,1990-11-11,18,29-078,WIN,@,CHI,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-11-12,19,29-079,WIN,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1990-11-14,20,29-081,WIN,,PIT,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1990-11-16,21,29-083,WIN,,NYR,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
21,1990-11-18,22,29-085,WIN,,STL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1990-11-20,23,29-087,WIN,@,STL,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
