,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-01,1,22-151,VAN,@,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3:54,2,1,0,0,
1,2015-12-26,2,22-176,VAN,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,10:43,3,1,0,0,
2,2015-12-28,3,22-178,VAN,,LAK,L,0,0,0,-1,5,0,0,0,0,0,0,0,2,0.0,18,11:14,3,2,0,0,
3,2016-03-16,4,22-257,VAN,,COL,L,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,21,13:15,3,0,0,0,
4,2016-03-18,5,22-259,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:11,4,0,0,0,
5,2016-03-19,6,22-260,VAN,,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,15:57,4,1,0,0,
6,2016-03-22,7,22-263,VAN,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,11:14,4,2,0,0,
7,2016-03-25,8,22-266,VAN,@,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,15:49,2,0,0,0,
8,2016-03-29,9,22-270,VAN,,SJS,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,20,13:19,6,1,0,0,
9,2016-04-01,10,22-273,VAN,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,5:01,3,0,0,0,
10,2016-04-04,11,22-276,VAN,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:32,2,0,0,0,
11,2016-04-06,12,22-278,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:30,2,0,0,0,
12,2016-04-07,13,22-279,VAN,@,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,18,13:44,2,0,0,0,
