,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,1990-11-04,1,33-079,PHI,@,TOR,W,,1,19,18,.947,0,0,34:37
1,1990-11-06,2,33-081,PHI,@,WIN,W,W,2,27,25,.926,0,0,60:00
2,1990-11-08,3,33-083,PHI,,CGY,L,L,8,44,36,.818,0,0,60:00
3,1990-11-10,4,33-085,PHI,@,QUE,W,W,2,18,16,.889,0,0,60:00
4,1990-11-11,5,33-086,PHI,,VAN,W,W,0,31,31,1.000,1,0,60:00
5,1990-11-13,6,33-088,PHI,,NYR,T,T,1,23,22,.957,0,0,64:58
6,1990-11-15,7,33-090,PHI,,MTL,W,W,1,29,28,.966,0,0,60:00
7,1990-11-17,8,33-092,PHI,@,NJD,L,L,3,40,37,.925,0,0,59:18
8,1990-11-18,9,33-093,PHI,,NJD,L,L,3,23,20,.870,0,0,58:08
9,1990-11-21,10,33-096,PHI,@,PIT,W,,2,25,23,.920,0,0,42:53
10,1990-11-23,11,33-098,PHI,,TOR,W,W,1,23,22,.957,0,0,60:00
11,1990-11-25,12,33-100,PHI,,NYI,W,W,1,26,25,.962,0,0,60:00
12,1990-11-27,13,33-102,PHI,@,NYI,W,W,1,29,28,.966,0,0,60:00
13,1990-11-28,14,33-103,PHI,@,NJD,T,,4,25,21,.840,0,0,42:28
14,1990-11-30,15,33-105,PHI,,NYR,W,W,1,35,34,.971,0,0,60:00
15,1990-12-02,16,33-107,PHI,,EDM,L,L,5,23,18,.783,0,0,59:30
16,1990-12-06,17,33-111,PHI,,BUF,L,,3,20,17,.850,0,0,29:36
17,1990-12-08,18,33-113,PHI,@,MNS,L,L,3,13,10,.769,0,0,15:31
18,1991-01-15,19,33-151,PHI,,PIT,W,,3,16,13,.813,0,0,33:19
19,1991-02-10,20,33-177,PHI,@,WSH,L,,1,13,12,.923,0,12,20:00
20,1991-03-16,21,33-211,PHI,@,WSH,L,,2,17,15,.882,0,0,33:50
21,1991-03-17,22,33-212,PHI,,BOS,L,L,3,23,20,.870,0,0,59:42
22,1991-03-23,23,33-218,PHI,,NYR,W,W,4,26,22,.846,0,2,60:00
23,1991-03-24,24,33-219,PHI,@,BUF,L,,3,32,29,.906,0,0,49:51
24,1991-03-26,25,33-221,PHI,,PIT,L,L,3,21,18,.857,0,0,57:58
25,1991-03-28,26,33-223,PHI,,WSH,L,,0,2,2,1.000,0,0,8:24
