,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-01-17,1,24-215,BOS,,TOR,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,9:56,2,0,0,0,
1,2008-01-19,2,24-217,BOS,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,7:35,1,1,0,0,
2,2008-01-20,3,24-218,BOS,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,19,12:38,3,0,0,0,
3,2008-01-22,4,24-220,BOS,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,12:57,2,0,0,0,
4,2008-01-24,5,24-222,BOS,,NYI,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,11:54,2,1,0,0,
5,2008-01-29,6,24-227,BOS,,NSH,W,0,0,0,0,0,0,0,0,0,,,,0,,16,11:22,2,0,1,0,100.0
6,2008-12-10,1,25-177,CHI,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:02,0,0,0,1,0.0
7,2009-03-07,2,25-264,CHI,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,9:34,1,1,1,2,33.3
8,2009-03-08,3,25-265,CHI,,COL,L,0,0,0,-3,0,0,0,0,0,,,,0,,18,10:52,0,0,4,4,50.0
9,2009-03-11,4,25-268,CHI,,CAR,W,0,0,0,-1,0,0,0,0,0,,,,0,,9,5:01,0,,,,
10,2009-03-13,5,25-270,CHI,,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,9:49,1,0,4,4,50.0
11,2009-03-15,6,25-272,CHI,,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:19,0,0,4,2,66.7
12,2009-03-17,7,25-274,CHI,@,NJD,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,11:19,0,0,0,7,0.0
13,2013-10-25,1,30-131,VAN,@,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,12,8:34,0,0,1,2,33.3
14,2014-02-04,2,30-233,VAN,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:04,0,1,0,1,0.0
15,2014-02-06,3,30-235,VAN,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,12,8:12,3,0,0,0,
