,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-11-21,1,27-080,CHI,@,NSH,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,20,14:49,,,,,
1,2001-11-23,2,27-082,CHI,@,CBJ,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,12:39,,,,,
2,2001-11-25,3,27-084,CHI,@,DET,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,9:24,,,,,
3,2001-11-28,4,27-087,CHI,,VAN,T,1,0,1,1,0,1,0,0,0,,,,3,33.3,15,8:45,,,,,
4,2001-11-30,5,27-089,CHI,,TOR,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,11:34,,,,,
5,2001-12-01,6,27-090,CHI,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,11:02,,,,,
6,2001-12-03,7,27-092,CHI,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,8:52,,,,,
7,2001-12-05,8,27-094,CHI,,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,12,8:00,,,,,
8,2001-12-07,9,27-096,CHI,,NYI,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,9,4:56,,,,,
9,2001-12-09,10,27-098,CHI,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:38,,,,,
10,2001-12-12,11,27-101,CHI,,STL,T,0,0,0,0,0,0,0,0,0,,,,0,,9,6:08,,,,,
11,2001-12-14,12,27-103,CHI,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:17,,,,,
12,2001-12-15,13,27-104,CHI,@,NSH,L,0,0,0,-1,2,0,0,0,0,,,,0,,14,8:59,,,,,
13,2001-12-21,14,27-110,CHI,,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,20,13:38,,,,,
14,2001-12-26,15,27-115,CHI,@,STL,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,16,12:18,,,,,
15,2001-12-30,16,27-119,CHI,,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,9:16,,,,,
16,2001-12-31,17,27-120,CHI,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,7,6:17,,,,,
17,2002-01-04,18,27-124,CHI,,TBL,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,17,9:20,,,,,
18,2002-01-06,19,27-126,CHI,,PIT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,12:22,,,,,
19,2002-01-09,20,27-129,CHI,@,COL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,12:36,,,,,
20,2002-01-10,21,27-130,CHI,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:13,,,,,
21,2002-01-12,22,27-132,CHI,@,CBJ,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,11,9:07,,,,,
22,2002-01-14,23,27-134,CHI,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:36,,,,,
23,2002-01-16,24,27-136,CHI,@,FLA,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,16,10:46,,,,,
24,2002-01-18,25,27-138,CHI,@,TBL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,11:29,,,,,
25,2002-01-20,26,27-140,CHI,,DAL,W,0,0,0,-1,0,0,0,0,0,,,,0,,15,9:30,,,,,
26,2002-01-23,27,27-143,CHI,,PHX,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,11:18,,,,,
27,2002-01-25,28,27-145,CHI,,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,12,8:28,,,,,
28,2002-01-28,29,27-148,CHI,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,7,5:09,,,,,
29,2002-01-30,30,27-150,CHI,@,NJD,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,8,4:26,,,,,
30,2002-02-06,31,27-157,CHI,@,PHX,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,9,8:26,,,,,
31,2002-02-08,32,27-159,CHI,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,9,8:12,,,,,
32,2002-02-09,33,27-160,CHI,@,COL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,7,4:29,,,,,
33,2002-02-26,34,27-177,CHI,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,10,9:06,,,,,
34,2002-03-03,35,27-182,CHI,,MDA,W,0,0,0,0,4,0,0,0,0,,,,0,,10,7:32,,,,,
35,2002-03-05,36,27-184,CHI,,CAR,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,16,10:37,,,,,
36,2002-03-07,37,27-186,CHI,,NYR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,14,9:07,,,,,
37,2003-10-25,1,29-053,PHI,,CAR,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,9:34,,,,,
