,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2005-11-23,1,23-056,MDA,@,DAL,L,0,0,0,0,2,0,0,0,0,,,,5,0.0,18,15:02,,,,,
1,2005-11-25,2,23-058,MDA,,DET,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,13:17,,,,,
2,2005-11-27,3,23-060,MDA,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:02,,,,,
3,2005-11-30,4,23-063,MDA,,PHX,W,2,1,3,0,0,0,2,0,0,,,,5,40.0,16,11:29,,,,,
4,2005-12-03,5,23-066,MDA,,ATL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,11:35,,,,,
5,2005-12-06,6,23-069,MDA,,CAR,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,18,11:22,,,,,
6,2006-01-26,7,23-120,MDA,@,SJS,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,19,12:05,,,,,
7,2006-01-28,8,23-122,MDA,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:44,,,,,
8,2006-01-30,9,23-124,MDA,,LAK,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,16,9:56,,,,,
9,2006-02-01,10,23-126,MDA,,SJS,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,13,10:40,,,,,
10,2006-02-04,11,23-129,MDA,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,11:21,,,,,
11,2006-02-06,12,23-131,MDA,@,EDM,L-SO,0,1,1,1,2,0,0,0,0,,,,3,0.0,22,13:56,,,,,
12,2006-02-08,13,23-133,MDA,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,11:46,,,,,
13,2006-02-10,14,23-135,MDA,@,VAN,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,13:54,,,,,
14,2006-02-12,15,23-137,MDA,,CHI,W,1,0,1,2,2,1,0,0,1,,,,2,50.0,17,11:54,,,,,
15,2006-03-01,16,23-154,MDA,,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,7:39,,,,,
16,2006-03-03,17,23-156,MDA,,MIN,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,15,11:02,,,,,
17,2006-03-05,18,23-158,MDA,,CBJ,L-SO,0,0,0,0,2,0,0,0,0,,,,3,0.0,16,11:52,,,,,
18,2006-03-07,19,23-160,MDA,,SJS,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,18,12:52,,,,,
19,2006-10-06,1,24-008,ANA,,LAK,W,0,0,0,-1,0,0,0,0,0,,,,0,,22,13:09,,,,,
20,2006-10-07,2,24-009,ANA,@,PHX,W,1,0,1,0,0,0,1,0,1,,,,4,25.0,18,13:00,,,,,
21,2006-10-09,3,24-011,ANA,,STL,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,19,13:52,,,,,
22,2006-10-11,4,24-013,ANA,,NYI,L-SO,0,1,1,-1,0,0,0,0,0,,,,2,0.0,25,18:02,,,,,
23,2006-10-15,5,24-017,ANA,,DAL,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,14,12:45,,,,,
24,2006-10-18,6,24-020,ANA,,DET,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,13:58,,,,,
25,2006-10-20,7,24-022,ANA,,MIN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,14:08,,,,,
26,2006-10-22,8,24-024,ANA,@,LAK,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,21,14:38,,,,,
27,2006-10-25,9,24-027,ANA,,EDM,W,0,1,1,1,0,0,0,0,0,,,,5,0.0,19,13:26,,,,,
28,2006-10-27,10,24-029,ANA,@,MIN,L-SO,0,1,1,-1,0,0,0,0,0,,,,1,0.0,20,15:52,,,,,
29,2006-10-28,11,24-030,ANA,@,CHI,W,1,0,1,1,2,1,0,0,1,,,,1,100.0,19,15:45,,,,,
30,2006-10-30,12,24-032,ANA,@,STL,W,1,1,2,1,0,0,1,0,0,,,,3,33.3,19,10:42,,,,,
31,2006-11-01,13,24-034,ANA,,NYR,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,10:17,,,,,
32,2006-11-03,14,24-036,ANA,,PHX,W,1,0,1,-1,0,1,0,0,0,,,,3,33.3,17,13:36,,,,,
33,2006-11-06,15,24-039,ANA,,PIT,W,0,0,0,-1,0,0,0,0,0,,,,6,0.0,21,20:00,,,,,
34,2006-11-09,16,24-042,ANA,@,VAN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,13:43,,,,,
35,2006-11-10,17,24-043,ANA,@,CGY,L,0,0,0,-1,7,0,0,0,0,,,,3,0.0,19,14:58,,,,,
36,2006-11-12,18,24-045,ANA,,MIN,W,1,0,1,0,0,1,0,0,0,,,,3,33.3,22,16:50,,,,,
37,2006-11-15,19,24-048,ANA,,PHI,L,1,0,1,-2,2,0,1,0,0,,,,4,25.0,17,11:09,,,,,
38,2006-11-17,20,24-050,ANA,,CHI,L-SO,0,0,0,-1,2,0,0,0,0,,,,6,0.0,22,18:21,,,,,
39,2006-11-19,21,24-052,ANA,,PHX,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,15:56,,,,,
40,2006-11-21,22,24-054,ANA,,SJS,W,0,1,1,1,0,0,0,0,0,,,,7,0.0,21,16:25,,,,,
41,2006-11-22,23,24-055,ANA,@,COL,L-SO,1,0,1,1,0,1,0,0,0,,,,2,50.0,18,12:36,,,,,
42,2006-11-24,24,24-057,ANA,,NJD,W,1,0,1,1,2,1,0,0,0,,,,5,20.0,24,17:39,,,,,
43,2006-11-26,25,24-059,ANA,,CGY,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,15:54,,,,,
44,2006-11-28,26,24-061,ANA,@,EDM,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,14:51,,,,,
45,2006-11-30,27,24-063,ANA,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,22,15:08,,,,,
46,2006-12-02,28,24-065,ANA,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,15:47,,,,,
