,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2006-04-08,1,23-002,PHX,,DAL,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,8:11,,,,,
1,2006-04-10,2,23-004,PHX,,SJS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,9:41,,,,,
2,2006-04-11,3,23-005,PHX,@,COL,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,18,12:23,,,,,
3,2006-04-15,4,23-009,PHX,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,11:19,,,,,
4,2006-04-16,5,23-010,PHX,@,STL,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,23,15:52,,,,,
5,2006-10-05,1,23-182,PHX,,NYI,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,18,16:02,,,,,
6,2006-10-07,2,23-184,PHX,,ANA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,16:30,,,,,
7,2006-10-09,3,23-186,PHX,@,CBJ,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,17,14:36,,,,,
8,2006-10-11,4,23-188,PHX,@,DET,L,0,0,0,1,0,0,0,0,0,,,,0,,10,7:18,,,,,
9,2006-10-19,5,23-196,PHX,,LAK,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,15:54,,,,,
10,2006-10-21,6,23-198,PHX,,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,12:50,,,,,
11,2006-10-24,7,23-201,PHX,@,CGY,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,16,10:36,,,,,
12,2006-10-26,8,23-203,PHX,,EDM,W,0,1,1,0,6,0,0,0,0,,,,0,,16,9:49,,,,,
13,2006-10-28,9,23-205,PHX,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,15,12:54,,,,,
14,2006-11-09,10,23-217,STL,,CBJ,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,14,11:34,,,,,
15,2006-11-10,11,23-218,STL,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,8:59,,,,,
16,2006-11-12,12,23-220,STL,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,0,,5,3:05,,,,,
17,2006-11-14,13,23-222,STL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,8:56,,,,,
18,2006-11-16,14,23-224,STL,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,9:41,,,,,
19,2006-11-17,15,23-225,STL,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,5,3:51,,,,,
