,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-03-14,1,28-322,VAN,,NSH,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,19,11:01,4,0,0,0,
1,2013-03-16,2,28-324,VAN,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,15,10:17,4,0,0,0,
2,2013-03-18,3,28-326,VAN,,MIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,12:55,0,1,0,0,
3,2013-03-19,4,28-327,VAN,,STL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:53,3,0,0,0,
4,2013-03-28,5,28-336,VAN,,COL,W,0,0,0,0,2,0,0,0,0,,,,0,,18,15:19,2,0,0,0,
5,2013-03-30,6,28-338,VAN,@,EDM,L,0,0,0,-1,2,0,0,0,0,,,,0,,17,13:50,2,0,0,0,
6,2013-04-01,7,28-340,VAN,@,SJS,L,0,0,0,-1,5,0,0,0,0,,,,0,,7,4:33,2,0,0,0,
7,2013-04-04,8,28-343,VAN,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,10,7:11,1,0,0,0,
8,2013-04-15,9,28-354,VAN,@,NSH,W,0,0,0,0,5,0,0,0,0,,,,0,,15,9:05,1,2,0,0,
9,2013-04-18,10,28-357,VAN,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,7:28,5,1,0,0,
10,2013-04-20,11,28-359,VAN,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,4,4:20,1,0,0,0,
11,2013-04-27,12,29-001,VAN,@,EDM,L,0,0,0,-2,10,0,0,0,0,,,,3,0.0,16,12:02,4,0,0,0,
12,2014-04-02,1,29-341,EDM,@,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,10:12,2,1,0,0,
13,2014-04-04,2,29-343,EDM,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,17,8:41,0,0,0,0,
14,2014-04-06,3,29-345,EDM,,ANA,W,0,0,0,0,15,0,0,0,0,,,,2,0.0,12,7:46,1,0,0,0,
15,2014-04-08,4,29-347,EDM,,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,17,13:01,2,0,0,0,
16,2014-04-10,5,29-349,EDM,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:10,3,0,0,0,
17,2014-04-12,6,29-351,EDM,,VAN,W,0,2,2,1,0,0,0,0,0,,,,0,,15,10:02,2,0,0,0,
18,2014-11-19,1,30-207,EDM,,VAN,L,1,1,2,0,7,1,0,0,0,1,0,0,1,100.0,14,7:42,2,0,0,0,
19,2014-11-21,2,30-209,EDM,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:49,2,0,0,0,
20,2014-11-22,3,30-210,EDM,,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:56,3,0,0,0,
21,2014-11-25,4,30-213,EDM,@,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,7:49,1,0,0,0,
22,2014-11-27,5,30-215,EDM,@,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:40,2,1,0,0,
23,2014-11-28,6,30-216,EDM,@,STL,L-OT,0,0,0,0,5,0,0,0,0,0,0,0,0,,14,8:22,1,0,0,0,
24,2014-12-01,7,30-219,EDM,,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,8:57,3,0,0,0,
25,2014-12-03,8,30-221,EDM,@,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:21,1,0,0,0,
26,2014-12-07,9,30-225,EDM,,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,7:14,2,0,0,0,
27,2014-12-09,10,30-227,EDM,@,SJS,L,0,0,0,0,7,0,0,0,0,0,0,0,0,,12,9:02,1,0,0,0,
28,2014-12-10,11,30-228,EDM,@,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:20,0,0,0,0,
29,2014-12-12,12,30-230,EDM,,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:21,3,0,0,0,
30,2014-12-14,13,30-232,EDM,,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:08,3,0,0,0,
31,2014-12-16,14,30-234,EDM,@,ARI,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,11,7:29,4,0,0,0,
32,2014-12-18,15,30-236,EDM,@,SJS,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,11,8:29,2,0,0,0,
33,2014-12-21,16,30-239,EDM,,DAL,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,8,5:17,1,0,0,0,
34,2014-12-23,17,30-241,EDM,,ARI,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,11,5:52,1,0,0,0,
35,2014-12-27,18,30-245,EDM,@,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:55,0,1,0,0,
